"LogLikelihood"	"Iteration"
-2742.45464065076	1
-2740.28573599808	2
-2746.27744556759	3
-2738.38086495058	4
-2736.38063806977	5
-2758.82913235601	6
-2757.38744236404	7
-2756.39090678587	8
-2745.53998397164	9
-2736.45448950174	10
-2781.55227460229	11
-2761.869630492	12
-2773.48889951123	13
-2777.94971783987	14
-2781.59522190663	15
-2790.45505914122	16
-2781.34513201627	17
-2789.97289459801	18
-2784.66264417674	19
-2792.71332795727	20
-2783.8689545724	21
-2757.22964800661	22
-2750.50568179452	23
-2741.6960631201	24
-2763.9348993031	25
-2744.71219734007	26
-2740.60029112836	27
-2748.88272186999	28
-2726.63842900451	29
-2734.6961991591	30
-2741.25372789207	31
-2754.99144362998	32
-2756.00895969533	33
-2750.01354380357	34
-2748.64962823858	35
-2714.36168810303	36
-2761.31815187416	37
-2743.23462058874	38
-2750.44886177714	39
-2732.96020262349	40
-2743.13222100599	41
-2766.58413585104	42
-2764.3260700007	43
-2742.93862463251	44
-2759.64476811837	45
-2739.39218564976	46
-2718.80624935163	47
-2741.3386334933	48
-2744.13118778942	49
-2746.97490702927	50
-2735.67491700564	51
-2725.51118739516	52
-2748.30139636026	53
-2743.25138003665	54
-2721.06502605563	55
-2731.86626557677	56
-2738.15751377261	57
-2740.28578353648	58
-2741.28372227273	59
-2726.03237262218	60
-2740.17245876274	61
-2730.43631433549	62
-2749.6394142725	63
-2728.94634896211	64
-2732.56399801537	65
-2716.71314549656	66
-2732.61528395405	67
-2742.75197102165	68
-2718.85078538715	69
-2713.86162683507	70
-2734.35670811085	71
-2730.11108485365	72
-2743.01889140074	73
-2763.6365458736	74
-2765.70907907154	75
-2769.21421719459	76
-2738.86723462773	77
-2727.79307125594	78
-2757.98376147593	79
-2729.94583118455	80
-2761.05568884826	81
-2747.80461394498	82
-2745.61650652429	83
-2754.41316378412	84
-2769.12494532607	85
-2744.2200772004	86
-2738.98649746779	87
-2736.85810471367	88
-2754.44048193647	89
-2770.20304906347	90
-2764.78989563621	91
-2784.10954545199	92
-2772.10933752325	93
-2791.48782309309	94
-2777.64949087892	95
-2769.40380192133	96
-2769.75072238984	97
-2760.52950085951	98
-2761.52086562306	99
-2745.70526475173	100
-2763.38194083753	101
-2733.36905779766	102
-2768.37109036195	103
-2752.28216087435	104
-2744.21379188098	105
-2775.9477646675	106
-2776.46299798365	107
-2764.3033786654	108
-2786.01259718274	109
-2776.92127140544	110
-2778.03842343858	111
-2776.54709264641	112
-2795.99173877587	113
-2770.10730852359	114
-2778.90228957112	115
-2776.87799495035	116
-2779.65063460674	117
-2757.16517838553	118
-2757.19011586599	119
-2770.04364086258	120
-2756.62207385177	121
-2751.72463402889	122
-2770.11676893586	123
-2760.97104693182	124
-2756.44006021424	125
-2766.6567388618	126
-2781.50264644507	127
-2776.20064726403	128
-2781.63402615758	129
-2800.42316315616	130
-2792.75552224869	131
-2781.39434439215	132
-2774.36720062774	133
-2790.85496811971	134
-2769.94113755328	135
-2751.85536861254	136
-2730.66678919551	137
-2754.08303141962	138
-2732.17486634526	139
-2749.98011856011	140
-2754.31170713164	141
-2770.39608925684	142
-2753.34779387378	143
-2773.17116599936	144
-2742.84743325817	145
-2760.55378102676	146
-2725.2166792797	147
-2750.66028892383	148
-2759.62486962344	149
-2766.61094044845	150
-2767.79584364436	151
-2760.49020673625	152
-2768.9288909315	153
-2745.52125818969	154
-2744.95906669201	155
-2716.80930283852	156
-2736.28205675409	157
-2734.95850644615	158
-2713.74965441396	159
-2728.39150178283	160
-2731.94802435988	161
-2725.3982786382	162
-2739.42024670509	163
-2742.72485373492	164
-2746.04944746824	165
-2744.61196513242	166
-2745.92296878679	167
-2758.07854294633	168
-2769.57731844279	169
-2756.90404460693	170
-2742.46532020624	171
-2772.29820876079	172
-2787.65358078977	173
-2787.63016982676	174
-2785.296693016	175
-2770.41248689678	176
-2763.26408503108	177
-2759.32682310227	178
-2736.73208488772	179
-2769.21335303473	180
-2762.98582984122	181
-2751.2239299823	182
-2751.50669969494	183
-2749.92562282967	184
-2740.87225657166	185
-2719.59163568341	186
-2742.36436122089	187
-2734.45336040625	188
-2746.38025766723	189
-2739.67368420261	190
-2756.05078247178	191
-2739.78126538028	192
-2726.62067655365	193
-2711.1598089312	194
-2740.77483429511	195
-2734.06173855623	196
-2717.52949017281	197
-2736.61526108348	198
-2723.57756599454	199
-2719.49111880903	200
-2735.84412009671	201
-2736.98133480545	202
-2768.75392465408	203
-2749.94716608585	204
-2739.3527548003	205
-2741.2352268644	206
-2756.10875243028	207
-2747.91922038256	208
-2769.91788717477	209
-2752.98221570733	210
-2739.10191655226	211
-2733.27895389671	212
-2766.46598109846	213
-2749.82634601539	214
-2730.32123194279	215
-2721.64865916391	216
-2724.18447701287	217
-2708.83277625705	218
-2762.39663669803	219
-2735.18495190385	220
-2751.25299660717	221
-2736.8712401428	222
-2759.28424996677	223
-2728.37693334118	224
-2744.65699339411	225
-2755.07531147854	226
-2754.35876683424	227
-2753.2861453972	228
-2748.06298220166	229
-2764.99912055495	230
-2787.59483181147	231
-2771.34367556398	232
-2739.9466254969	233
-2722.96757100928	234
-2722.68643516458	235
-2749.69499497171	236
-2737.52646708908	237
-2749.94502306192	238
-2760.36198833098	239
-2757.19331711997	240
-2754.27753418678	241
-2752.60174763744	242
-2733.26584230545	243
-2746.50047900997	244
-2763.09963558201	245
-2770.83006887425	246
-2763.84825342022	247
-2780.64307197019	248
-2778.67423513857	249
-2769.18434954949	250
-2750.61488134587	251
-2735.2701653975	252
-2729.38277577431	253
-2714.8188622175	254
-2737.55230552469	255
-2729.10917405232	256
-2738.25866643313	257
-2744.23400159375	258
-2736.18518385595	259
-2766.55534500996	260
-2748.02701127914	261
-2755.38672089652	262
-2751.45460925338	263
-2752.13136994856	264
-2730.70939635536	265
-2729.57120132239	266
-2737.19926795479	267
-2722.85579719911	268
-2746.58852998357	269
-2734.21982071401	270
-2747.13491967341	271
-2760.01951678918	272
-2750.69505396278	273
-2732.3736105618	274
-2720.18540248157	275
-2731.03773113161	276
-2745.09729795948	277
-2726.84341330849	278
-2734.29531905707	279
-2739.29439713191	280
-2750.52621643809	281
-2732.05428954296	282
-2749.18533686492	283
-2735.10105734546	284
-2758.74788091856	285
-2743.36767827414	286
-2740.8146274416	287
-2744.51670969009	288
-2756.22889573493	289
-2719.92276235913	290
-2725.81687324476	291
-2747.50460258877	292
-2745.91247416114	293
-2722.40481475529	294
-2742.00510819247	295
-2734.64090102873	296
-2761.87217215727	297
-2748.37639777328	298
-2736.36355957326	299
-2723.88319853468	300
-2759.25395594468	301
-2758.96261412163	302
-2748.58429764307	303
-2732.19293370302	304
-2739.09418136104	305
-2752.07846902255	306
-2760.52156226224	307
-2747.54053535281	308
-2744.44126128	309
-2738.64139428228	310
-2723.97526670061	311
-2743.74651739483	312
-2734.82806143912	313
-2751.44298821202	314
-2719.22387824854	315
-2736.69104401175	316
-2699.72425859235	317
-2728.73557571353	318
-2752.28438059003	319
-2765.92400239668	320
-2735.48298449481	321
-2735.21113338454	322
-2736.89205858677	323
-2737.82278099325	324
-2738.22543504925	325
-2715.23814762596	326
-2756.3187480387	327
-2773.31386248932	328
-2770.96553552937	329
-2743.96718613279	330
-2748.40980439993	331
-2743.2519254222	332
-2739.68619392966	333
-2765.2965469717	334
-2758.86971470958	335
-2746.44018226814	336
-2719.49233584846	337
-2749.6429052245	338
-2764.66306084091	339
-2760.65759003984	340
-2772.28075617221	341
-2767.92044932589	342
