"Iteration"	"tau_Intercept"
1	1178.57969391304
2	1075.33565509986
3	1083.64477157089
4	1143.74378398823
5	1125.87804802301
6	1113.95033972773
7	1149.32465359595
8	1091.09458559637
9	989.211574880992
10	1107.40586259656
11	1072.7340929164
12	1017.38406582772
13	1089.4164190107
14	1060.18802747292
15	1104.43327523375
16	1066.73597668137
17	1101.55513493836
18	1074.77740141116
19	1104.89804700645
20	1082.00146207978
21	1139.69694540903
22	1122.78753175481
23	1049.17720121979
24	1079.32239759193
25	1045.62154021355
26	1059.12739288101
27	1113.70014452914
28	1120.50658991461
29	1021.04002300396
30	1026.95065465786
31	1040.98076984346
32	1129.39244926161
33	1177.7915283617
34	1087.82953636279
35	1147.7616735796
36	1043.8392140689
37	1074.57906089937
38	1059.1538755273
39	1076.14055166395
40	1001.26032409753
41	1152.55172168234
42	1068.14408654165
43	1071.7692207563
44	1129.79956409767
45	1035.44936531512
46	1080.38533514169
47	1170.2920745738
48	1147.10616491645
49	1083.93440717574
50	1131.93202272493
51	1054.58589432806
52	1068.49784488433
53	1051.481534863
54	1028.78688782941
55	1060.14996326963
56	1071.98106150394
57	1018.51484917519
58	1099.11083690447
59	1073.6755676054
60	1082.2605544046
61	1118.35653103425
62	1052.15580640565
63	1097.17602577687
64	1193.53241943963
65	1004.43834467511
66	1063.66185881452
67	1094.71511705063
68	1073.2000765863
69	1101.79054524813
70	1039.05099860671
71	1110.07542790559
72	1069.20856492635
73	1183.37475173548
74	1133.52120766456
75	1064.79249540617
76	1149.93729153642
77	1164.72701851901
78	1090.39610701683
79	1190.09557751789
80	1218.8044482319
81	1004.59211318025
82	1138.9112968869
83	1098.25616595968
84	1129.9693639065
85	1072.92869516456
86	1067.77010499499
87	1155.71908058715
88	1135.44254689383
89	1161.56272755871
90	1044.81065705332
91	1058.54382244416
92	1058.50295601352
93	1161.81318661287
94	1018.06615744379
95	1183.18784993605
96	1126.03162189825
97	1169.86207830178
98	1249.93224595259
99	1109.04811297021
