"weightKG"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
0.436	37.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.507	39	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.422	37.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.4	36.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.413	36	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.504	38.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.538	39.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.471	37.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.477	38	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.448	37.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.491	38.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.284	33	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.308	33.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.479	38	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.466	38.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.443	38.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.432	36.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.406	35.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.444	36.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.339	35.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.471	38.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.39	36.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.435	36.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.373	36.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.455	38.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.473	36	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.408	36	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.34	34.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.548	38.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.406	35.5	1	"NA/19/2020/9000/30_1_38001_1"	NA	NA
0.361	36	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.373	35.5	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.48	39	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.49	38.5	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.512	40	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.493	38.5	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.284	32.5	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.351	34	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.594	39.5	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.399	35.5	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.601	40.5	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.41	36.5	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.318	33.5	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.544	38.5	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.211	31.5	2	"NA/19/2020/9000/30_2_38002_2"	NA	NA
0.345	34.5	4	"NA/19/2020/9000/30_31_38031_2"	NA	NA
0.4	36	4	"NA/19/2020/9000/30_31_38031_2"	NA	NA
0.257	32	4	"NA/19/2020/9000/30_31_38031_2"	NA	NA
0.403	36	4	"NA/19/2020/9000/30_31_38031_2"	NA	NA
0.426	37	4	"NA/19/2020/9000/30_31_38031_2"	NA	NA
0.479	38.5	4	"NA/19/2020/9000/30_31_38031_2"	NA	NA
