"age"	"part.year"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
8	0.849726775956284	39.5	1	1	NA	NA
12	0.849726775956284	40	1	1	NA	NA
12	0.849726775956284	40.5	1	1	NA	NA
12	0.849726775956284	39	1	1	NA	NA
12	0.849726775956284	39	1	1	NA	NA
8	0.849726775956284	39	1	1	NA	NA
11	0.849726775956284	39	1	1	NA	NA
12	0.849726775956284	40	1	1	NA	NA
9	0.849726775956284	39	1	1	NA	NA
8	0.849726775956284	38.5	1	1	NA	NA
12	0.849726775956284	38.5	1	1	NA	NA
11	0.849726775956284	38	1	1	NA	NA
11	0.849726775956284	37.5	1	1	NA	NA
11	0.849726775956284	38.5	1	1	NA	NA
6	0.849726775956284	37	1	1	NA	NA
10	0.849726775956284	40	1	1	NA	NA
12	0.866120218579235	39.5	2	1	NA	NA
11	0.866120218579235	40.5	2	1	NA	NA
6	0.866120218579235	38	2	1	NA	NA
11	0.866120218579235	39	2	1	NA	NA
12	0.866120218579235	39	2	1	NA	NA
12	0.866120218579235	38.5	2	1	NA	NA
10	0.866120218579235	37.5	2	1	NA	NA
10	0.866120218579235	39	2	1	NA	NA
5	0.866120218579235	36	2	1	NA	NA
12	0.866120218579235	39.5	2	1	NA	NA
11	0.866120218579235	39	2	1	NA	NA
11	0.866120218579235	42.5	2	1	NA	NA
11	0.866120218579235	38.5	2	1	NA	NA
8	0.866120218579235	40.5	2	1	NA	NA
12	0.866120218579235	40.5	2	1	NA	NA
9	0.866120218579235	37.5	2	1	NA	NA
9	0.866120218579235	39.5	2	1	NA	NA
3	0.743169398907104	34.5	3	1	NA	NA
11	0.743169398907104	38.5	3	1	NA	NA
8	0.743169398907104	38.5	3	1	NA	NA
11	0.743169398907104	37	3	1	NA	NA
4	0.743169398907104	34	3	1	NA	NA
6	0.743169398907104	37	3	1	NA	NA
6	0.743169398907104	37	3	1	NA	NA
12	0.743169398907104	39.5	3	1	NA	NA
12	0.743169398907104	37.5	3	1	NA	NA
8	0.743169398907104	36	3	1	NA	NA
8	0.743169398907104	37	3	1	NA	NA
6	0.743169398907104	37.5	3	1	NA	NA
12	0.743169398907104	40	3	1	NA	NA
12	0.743169398907104	37.5	3	1	NA	NA
11	0.743169398907104	38	3	1	NA	NA
12	0.743169398907104	38	3	1	NA	NA
12	0.743169398907104	40	3	1	NA	NA
5	0.743169398907104	37.5	3	1	NA	NA
8	0.743169398907104	36	3	1	NA	NA
2	0.827868852459016	30	4	1	NA	NA
2	0.827868852459016	31.5	4	1	NA	NA
1	0.827868852459016	28	4	1	NA	NA
3	0.827868852459016	32.5	4	1	NA	NA
2	0.827868852459016	32	4	1	NA	NA
2	0.827868852459016	32	4	1	NA	NA
3	0.827868852459016	33	4	1	NA	NA
2	0.827868852459016	31.5	4	1	NA	NA
2	0.827868852459016	30.5	4	1	NA	NA
2	0.827868852459016	31	4	1	NA	NA
5	0.827868852459016	35.5	4	1	NA	NA
2	0.827868852459016	32	4	1	NA	NA
2	0.827868852459016	31	4	1	NA	NA
1	0.827868852459016	28.5	4	1	NA	NA
2	0.827868852459016	32	4	1	NA	NA
2	0.827868852459016	31.5	4	1	NA	NA
6	0.827868852459016	34.5	4	1	NA	NA
6	0.827868852459016	35.5	4	1	NA	NA
2	0.827868852459016	32	4	1	NA	NA
2	0.827868852459016	31	4	1	NA	NA
2	0.827868852459016	30	4	1	NA	NA
2	0.827868852459016	31	4	1	NA	NA
2	0.827868852459016	31.5	4	1	NA	NA
2	0.827868852459016	32	4	1	NA	NA
2	0.827868852459016	30.5	4	1	NA	NA
8	0.827868852459016	39.5	4	1	NA	NA
5	0.827868852459016	37	4	1	NA	NA
2	0.827868852459016	29	4	1	NA	NA
2	0.827868852459016	33	4	1	NA	NA
3	0.827868852459016	33.5	4	1	NA	NA
2	0.827868852459016	31	4	1	NA	NA
2	0.827868852459016	31.5	4	1	NA	NA
4	0.62568306010929	36	5	1	NA	NA
2	0.62568306010929	31	5	1	NA	NA
7	0.62568306010929	36	5	1	NA	NA
3	0.62568306010929	34	5	1	NA	NA
4	0.62568306010929	34.5	5	1	NA	NA
12	0.62568306010929	38.5	5	1	NA	NA
12	0.62568306010929	39.5	5	1	NA	NA
2	0.62568306010929	30.5	5	1	NA	NA
9	0.62568306010929	39.5	5	1	NA	NA
3	0.62568306010929	33	5	1	NA	NA
3	0.62568306010929	33	5	1	NA	NA
3	0.62568306010929	34	5	1	NA	NA
7	0.62568306010929	37.5	5	1	NA	NA
11	0.62568306010929	38.5	5	1	NA	NA
9	0.62568306010929	38	5	1	NA	NA
3	0.62568306010929	34	5	1	NA	NA
3	0.62568306010929	33	5	1	NA	NA
2	0.62568306010929	31.5	5	1	NA	NA
2	0.62568306010929	31	5	1	NA	NA
2	0.62568306010929	30	5	1	NA	NA
12	0.62568306010929	39	5	1	NA	NA
8	0.62568306010929	36	5	1	NA	NA
8	0.62568306010929	38	5	1	NA	NA
7	0.62568306010929	36	5	1	NA	NA
11	0.62568306010929	40	5	1	NA	NA
3	0.62568306010929	35	5	1	NA	NA
3	0.62568306010929	33	5	1	NA	NA
12	0.62568306010929	38	5	1	NA	NA
3	0.62568306010929	34	5	1	NA	NA
7	0.702185792349727	37.5	6	1	NA	NA
6	0.702185792349727	35.5	6	1	NA	NA
5	0.702185792349727	35	6	1	NA	NA
12	0.702185792349727	39.5	6	1	NA	NA
7	0.702185792349727	38	6	1	NA	NA
12	0.702185792349727	39	6	1	NA	NA
7	0.702185792349727	37	6	1	NA	NA
11	0.702185792349727	40	6	1	NA	NA
12	0.702185792349727	39.5	6	1	NA	NA
6	0.702185792349727	36	6	1	NA	NA
9	0.702185792349727	40.5	6	1	NA	NA
6	0.702185792349727	38	6	1	NA	NA
5	0.702185792349727	37.5	6	1	NA	NA
6	0.702185792349727	38.5	6	1	NA	NA
8	0.702185792349727	37	6	1	NA	NA
8	0.702185792349727	37	6	1	NA	NA
11	0.702185792349727	39	6	1	NA	NA
8	0.702185792349727	39.5	6	1	NA	NA
4	0.702185792349727	37	6	1	NA	NA
11	0.702185792349727	38.5	6	1	NA	NA
2	0.636612021857924	31.5	7	1	NA	NA
11	0.636612021857924	38.5	7	1	NA	NA
3	0.636612021857924	35	7	1	NA	NA
8	0.636612021857924	37	7	1	NA	NA
3	0.636612021857924	32.5	7	1	NA	NA
5	0.636612021857924	36	7	1	NA	NA
4	0.636612021857924	35.5	7	1	NA	NA
2	0.636612021857924	31.5	7	1	NA	NA
3	0.636612021857924	34	7	1	NA	NA
8	0.636612021857924	36.5	7	1	NA	NA
4	0.636612021857924	31.5	7	1	NA	NA
4	0.636612021857924	34	7	1	NA	NA
2	0.636612021857924	31.5	7	1	NA	NA
7	0.636612021857924	39.5	7	1	NA	NA
5	0.636612021857924	32	7	1	NA	NA
2	0.636612021857924	32	7	1	NA	NA
2	0.636612021857924	32	7	1	NA	NA
3	0.636612021857924	34.5	7	1	NA	NA
3	0.636612021857924	33	7	1	NA	NA
3	0.636612021857924	32.5	7	1	NA	NA
5	0.636612021857924	35	7	1	NA	NA
2	0.636612021857924	32	7	1	NA	NA
10	0.636612021857924	38.5	7	1	NA	NA
4	0.636612021857924	35.5	7	1	NA	NA
12	0.636612021857924	38.5	7	1	NA	NA
2	0.636612021857924	31.5	7	1	NA	NA
3	0.636612021857924	34	7	1	NA	NA
2	0.636612021857924	30.5	7	1	NA	NA
4	0.636612021857924	36.5	7	1	NA	NA
3	0.636612021857924	32.5	7	1	NA	NA
3	0.636612021857924	34.5	8	1	NA	NA
12	0.636612021857924	40	8	1	NA	NA
4	0.636612021857924	35	8	1	NA	NA
4	0.636612021857924	32.5	8	1	NA	NA
2	0.636612021857924	32	8	1	NA	NA
3	0.636612021857924	33	8	1	NA	NA
2	0.636612021857924	32.5	8	1	NA	NA
3	0.636612021857924	33.5	8	1	NA	NA
2	0.636612021857924	32	8	1	NA	NA
5	0.636612021857924	36	8	1	NA	NA
3	0.636612021857924	33	8	1	NA	NA
6	0.636612021857924	36	8	1	NA	NA
11	0.655737704918033	37	9	1	NA	NA
3	0.655737704918033	32.5	9	1	NA	NA
2	0.655737704918033	33	9	1	NA	NA
4	0.655737704918033	34.5	9	1	NA	NA
11	0.655737704918033	39.5	9	1	NA	NA
2	0.655737704918033	31	9	1	NA	NA
10	0.655737704918033	40.5	9	1	NA	NA
2	0.655737704918033	32	9	1	NA	NA
11	0.655737704918033	37	9	1	NA	NA
5	0.655737704918033	34.5	9	1	NA	NA
6	0.655737704918033	36.5	9	1	NA	NA
6	0.655737704918033	36	9	1	NA	NA
2	0.655737704918033	31	9	1	NA	NA
5	0.655737704918033	37	9	1	NA	NA
6	0.655737704918033	38	9	1	NA	NA
4	0.655737704918033	33	9	1	NA	NA
6	0.655737704918033	37	9	1	NA	NA
4	0.655737704918033	34.5	9	1	NA	NA
2	0.655737704918033	32	9	1	NA	NA
9	0.655737704918033	38.5	9	1	NA	NA
3	0.655737704918033	33.5	9	1	NA	NA
6	0.655737704918033	35.5	9	1	NA	NA
3	0.655737704918033	32.5	9	1	NA	NA
5	0.655737704918033	37.5	9	1	NA	NA
3	0.612021857923497	33	10	1	NA	NA
3	0.612021857923497	33.5	10	1	NA	NA
3	0.612021857923497	34	10	1	NA	NA
3	0.612021857923497	36.5	10	1	NA	NA
3	0.612021857923497	31.5	10	1	NA	NA
2	0.612021857923497	32	10	1	NA	NA
2	0.612021857923497	30.5	10	1	NA	NA
4	0.612021857923497	36	10	1	NA	NA
3	0.612021857923497	34.5	10	1	NA	NA
3	0.612021857923497	33	10	1	NA	NA
2	0.612021857923497	31.5	10	1	NA	NA
5	0.612021857923497	37	10	1	NA	NA
3	0.612021857923497	34.5	10	1	NA	NA
2	0.612021857923497	35	10	1	NA	NA
2	0.612021857923497	30.5	10	1	NA	NA
4	0.612021857923497	34.5	10	1	NA	NA
3	0.612021857923497	32.5	10	1	NA	NA
3	0.612021857923497	35	10	1	NA	NA
5	0.612021857923497	36	10	1	NA	NA
2	0.612021857923497	31	10	1	NA	NA
12	0.612021857923497	39	10	1	NA	NA
6	0.612021857923497	36	10	1	NA	NA
3	0.612021857923497	33.5	10	1	NA	NA
2	0.612021857923497	31.5	10	1	NA	NA
2	0.612021857923497	31	10	1	NA	NA
2	0.612021857923497	31.5	10	1	NA	NA
2	0.612021857923497	32	10	1	NA	NA
