"names"	"values"
1	"NA/19/2022/10011/30_101_38101"
2	"NA/19/2022/10011/30_102_38102"
3	"NA/19/2022/10011/30_103_38103"
4	"NA/19/2022/10011/30_104_38104"
5	"NA/19/2022/10011/30_105_38105"
6	"NA/19/2022/10011/30_106_38106"
7	"NA/19/2022/10011/30_16_38016"
8	"NA/19/2022/10011/30_17_38017"
9	"NA/19/2022/10011/30_18_38018"
10	"NA/19/2022/10011/30_19_38019"
11	"NA/19/2022/10011/30_20_38020"
12	"NA/19/2022/10011/30_21_38021"
13	"NA/19/2022/10011/30_22_38022"
14	"NA/19/2022/10011/30_25_38025"
15	"NA/19/2022/10011/30_26_38026"
16	"NA/19/2022/10011/30_29_38029"
17	"NA/19/2022/10011/30_30_38030"
18	"NA/19/2022/10011/30_31_38031"
19	"NA/19/2022/10011/30_32_38032"
20	"NA/19/2022/10011/30_33_38033"
21	"NA/19/2022/10011/30_34_38034"
22	"NA/19/2022/10011/30_35_38035"
23	"NA/19/2022/10011/30_36_38036"
24	"NA/19/2022/10011/30_37_38037"
25	"NA/19/2022/10011/30_38_38038"
26	"NA/19/2022/10011/30_39_38039"
27	"NA/19/2022/10011/30_40_38040"
28	"NA/19/2022/10011/30_41_38041"
29	"NA/19/2022/10011/30_42_38042"
30	"NA/19/2022/10011/30_43_38043"
31	"NA/19/2022/10011/30_44_38044"
32	"NA/19/2022/10011/30_45_38045"
33	"NA/19/2022/10011/30_46_38046"
34	"NA/19/2022/10011/30_47_38047"
35	"NA/19/2022/10011/30_48_38048"
36	"NA/19/2022/10011/30_49_38049"
37	"NA/19/2022/10011/30_50_38050"
38	"NA/19/2022/10011/30_51_38051"
39	"NA/19/2022/10011/30_52_38052"
40	"NA/19/2022/10011/30_53_38053"
41	"NA/19/2022/10011/30_54_38054"
42	"NA/19/2022/10011/30_55_38055"
43	"NA/19/2022/10011/30_56_38056"
44	"NA/19/2022/10011/30_57_38057"
45	"NA/19/2022/10011/30_58_38058"
46	"NA/19/2022/10011/30_59_38059"
47	"NA/19/2022/10011/30_60_38060"
48	"NA/19/2022/10011/30_61_38061"
49	"NA/19/2022/10011/30_62_38062"
50	"NA/19/2022/10011/30_63_38063"
51	"NA/19/2022/10011/30_64_38064"
52	"NA/19/2022/10011/30_65_38065"
53	"NA/19/2022/10011/30_66_38066"
54	"NA/19/2022/10011/30_67_38067"
55	"NA/19/2022/10011/30_68_38068"
56	"NA/19/2022/10011/30_69_38069"
57	"NA/19/2022/10011/30_7_38107"
58	"NA/19/2022/10011/30_70_38070"
59	"NA/19/2022/10011/30_71_38071"
60	"NA/19/2022/10011/30_72_38072"
61	"NA/19/2022/10011/30_74_38074"
62	"NA/19/2022/10011/30_75_38075"
63	"NA/19/2022/10011/30_76_38076"
64	"NA/19/2022/10011/30_77_38077"
65	"NA/19/2022/10011/30_78_38078"
66	"NA/19/2022/10011/30_79_38079"
67	"NA/19/2022/10011/30_80_38080"
68	"NA/19/2022/10011/30_81_38081"
69	"NA/19/2022/10011/30_82_38082"
70	"NA/19/2022/10011/30_83_38083"
71	"NA/19/2022/10011/30_84_38084"
72	"NA/19/2022/10011/30_86_38086"
73	"NA/19/2022/10011/30_87_38087"
74	"NA/19/2022/10011/30_88_38088"
75	"NA/19/2022/10011/30_89_38089"
76	"NA/19/2022/10011/30_90_38090"
77	"NA/19/2022/10011/30_95_38095"
78	"NA/19/2022/10011/30_98_38098"
79	"NA/19/2022/10011/30_99_38099"
