"LogLikelihood"	"Iteration"
-3486.32773274206	1
-3458.10969111853	2
-3470.85946179288	3
-3410.89489786902	4
-3521.10142571867	5
-3484.99928112566	6
-3458.19858889279	7
-3490.55797241971	8
-3509.59875386616	9
-3526.18494123757	10
-3441.42991377335	11
-3545.43058394884	12
-3502.92599702109	13
-3508.7590264765	14
-3469.97008967871	15
-3395.46534928653	16
-3447.34021364254	17
-3423.51753867574	18
-3459.53411323409	19
-3482.72250832509	20
-3460.85204083101	21
-3469.17895880667	22
-3436.21810691094	23
-3494.74237847078	24
-3488.28969928551	25
-3497.70042962753	26
-3403.01171610626	27
-3453.80379100692	28
-3469.87044718649	29
-3500.87393612065	30
-3475.92405598854	31
-3416.08211947229	32
-3433.78548254848	33
-3502.10821750061	34
-3456.61302039921	35
-3435.89085406774	36
-3493.9056572444	37
-3507.46554662563	38
-3431.62498652964	39
-3472.29073437284	40
-3459.31569267697	41
-3484.05791840782	42
-3411.89392356493	43
-3484.01410510681	44
-3431.41506564267	45
-3465.94239579166	46
-3402.8549984358	47
-3488.15419992909	48
-3471.95542406964	49
-3491.74867124057	50
-3453.69339209796	51
-3431.26356836147	52
-3462.96262597846	53
-3478.73472148831	54
-3410.21334342295	55
-3436.55867547958	56
-3454.55336021128	57
-3462.5069539702	58
-3417.81254610028	59
-3495.5645702916	60
-3507.27640061763	61
-3538.38106700801	62
-3503.41247435032	63
-3488.27984713752	64
-3505.84008782388	65
-3510.09903186328	66
-3478.14423173607	67
-3425.47472063475	68
-3485.72257257373	69
-3394.16349905387	70
-3386.18961390341	71
-3480.65537697965	72
-3464.47942886811	73
-3463.39251569642	74
-3416.53367638481	75
-3480.15371018348	76
-3485.64858567125	77
-3419.26027289571	78
-3481.93577069432	79
-3492.33745391328	80
-3510.93440910691	81
-3575.37543765241	82
-3504.07788740563	83
-3501.12061447885	84
-3476.23676587239	85
-3483.62276536814	86
-3498.74142625288	87
-3465.05884542554	88
-3439.00535716864	89
-3431.83968047638	90
-3498.0378593338	91
-3407.10682434701	92
-3433.05232984327	93
-3471.07124922835	94
-3535.84630239407	95
-3501.50599937726	96
-3530.67604033187	97
-3520.9845201751	98
-3469.9533842344	99
-3592.75257738347	100
-3551.22435287513	101
-3425.95508913156	102
-3498.15021253531	103
-3470.02159821703	104
-3385.28210219686	105
-3490.76355563118	106
-3491.77583477325	107
-3563.78591861446	108
-3514.96730382432	109
-3467.52191893751	110
-3482.37583439445	111
-3410.91284734458	112
-3451.73838553541	113
-3443.20757725451	114
-3481.43933545385	115
-3464.47292661039	116
-3428.98818984157	117
-3439.86016423792	118
-3489.8993957484	119
-3410.49091594638	120
-3484.89293276155	121
-3462.51605074288	122
