"weightKG"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
0.46	36	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.648	39	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.641	39.5	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.446	36	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.368	33.5	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.447	37	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.489	36	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.627	39	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.55	37.5	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.684	40	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.458	35.5	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.415	35.5	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.382	34	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.352	33.5	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.369	34	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.619	39	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.538	37.5	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.596	38.5	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.585	39	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.52	38.5	1	"NA/19/2023/10011/30_13_38013_1"	NA	NA
0.569	38.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.612	39.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.381	34	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.418	35.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.548	38.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.443	36.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.514	37.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.56	39.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.416	35	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.555	38.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.607	40.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.357	33.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.542	38	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.578	39	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.544	38.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.633	40	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.383	34.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.397	34.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.327	33	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.362	33	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.555	39	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.547	39	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.343	34	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.363	33.5	2	"NA/19/2023/10011/30_14_38014_1"	NA	NA
0.424	36	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.439	35.5	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.358	32	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.382	33.5	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.371	34.5	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.494	37.5	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.486	37.5	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.564	38	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.527	38.5	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.609	39.5	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.521	38	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.522	37.5	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.536	38	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.383	34	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.417	34.5	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.669	40	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.682	41	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.509	37	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.438	36	3	"NA/19/2023/10011/30_15_38015_1"	NA	NA
0.537	38	4	"NA/19/2023/10011/30_16_38016_1"	NA	NA
0.431	33.5	4	"NA/19/2023/10011/30_16_38016_1"	NA	NA
0.445	37	4	"NA/19/2023/10011/30_16_38016_1"	NA	NA
0.311	32	4	"NA/19/2023/10011/30_16_38016_1"	NA	NA
0.39	34.5	4	"NA/19/2023/10011/30_16_38016_1"	NA	NA
0.317	31.5	4	"NA/19/2023/10011/30_16_38016_1"	NA	NA
0.425	35.5	4	"NA/19/2023/10011/30_16_38016_1"	NA	NA
0.371	33.5	4	"NA/19/2023/10011/30_16_38016_1"	NA	NA
