"names"	"values"
1	"NA/19/2023/10024/20_17_38417"
2	"NA/19/2023/10024/20_20_38420"
3	"NA/19/2023/10024/20_21_38421"
4	"NA/19/2023/10024/20_34_38434"
5	"NA/19/2023/10024/20_35_38435"
6	"NA/19/2023/10024/20_37_38437"
7	"NA/19/2023/10024/20_43_38443"
8	"NA/19/2023/10024/20_48_38448"
9	"NA/19/2023/10024/20_55_38455"
10	"NA/19/2023/10024/20_56_38456"
11	"NA/19/2023/10024/20_58_38458"
12	"NA/19/2023/10024/20_63_38463"
13	"NA/19/2023/10024/20_64_38464"
14	"NA/19/2023/10024/20_66_38466"
15	"NA/19/2023/10024/20_67_38467"
16	"NA/19/2023/10024/20_68_38468"
17	"NA/19/2023/10024/20_70_38470"
18	"NA/19/2023/10024/20_71_38471"
19	"NA/19/2023/10024/20_72_38472"
20	"NA/19/2023/10024/20_76_38476"
21	"NA/19/2023/10024/20_7_38407"
22	"NA/19/2023/10024/20_81_38481"
23	"NA/19/2023/10024/20_82_38482"
24	"NA/19/2023/10024/20_83_38483"
25	"NA/19/2023/10024/20_84_38484"
26	"NA/19/2023/10024/20_85_38485"
27	"NA/19/2023/10024/20_86_38486"
