"Age"	"Level"	"Iteration"	"AgeIndex"	"LevelIndex"	"Slope"	"tau_Slope"	"ar_Slope"	"Intercept"	"tau_Intercept"	"ar_Intercept"
1	"LevelIndex_1"	1	1	1	0.191795695995207	NA	NA	2.83889822556651	NA	NA
1	"LevelIndex_1"	2	1	1	0.203116923977994	NA	NA	2.79249277438218	NA	NA
1	"LevelIndex_1"	3	1	1	0.192987482667441	NA	NA	2.82642632965558	NA	NA
1	"LevelIndex_1"	4	1	1	0.185259540758269	NA	NA	2.84206764893066	NA	NA
1	"LevelIndex_1"	5	1	1	0.198540792628405	NA	NA	2.81109016533631	NA	NA
1	"LevelIndex_1"	6	1	1	0.197871146432117	NA	NA	2.81155405576325	NA	NA
1	"LevelIndex_1"	7	1	1	0.191007785298872	NA	NA	2.83286317502961	NA	NA
1	"LevelIndex_1"	8	1	1	0.189596726777307	NA	NA	2.83200991708551	NA	NA
1	"LevelIndex_1"	9	1	1	0.182224643965185	NA	NA	2.8567403718902	NA	NA
1	"LevelIndex_1"	10	1	1	0.192065945891353	NA	NA	2.83030348723469	NA	NA
1	"LevelIndex_1"	11	1	1	0.193490261499899	NA	NA	2.82136452308757	NA	NA
1	"LevelIndex_1"	12	1	1	0.186409316123869	NA	NA	2.84232330389267	NA	NA
1	"LevelIndex_1"	13	1	1	0.19277093846375	NA	NA	2.82599080722825	NA	NA
1	"LevelIndex_1"	14	1	1	0.190007107243662	NA	NA	2.83471782877817	NA	NA
1	"LevelIndex_1"	15	1	1	0.18919238576595	NA	NA	2.834951933229	NA	NA
1	"LevelIndex_1"	16	1	1	0.189099181002955	NA	NA	2.84766826782548	NA	NA
1	"LevelIndex_1"	17	1	1	0.184893675347953	NA	NA	2.85489940709213	NA	NA
1	"LevelIndex_1"	18	1	1	0.196455040037341	NA	NA	2.81942675220225	NA	NA
1	"LevelIndex_1"	19	1	1	0.198334344647129	NA	NA	2.81504253288748	NA	NA
1	"LevelIndex_1"	20	1	1	0.194538672728697	NA	NA	2.81663316840092	NA	NA
