"LogLikelihood"	"Iteration"
-2278.33190006017	1
-2271.36083314633	2
-2285.35965337613	3
-2278.07846803635	4
-2274.6017561957	5
-2271.30067525316	6
-2267.76198592866	7
-2288.52704218708	8
-2282.6952986447	9
-2276.30941957342	10
-2272.1957497385	11
-2283.03904712295	12
-2297.82165620008	13
-2268.11220967945	14
-2288.97747011996	15
-2280.95014620629	16
-2290.34368270664	17
-2273.91080793644	18
-2283.38392909284	19
-2274.41632926128	20
-2280.17127477555	21
-2258.50582968684	22
-2277.98572646415	23
-2273.74242187852	24
-2246.91845714045	25
-2278.44793141721	26
-2270.71589448344	27
-2259.25800378942	28
-2278.67776208493	29
-2279.72228072832	30
-2262.71029419952	31
-2288.98587112257	32
-2266.8858041483	33
-2257.46545016935	34
-2296.2777777868	35
-2270.84643887523	36
-2273.93526626804	37
-2264.96811949253	38
-2278.02053330178	39
-2267.37478904701	40
-2277.40348401781	41
-2281.27905974444	42
-2265.03639070382	43
-2269.41249790964	44
-2301.24026991636	45
-2295.70233825167	46
-2267.54809479985	47
-2279.51584299743	48
-2266.47467082648	49
-2290.3045078687	50
-2274.3319653069	51
-2279.07682291883	52
-2290.52033695717	53
-2266.57303241854	54
-2256.47327671296	55
-2265.24085199741	56
-2263.80605979075	57
-2297.03935945596	58
-2278.26014892263	59
-2269.03825537495	60
-2277.51037127764	61
-2278.8660980749	62
-2290.73451038064	63
-2285.18821278233	64
-2267.46990968909	65
-2286.96232999297	66
-2262.68601429409	67
-2285.14967256133	68
-2275.64682425214	69
-2283.30279457944	70
-2289.21931671915	71
-2267.49309198063	72
-2281.90776405853	73
-2265.7477870016	74
-2269.51863287888	75
-2287.08378416423	76
-2270.52939041219	77
-2277.07861709553	78
-2277.05466056717	79
-2282.79738288885	80
-2281.97085337103	81
-2276.60633739128	82
-2286.4040291939	83
-2275.96856240806	84
-2269.38851300512	85
-2288.70556870005	86
-2261.99101988256	87
-2274.79353966149	88
-2266.68928171368	89
-2264.92183457485	90
-2264.54697901713	91
-2278.86852907406	92
-2289.44181336597	93
-2260.14721929814	94
-2282.38002148889	95
-2277.15352424776	96
-2308.04062014603	97
-2301.50459677031	98
-2299.58889375012	99
-2264.17285828657	100
-2272.42397374275	101
-2277.59814961308	102
-2261.32801649202	103
-2284.02458596006	104
-2282.537750672	105
-2254.65022825287	106
-2275.04873197119	107
-2284.25912504638	108
-2297.3371701798	109
-2304.58098420747	110
-2271.78033392922	111
-2274.40361734778	112
-2267.36780690249	113
-2297.8051396258	114
-2259.82955811118	115
-2292.17324734466	116
-2295.43727464779	117
-2297.94940284516	118
-2271.14895636033	119
-2273.7162652622	120
-2271.02686931823	121
-2266.14970203711	122
-2282.65562687325	123
-2274.69388160413	124
-2264.02422168043	125
-2275.52576389659	126
-2286.16875611591	127
-2276.46441858049	128
-2259.83502117323	129
-2287.73141648609	130
-2268.78999237586	131
-2272.13059458118	132
-2282.46462597187	133
-2268.58083527374	134
-2299.27964041414	135
-2276.5313701674	136
-2288.077104422	137
-2279.32286596085	138
-2260.43329273726	139
-2282.70804164867	140
-2279.8442287866	141
-2262.1395472349	142
-2271.11467818845	143
-2260.17018135084	144
-2270.06329302431	145
-2283.24609516591	146
-2268.78072111541	147
-2266.57989608416	148
-2278.25144311362	149
-2290.75773534441	150
-2272.8323659735	151
-2277.24623392834	152
-2285.44107219406	153
-2269.38739144984	154
-2287.12688551097	155
-2276.60950666619	156
-2270.32923156715	157
-2290.1922675353	158
-2282.81251399348	159
-2277.13148282145	160
-2260.44067415776	161
-2294.94830899835	162
-2282.25249742644	163
-2290.21120818816	164
-2288.74673375473	165
-2267.59159655634	166
-2309.03395918152	167
-2289.18796473952	168
-2269.62416413672	169
-2251.06094516733	170
-2301.91936500107	171
-2285.74332023547	172
-2271.06344221721	173
-2277.95708455837	174
-2267.0266770988	175
-2279.23905070736	176
