"Iteration"	"tau_Intercept"
1	152.841963031591
2	150.111737787096
3	159.905388400811
4	168.031126512171
5	155.317245647712
6	162.410536776606
7	163.260605537352
8	155.663206576496
9	150.702186460656
10	160.167448587362
11	152.486701526738
12	171.564710989692
13	167.687319301246
14	162.449572466846
15	155.966075420115
16	154.079797077659
17	152.622555760215
18	151.6882532807
19	155.651434775823
20	155.310090267453
21	167.895132804949
22	162.598369264887
23	159.813134573444
24	161.120295078139
25	161.221500417535
26	159.731252917583
27	159.043700964962
28	164.508043890715
29	157.704311516413
30	158.255378785447
31	148.971435635416
32	166.268297894576
33	154.089806621995
34	158.435528271111
35	153.286225992036
36	149.125022392591
37	151.712754643696
38	154.823856346932
39	154.069398656421
40	167.483460788489
41	159.836710934788
42	165.909158153504
43	157.637006276463
44	158.286442914532
45	167.593805962942
46	174.796517321882
47	152.417096777755
48	152.959706429933
49	158.576446119135
50	169.980612895024
51	164.816535747484
52	153.272053607069
53	156.110611237415
54	170.263561570195
55	174.7064618527
56	172.251453349538
57	153.709011864351
58	153.153880431869
59	157.688617629081
60	162.154941259013
61	153.854101464349
62	152.303853846
63	154.891793503391
64	158.353238358494
65	156.198630945976
66	149.052772776006
67	150.822124197421
68	152.776966671351
69	158.856215815286
70	166.031056215783
71	158.179443848533
72	161.833619784835
73	157.939435940995
74	166.630542733714
75	161.51099071143
76	156.788834841785
77	151.065679027947
78	171.396742403359
79	164.170003278182
80	160.093720899511
81	159.333507821684
82	153.075053549802
83	150.901240506182
84	156.11952315673
85	157.751497213916
86	148.592388145333
87	156.962097225276
88	161.632692783496
89	158.237024838278
90	157.668549562769
91	145.397385463798
92	147.563248935664
93	157.776902763913
94	159.502748890216
95	163.811679528289
96	150.623147238308
97	156.32054386275
98	156.41336380576
99	152.041341260532
100	156.565899357417
101	155.501032328559
102	166.481032037501
103	150.928008500777
104	141.342373664978
105	154.37505501907
106	158.260928132718
107	157.461260420767
108	155.353139132856
109	159.826702992761
110	166.856598272609
111	160.868018704169
112	159.464075756984
113	156.58503468648
114	161.657227297089
115	161.425571350813
116	152.360458367116
117	147.849020447356
118	165.487896101966
119	149.844975553582
120	161.528572097066
121	155.122925532699
122	152.792743113505
123	160.129275890485
124	152.614078126288
125	172.415239226931
126	155.141336400483
127	158.602645805363
128	154.770424265748
129	150.541050523097
130	150.124892687005
131	166.178240550081
132	157.294322721729
133	141.869506530408
134	161.281744867714
135	163.070147180933
136	145.912140676288
137	153.649751848755
138	171.652181048029
139	151.468605176643
140	158.440398862574
141	160.875304401792
142	162.270812872538
143	158.285736052878
144	161.046264150947
145	157.836381669955
146	163.983740814804
147	160.55509781294
148	162.063680544773
149	166.784359647689
150	160.058399449033
151	157.692456119324
152	153.572639109363
153	174.680432510184
154	159.61430141648
155	154.244860844682
156	150.654580811795
157	162.265543553142
158	152.617601463669
159	162.130266457451
160	168.802525167257
161	150.988311680721
162	158.907654624502
163	160.877640095669
164	153.390172864091
165	156.177074437516
166	171.066981340186
167	164.639690670256
168	160.897417988353
169	156.164345600327
170	157.979871245974
171	166.252112005838
172	155.167613493143
173	151.168335197758
174	159.969176682245
175	152.646072401326
176	160.206282538262
177	150.000305360945
178	154.136509471316
179	167.417135065516
180	161.023462931543
181	162.877912686227
182	154.455184859234
183	159.932010650143
184	151.481154114833
185	161.033380837292
186	163.62184345725
187	147.106806371036
188	155.260217609332
189	147.117167647064
190	162.570993217208
191	162.527729244526
192	167.567039529924
193	149.053950366015
194	160.196464046859
195	157.887709461216
196	148.526230973831
197	161.514064645214
198	159.766156624343
199	155.052359240715
200	157.037896570523
201	172.583594669944
202	162.185145698904
203	158.154573399867
204	168.224918532672
205	154.246392166059
206	156.933400148056
207	157.877501141078
208	155.474238729687
209	163.993171272233
210	151.130180885914
211	163.366123854896
212	154.202590947422
213	164.173217346672
214	154.582995725378
215	161.148501841783
216	159.409200150881
217	162.74651107761
218	159.935585486003
219	169.666814484821
220	155.784211766899
221	155.769214293338
222	162.540654593736
223	160.624753073589
224	156.805488269507
225	167.168319459026
226	145.650242286088
227	163.915075638114
228	155.020934487548
229	153.654959384089
230	154.370705183414
231	161.243789426922
232	153.42909968842
233	157.855981833724
234	158.974426003617
235	150.110938242565
236	161.899704895104
237	156.458960322487
238	157.464951931245
239	164.454377711341
240	158.756372086198
241	153.106656112407
242	146.894014848896
243	169.229594865111
244	162.683404736309
245	158.717168789554
246	155.450773022617
247	149.703092886775
248	153.097907059651
249	164.906095916506
250	161.456971798341
251	155.260695918658
252	157.612800269988
253	162.844109288314
254	149.870777248956
255	159.546367345634
256	155.348810709972
257	150.997287027304
258	157.159058820892
259	157.700154905466
260	143.730242912207
261	153.20227760345
262	157.272460055978
263	161.261617980236
264	163.643991395169
265	161.725798164924
266	160.877458097654
267	156.870956565549
268	151.906762580006
269	154.121232178916
270	165.378027131802
271	157.923234819143
272	168.810778350078
273	166.389453857292
274	153.103247438687
275	154.467699214337
276	152.863370881033
277	157.99716263233
278	154.46793016886
279	157.601555269327
280	152.868317202323
281	162.001981565196
282	152.415902066435
283	162.391881283542
284	159.300743923709
285	154.095728639135
286	157.378025047271
287	163.220125845482
288	156.723564135366
289	171.183644113671
290	160.754524481468
291	158.933589641922
292	146.401675129168
293	155.738994944705
294	156.372529125066
295	157.883982725799
296	174.089707943788
297	159.375456214383
298	151.791167444593
299	157.133831953122
300	159.057208531075
301	150.78454068683
302	149.495552193975
303	154.009964709516
304	151.506421586083
305	159.259860304032
306	158.547080432908
307	158.250309502439
308	153.924764622663
309	146.800205078357
310	164.308635416865
311	168.709660452798
312	166.30768800839
313	154.254097594269
314	162.613066589221
315	171.20868249782
316	150.64856369922
317	158.968718398069
318	161.007292247359
319	155.533128209562
320	158.859490304952
321	160.185087806142
322	165.48506345229
323	164.316819776417
324	149.947686879514
325	172.914208521888
326	153.176793710111
327	163.108913953036
328	155.709698577886
329	164.990291704226
330	163.243269389145
331	154.937323008567
332	159.67777576407
333	156.414491848535
334	156.09126220173
335	165.465702094975
336	163.121884606714
337	160.949101923497
338	161.589142772987
339	161.12702619514
340	153.09795361686
341	158.583244420702
342	151.293556185876
343	155.616746919893
344	155.847270245922
345	156.089390332148
346	159.138402446885
347	164.807081493759
348	141.388676739245
349	150.156839862496
350	146.857781552618
351	153.918576005556
352	173.146752174704
353	157.562828259116
354	164.806925245726
355	164.124335078382
356	158.087985785867
357	153.235469911442
358	163.657875108583
359	155.22222012585
360	159.307521817299
361	156.855703750697
362	154.248616326695
363	156.22382766179
364	158.767879579927
365	160.480343089039
366	157.915031928914
367	155.286527307959
368	157.900943991688
369	156.379334134554
370	146.563553424644
371	157.007550221061
372	156.180449996613
373	148.13545591748
374	167.839159557257
375	152.492762033058
376	151.439474419303
377	161.330197542341
378	161.829945829152
379	159.666163783515
380	160.877045863227
381	152.964982181379
382	160.974474339024
383	158.389820831294
384	165.73575999851
385	160.438394105929
386	159.716238551029
387	164.54049958799
388	158.077591464605
389	155.506946279772
390	149.290162828454
391	154.770533499246
392	164.98395903453
393	158.68945515283
394	152.472530570765
395	154.685745818816
396	157.969560831196
397	163.746802481148
398	162.072705486726
399	153.892384188238
400	155.649875122997
