"age"	"part.year"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
4	0.437158469945355	28.5	1	1	NA	NA
3	0.437158469945355	27.5	1	1	NA	NA
3	0.437158469945355	25.5	1	1	NA	NA
5	0.437158469945355	29.5	1	1	NA	NA
3	0.437158469945355	27	1	1	NA	NA
3	0.437158469945355	26.5	1	1	NA	NA
3	0.437158469945355	26.5	1	1	NA	NA
4	0.437158469945355	28	1	1	NA	NA
4	0.437158469945355	28.5	1	1	NA	NA
3	0.437158469945355	27	1	1	NA	NA
3	0.437158469945355	24.5	1	1	NA	NA
9	0.437158469945355	29	1	1	NA	NA
9	0.437158469945355	26.5	1	1	NA	NA
5	0.437158469945355	26	1	1	NA	NA
7	0.437158469945355	27	1	1	NA	NA
3	0.437158469945355	26.5	1	1	NA	NA
4	0.437158469945355	28	1	1	NA	NA
3	0.437158469945355	28	1	1	NA	NA
5	0.437158469945355	25.5	1	1	NA	NA
10	0.437158469945355	27.5	1	1	NA	NA
9	0.437158469945355	27.5	1	1	NA	NA
4	0.437158469945355	29	1	1	NA	NA
6	0.437158469945355	26.5	1	1	NA	NA
4	0.437158469945355	27.5	1	1	NA	NA
7	0.437158469945355	27	1	1	NA	NA
5	0.437158469945355	25.5	1	1	NA	NA
4	0.437158469945355	25	1	1	NA	NA
7	0.437158469945355	27	1	1	NA	NA
7	0.437158469945355	27.5	1	1	NA	NA
10	0.437158469945355	31	1	1	NA	NA
3	0.437158469945355	25.5	1	1	NA	NA
10	0.437158469945355	28	1	1	NA	NA
5	0.437158469945355	24.5	1	1	NA	NA
3	0.437158469945355	25	1	1	NA	NA
3	0.437158469945355	24.5	1	1	NA	NA
3	0.437158469945355	27.5	1	1	NA	NA
3	0.437158469945355	24	1	1	NA	NA
6	0.437158469945355	26.5	1	1	NA	NA
3	0.437158469945355	27	1	1	NA	NA
6	0.437158469945355	26.5	1	1	NA	NA
6	0.437158469945355	27	1	1	NA	NA
3	0.437158469945355	27	1	1	NA	NA
4	0.437158469945355	25	1	1	NA	NA
3	0.437158469945355	24.5	1	1	NA	NA
7	0.437158469945355	27	1	1	NA	NA
4	0.437158469945355	25	1	1	NA	NA
3	0.437158469945355	24.5	1	1	NA	NA
10	0.437158469945355	27.5	1	1	NA	NA
2	0.461748633879781	19.5	2	1	NA	NA
2	0.461748633879781	22.5	2	1	NA	NA
2	0.461748633879781	21	2	1	NA	NA
2	0.461748633879781	21	2	1	NA	NA
3	0.461748633879781	24	2	1	NA	NA
1	0.461748633879781	19.5	2	1	NA	NA
2	0.461748633879781	23	2	1	NA	NA
2	0.461748633879781	20	2	1	NA	NA
2	0.461748633879781	21.5	2	1	NA	NA
1	0.461748633879781	19.5	2	1	NA	NA
2	0.461748633879781	21	2	1	NA	NA
2	0.461748633879781	20	2	1	NA	NA
1	0.461748633879781	19	2	1	NA	NA
1	0.461748633879781	20.5	2	1	NA	NA
2	0.461748633879781	21.5	2	1	NA	NA
1	0.461748633879781	21	2	1	NA	NA
3	0.461748633879781	24.5	2	1	NA	NA
2	0.461748633879781	20	2	1	NA	NA
3	0.461748633879781	23	2	1	NA	NA
3	0.461748633879781	23.5	2	1	NA	NA
2	0.461748633879781	21	2	1	NA	NA
2	0.461748633879781	22.5	2	1	NA	NA
1	0.461748633879781	19	2	1	NA	NA
2	0.461748633879781	21.5	2	1	NA	NA
2	0.461748633879781	21	2	1	NA	NA
1	0.461748633879781	19.5	2	1	NA	NA
1	0.461748633879781	19	2	1	NA	NA
1	0.461748633879781	19.5	2	1	NA	NA
1	0.461748633879781	20	2	1	NA	NA
1	0.461748633879781	20.5	2	1	NA	NA
1	0.461748633879781	20	2	1	NA	NA
2	0.461748633879781	20	2	1	NA	NA
2	0.461748633879781	19	2	1	NA	NA
1	0.461748633879781	20.5	2	1	NA	NA
