"LogLikelihood"	"Iteration"
-7070.56618539816	1
-7081.4871126336	2
-7052.43814350478	3
-7110.88217114326	4
-7080.01823240959	5
-7077.66050182954	6
-7055.12961981767	7
-7097.25126684281	8
-7074.36552501217	9
-7066.68237547302	10
-7070.71846717506	11
-7048.85295569665	12
-7064.28663403318	13
-7055.46989831565	14
-7077.43548550939	15
-7057.49141740244	16
-7086.26780512415	17
-7065.34039568332	18
-7053.46687143105	19
-7082.28074246311	20
-7063.26335924612	21
-7050.06758695461	22
-7064.70592662348	23
-7086.1393633748	24
-7084.09629483507	25
-7067.68139444703	26
-7062.91830738275	27
-7053.72018776135	28
-7080.58564207644	29
-7086.65960765306	30
-7075.64351559782	31
-7041.98369794467	32
-7077.83079264008	33
-7106.44700099634	34
-7065.5939951759	35
-7084.69404898421	36
-7020.41547455331	37
-7043.74305692944	38
-7055.53160295661	39
-7045.95574986363	40
-7081.3114016263	41
-7051.29142324421	42
-7069.65701938004	43
-7069.2023629644	44
-7065.14967773021	45
-7144.74380179119	46
-7098.05091399574	47
-7086.14773726557	48
-7116.92306854333	49
-7146.42651157288	50
-7051.6446076989	51
-7033.63324463821	52
-7092.2653540636	53
-7068.34115329213	54
-7062.81399181427	55
-7057.95934069468	56
-7070.25962169611	57
-7052.75726739065	58
-7042.21780356609	59
-7069.00027853687	60
-7076.81607759182	61
-7059.65348899955	62
-7056.63958133543	63
-7068.06740521766	64
-7058.52133166234	65
-7039.32136490355	66
-7084.32788038027	67
-7067.52174170114	68
-7093.83292291104	69
-7091.76251773179	70
-7086.0004193468	71
-7044.33280233743	72
-7092.85042900066	73
-7066.95601914386	74
-7061.50613063816	75
-7054.15131358209	76
-7056.71511192481	77
-7077.69844714001	78
-7080.2602341011	79
-7074.63460492594	80
-7072.44139732732	81
-7031.41218208873	82
-7049.15463363654	83
-7074.4377543033	84
-7054.96126053271	85
-7076.10524234099	86
-7080.23601292805	87
-7104.41696124136	88
-7068.44244082405	89
-7077.63508845337	90
-7050.14920260255	91
-7055.946268146	92
-7084.47152066779	93
-7060.41640851348	94
-7077.72360754703	95
-7081.86620972067	96
-7094.23665474884	97
-7058.35474164774	98
-7077.45521562603	99
-7103.76652264779	100
-7127.13655604698	101
-7068.70612239661	102
-7052.76975980663	103
-7064.00402159217	104
-7084.07267530363	105
-7049.05601230505	106
-7070.91412751492	107
-7067.75859471025	108
-7049.3539239039	109
-7070.47259648264	110
-7072.90803428828	111
-7078.74781555174	112
-7059.24419401903	113
-7082.80662859069	114
-7070.86431336927	115
-7060.40473635614	116
-7063.68797656043	117
-7096.37779404111	118
-7064.09358364784	119
-7082.15379412029	120
-7035.45099300519	121
-7082.53919608841	122
-7070.55475116621	123
-7054.21650386858	124
-7036.17840670725	125
-7058.33386375116	126
-7084.18239126815	127
-7029.28791165228	128
-7105.97995573244	129
-7086.29635745304	130
-7081.67410708549	131
-7063.69723647061	132
-7074.58418887868	133
-7088.86704964933	134
-7041.41034858755	135
-7057.26192374229	136
-7063.36223921814	137
-7060.91193025163	138
-7043.74497191041	139
-7057.48504060754	140
-7070.8066947887	141
-7053.32314626272	142
-7057.72443701886	143
-7096.19620117182	144
-7071.16340489472	145
-7060.97801286269	146
-7053.3920769505	147
-7077.70153994713	148
-7079.21991208589	149
-7086.02151722727	150
-7050.56623974505	151
-7086.71733442893	152
-7082.39590239095	153
-7109.19440243882	154
-7052.09051672029	155
-7092.42175205901	156
-7058.10549749276	157
-7041.23158720605	158
-7034.2366131419	159
-7088.38887471873	160
-7080.91895621713	161
-7062.17675766239	162
-7039.64046047117	163
-7055.26489812193	164
-7116.85241244466	165
-7031.20048489361	166
-7064.93760562606	167
-7051.94827820449	168
-7067.36176485616	169
-7060.92217029188	170
-7068.10131862352	171
-7093.98840884682	172
-7051.47229264648	173
-7088.19957234003	174
-7092.46420609399	175
-7067.36471255883	176
-7072.62769346988	177
-7079.71637917064	178
-7074.82512911178	179
-7065.56786096101	180
-7084.80554369897	181
-7059.08158798692	182
-7071.26609599659	183
-7065.22891936477	184
-7105.23170788972	185
-7055.21068261435	186
-7055.34242172493	187
-7097.05949353458	188
-7049.78232962308	189
-7080.53644940428	190
-7070.65345943448	191
-7076.17880299733	192
-7072.0805408885	193
-7065.25998131832	194
-7100.59886884577	195
-7031.5879172612	196
-7096.91503557429	197
-7050.01284415809	198
-7063.51891840052	199
-7093.43818973848	200
-7051.72494572725	201
-7124.58121797934	202
-7058.58923200633	203
-7066.74397387712	204
-7069.84375933746	205
-7062.07954650206	206
-7042.22306634447	207
-7075.3849843644	208
-7058.04543191719	209
-7096.58862100484	210
-7038.04568076862	211
-7056.41929742778	212
-7053.47793657137	213
-7045.66575121461	214
-7036.92194931434	215
-7046.63341953544	216
-7073.10107062835	217
-7058.07501757088	218
-7068.94120391647	219
-7055.67363441296	220
-7072.6285188907	221
-7077.2659040637	222
-7067.2673569382	223
-7073.10633220129	224
-7083.99086300173	225
-7035.36410771445	226
-7075.57136402833	227
-7083.27320701902	228
-7038.39812717976	229
-7055.29103109627	230
-7070.7173497361	231
-7060.81314823741	232
-7048.02035874509	233
-7074.66406119219	234
-7061.84294818487	235
-7057.8636788793	236
-7088.38375169616	237
-7038.89143808007	238
-7065.44267595139	239
-7080.96284140624	240
-7053.0734215798	241
-7025.03298444939	242
-7041.76604195831	243
-7049.44952347054	244
-7055.47022284031	245
-7052.98262531199	246
-7074.26583993421	247
-7074.60018852154	248
-7102.27319636988	249
-7082.03672953927	250
-7060.72944947644	251
-7058.42272247665	252
-7034.47417215593	253
-7065.02320846099	254
-7040.8389883282	255
-7077.73107225608	256
-7068.61033139266	257
-7048.63417933584	258
-7048.54692683087	259
-7058.70667540753	260
-7063.7153221422	261
-7063.26251544867	262
-7055.17167375075	263
-7048.97188386952	264
-7101.43660367601	265
-7075.74278339943	266
-7067.10130280534	267
-7073.27408457889	268
-7041.18708409037	269
-7072.31686499733	270
-7073.051944516	271
-7053.43016577711	272
-7053.92114459281	273
-7106.74342676172	274
-7080.04362367062	275
-7089.27728586135	276
-7071.40602045151	277
-7096.04405640075	278
-7064.71537201671	279
-7050.6083756319	280
-7073.72805108306	281
-7097.26383249106	282
-7119.07222624045	283
-7065.7505571245	284
-7049.86603918534	285
-7072.54648049311	286
-7080.83507895849	287
-7069.38322836054	288
-7069.44826915721	289
-7037.01317862837	290
-7076.60068403684	291
-7048.00842804769	292
-7062.0182798389	293
-7069.21418386524	294
-7073.96527907988	295
-7053.6659603294	296
-7086.22386747803	297
-7057.33653498244	298
-7081.97542718897	299
-7064.97420283646	300
-7041.57766844538	301
-7041.81971873455	302
-7066.78102180692	303
-7066.66908926973	304
-7067.1747032009	305
-7041.93442191349	306
-7057.22823019409	307
-7050.76650074241	308
-7104.28386978401	309
-7086.85262873987	310
-7026.79847658164	311
-7081.4138448065	312
-7076.98470739672	313
-7083.66707295485	314
-7094.35602610899	315
-7039.40652064216	316
-7074.5994560147	317
-7055.52618146611	318
-7047.31107571047	319
-7070.39955925168	320
-7043.44763353355	321
-7057.50008075583	322
-7075.47004487799	323
-7095.78838317411	324
-7077.87383064983	325
-7058.19301509504	326
-7110.25608801017	327
-7064.57124229431	328
-7085.20200477786	329
-7060.86550090849	330
-7049.64858567916	331
-7062.73461753089	332
-7067.46569753986	333
-7036.55521702051	334
-7085.26139639208	335
-7080.01670136785	336
-7040.55648469016	337
-7084.46303009109	338
-7083.40666477199	339
-7066.12411463242	340
-7070.33575422436	341
-7066.25269946718	342
-7049.39337909914	343
-7074.24447708586	344
-7097.59094737853	345
-7057.1121406778	346
-7086.21320559975	347
-7054.32377209746	348
-7091.44136777897	349
-7082.36976704424	350
-7033.72544190775	351
-7063.75537691867	352
-7086.41861468107	353
-7057.01062526727	354
-7050.68598772335	355
-7039.55890967623	356
-7056.56017143481	357
-7066.59989838272	358
-7088.97382690387	359
-7094.56079901369	360
-7080.68035500954	361
-7031.50921688318	362
-7087.17860940727	363
-7049.74423085219	364
-7047.98985412943	365
-7050.59131123344	366
-7094.38444670971	367
-7087.85273028084	368
-7099.36342112954	369
-7042.46408425295	370
-7070.05300234682	371
-7072.46939664227	372
-7051.51674548775	373
-7087.01101708644	374
-7072.72455259849	375
-7093.81692703803	376
-7041.00378272422	377
-7070.68534301139	378
-7098.76329969414	379
-7082.99585409333	380
-7083.14785715046	381
-7095.02324056087	382
-7065.12081244676	383
-7055.06446954696	384
-7038.372784898	385
-7097.58281212655	386
-7072.55349194394	387
-7073.60261819024	388
-7084.62304269095	389
-7082.70893566067	390
-7083.89739300672	391
-7049.2861972719	392
-7090.51615052866	393
-7121.93795350095	394
-7044.16058832718	395
-7089.68970881988	396
-7043.94813181031	397
-7053.05796891688	398
-7094.57806508941	399
-7084.40575931794	400
