"LogLikelihood"	"Iteration"
-7059.92244448206	1
-7074.67724696516	2
-7056.06999052374	3
-7062.06207601005	4
-7053.01619779602	5
-7073.60819313762	6
-7063.85897556826	7
-7077.97474630203	8
-7056.40572145914	9
-7069.09968639552	10
-7050.35030993819	11
-7040.13680119233	12
-7036.10056599123	13
-7045.49241155408	14
-7077.88361261877	15
-7075.84507183762	16
-7084.46237173924	17
-7078.04153232294	18
-7110.7412406303	19
-7078.2526659319	20
-7055.3717017722	21
-7092.78471223309	22
-7062.7343685548	23
-7096.29175328942	24
-7076.64978894274	25
-7078.90851668126	26
-7057.43935185657	27
-7074.8341754275	28
-7101.08806769905	29
-7061.2341803793	30
-7059.78326755684	31
-7069.49459310294	32
-7091.50225928246	33
-7060.5351075032	34
-7095.3809379921	35
-7073.32601642911	36
-7084.82384110487	37
-7060.74016542642	38
-7078.18646379728	39
-7095.19155491148	40
-7089.21668216851	41
-7052.39836176926	42
-7091.52896419189	43
-7078.33204119173	44
-7109.7007487596	45
-7065.27968458741	46
-7069.85555125324	47
-7050.66314728761	48
-7085.9136715563	49
-7043.89906494738	50
-7069.01228987318	51
-7087.75322891026	52
-7090.61706473425	53
-7092.72675517758	54
-7105.64635397966	55
-7071.25753782778	56
-7054.2848771762	57
-7141.96028093692	58
-7039.14322672756	59
-7075.91221848402	60
-7073.37007879342	61
-7050.75730621265	62
-7066.29051246319	63
-7089.13850796972	64
-7088.47811571043	65
-7062.41699941414	66
-7068.47296752782	67
-7074.74398923842	68
-7037.2234670758	69
-7119.74708903864	70
-7091.38857175915	71
-7059.64237047692	72
-7093.92012226571	73
-7055.54618859756	74
-7063.47712142925	75
-7046.25755077042	76
-7099.74664133788	77
-7092.77194755464	78
-7072.8903405042	79
-7092.79526308345	80
-7059.14561277474	81
-7088.60137740038	82
-7066.97142552464	83
-7092.56283635024	84
-7057.99683481936	85
-7069.92886603417	86
-7028.21440314808	87
-7084.36014682894	88
-7062.95305209627	89
-7089.15050127562	90
-7072.76151833781	91
-7057.78790843533	92
-7065.82591283407	93
-7056.71383175433	94
-7113.7870164547	95
-7066.98641295882	96
-7088.6717151753	97
-7036.82313677297	98
-7022.74426416908	99
-7092.75046033924	100
-7082.3772837395	101
-7101.79013603514	102
-7062.06694397698	103
-7043.62981337615	104
-7067.87738746312	105
-7085.46369225675	106
-7086.09062673352	107
-7075.24499371664	108
-7066.63455301924	109
-7085.9010528496	110
-7080.66746747336	111
-7112.95242316141	112
-7106.81865394481	113
-7089.30197739841	114
-7088.02339777088	115
-7061.97593608619	116
-7050.32780067337	117
-7078.56353305342	118
-7089.56810768302	119
-7063.99137850353	120
-7060.41407672553	121
-7046.86909062682	122
-7072.66062709361	123
-7038.91699134443	124
-7082.90742075893	125
-7067.38775605376	126
-7077.56724154362	127
-7058.4364025855	128
-7086.63293147375	129
-7084.91683380905	130
-7086.55727134696	131
-7077.60234627887	132
-7071.97322741114	133
-7092.48062771567	134
-7060.37347552314	135
-7058.25020366983	136
-7063.77251424996	137
-7062.56359254506	138
-7045.61688770107	139
-7065.52970278588	140
-7087.52237376816	141
-7044.28439909257	142
-7061.94951910417	143
-7059.11975914644	144
-7079.89759772877	145
-7049.38906027974	146
-7077.09308956817	147
