"Age"	"Level"	"Iteration"	"AgeIndex"	"LevelIndex"	"Slope"	"tau_Slope"	"ar_Slope"	"Intercept"	"tau_Intercept"	"ar_Intercept"
1	"LevelIndex_1"	1	1	1	0.158600185517361	NA	NA	2.92183179127622	NA	NA
1	"LevelIndex_1"	2	1	1	0.15918777541547	NA	NA	2.92101442298962	NA	NA
1	"LevelIndex_1"	3	1	1	0.159367271344968	NA	NA	2.93147437898294	NA	NA
1	"LevelIndex_1"	4	1	1	0.166756589072781	NA	NA	2.90378177608294	NA	NA
1	"LevelIndex_1"	5	1	1	0.154151302441791	NA	NA	2.942246382906	NA	NA
1	"LevelIndex_1"	6	1	1	0.158697174928918	NA	NA	2.9213275469772	NA	NA
1	"LevelIndex_1"	7	1	1	0.154895993044371	NA	NA	2.93402573426643	NA	NA
1	"LevelIndex_1"	8	1	1	0.15580555022401	NA	NA	2.92525481698997	NA	NA
1	"LevelIndex_1"	9	1	1	0.152224045569568	NA	NA	2.94470016647006	NA	NA
1	"LevelIndex_1"	10	1	1	0.155612524832121	NA	NA	2.93367623572203	NA	NA
1	"LevelIndex_1"	11	1	1	0.158932312829312	NA	NA	2.92194435250506	NA	NA
1	"LevelIndex_1"	12	1	1	0.161122390155893	NA	NA	2.92718720059145	NA	NA
1	"LevelIndex_1"	13	1	1	0.161107060815636	NA	NA	2.91389060515959	NA	NA
1	"LevelIndex_1"	14	1	1	0.161695594088509	NA	NA	2.91521103238488	NA	NA
1	"LevelIndex_1"	15	1	1	0.158828176031522	NA	NA	2.92287419050971	NA	NA
1	"LevelIndex_1"	16	1	1	0.157428814782255	NA	NA	2.91920549763457	NA	NA
1	"LevelIndex_1"	17	1	1	0.161398556172188	NA	NA	2.91853718622403	NA	NA
1	"LevelIndex_1"	18	1	1	0.162260089039486	NA	NA	2.91928237099883	NA	NA
1	"LevelIndex_1"	19	1	1	0.16281415375606	NA	NA	2.92068002512315	NA	NA
1	"LevelIndex_1"	20	1	1	0.160244271773316	NA	NA	2.92138413530381	NA	NA
1	"LevelIndex_1"	21	1	1	0.159631491306936	NA	NA	2.92467149867215	NA	NA
1	"LevelIndex_1"	22	1	1	0.158768173841327	NA	NA	2.9262661802833	NA	NA
1	"LevelIndex_1"	23	1	1	0.159487541351108	NA	NA	2.91321883572751	NA	NA
1	"LevelIndex_1"	24	1	1	0.157115283114603	NA	NA	2.92313876839578	NA	NA
1	"LevelIndex_1"	25	1	1	0.157045022022128	NA	NA	2.92428266702293	NA	NA
1	"LevelIndex_1"	26	1	1	0.157200911801472	NA	NA	2.92172299122033	NA	NA
1	"LevelIndex_1"	27	1	1	0.154746313172563	NA	NA	2.93486666698814	NA	NA
1	"LevelIndex_1"	28	1	1	0.157112034528518	NA	NA	2.92099774617615	NA	NA
1	"LevelIndex_1"	29	1	1	0.1593939560457	NA	NA	2.9204519663552	NA	NA
1	"LevelIndex_1"	30	1	1	0.157254561716087	NA	NA	2.92671471193395	NA	NA
1	"LevelIndex_1"	31	1	1	0.163326247046007	NA	NA	2.91030431579016	NA	NA
1	"LevelIndex_1"	32	1	1	0.160302972844976	NA	NA	2.93160825245136	NA	NA
1	"LevelIndex_1"	33	1	1	0.161797810664119	NA	NA	2.9166148561769	NA	NA
