"LogLikelihood"	"Iteration"
-7010.88429223179	1
-7027.13842113619	2
-7050.17438870646	3
-7045.82662833811	4
-7023.01562171774	5
-7032.66899372052	6
-7036.09671530274	7
-7036.862509716	8
-7013.51452871599	9
-7026.57086917631	10
-7073.4793724047	11
-7026.69087367564	12
-7001.58974384874	13
-7037.38893451612	14
-7063.3062444057	15
-7009.46729919081	16
-7028.52950875551	17
-7058.97509365427	18
-7056.05433346443	19
-7047.93581420896	20
-7025.81476003214	21
-6991.47173300024	22
-7032.46691516162	23
-7023.51934768271	24
-7075.96775980624	25
-7016.26997893247	26
-7044.58627685212	27
-7039.56753480125	28
-7073.30688848274	29
-7068.85745212286	30
-7073.28460958694	31
-7066.28834047238	32
-7021.83682093539	33
-7024.09425511591	34
-7023.26518080843	35
-7060.17261232086	36
-7052.45790025027	37
-7014.44637763787	38
-7041.62619318285	39
-7030.99790806778	40
-7005.23552909045	41
-7024.72246256774	42
-7046.74653830143	43
-7052.4150757099	44
-7058.91320253243	45
-7072.99265867254	46
-7038.05980897384	47
-7017.15008333607	48
-7026.94540463312	49
-7041.39239215502	50
-7032.39439455775	51
-7005.35127290219	52
-7081.66468464163	53
-7052.50308173892	54
-7024.90591236523	55
-7029.25724587934	56
-7044.51357719815	57
-7019.13270842806	58
-7037.11292404924	59
-7061.36484113057	60
-7053.53304105956	61
-7032.3388194489	62
-7034.84459662583	63
-7102.21875426753	64
-7006.7790364631	65
-7023.39669701464	66
-7037.30811184201	67
-7022.54833628351	68
-7054.22391461507	69
-7043.46046432544	70
-7068.78340179135	71
-7018.72469804984	72
-7046.68728618453	73
-7075.97307442833	74
-7044.42578000211	75
-7037.40397155416	76
-7004.40863636662	77
-7040.78644014412	78
-7038.80418373847	79
-7026.052852842	80
-7000.77329107323	81
-7012.82777507864	82
-7056.08975224334	83
-7005.13152763966	84
-7043.84374480246	85
-7029.74572615839	86
-7054.99898255424	87
-7023.68059139769	88
-7027.85415379301	89
-7017.69695467194	90
-6998.22872159844	91
-7047.60757196482	92
-7070.73278065641	93
-7036.15608207413	94
-7022.54760073999	95
-7048.46588432691	96
-7038.68971004751	97
-7021.17322697723	98
-7049.53942777035	99
-7070.90026372771	100
-7035.41841069283	101
-7028.67916542312	102
-7026.80711928596	103
-7054.83469625361	104
-7056.73275635448	105
-7034.27943753394	106
-7060.00643556063	107
-7047.46021879495	108
-7041.48972950377	109
-7021.51916871971	110
-7039.98199692162	111
-7019.37424126201	112
-7040.1158967261	113
-7043.63116531821	114
-7015.43183373656	115
-6987.75598643206	116
-7043.72331261574	117
-7051.90954341612	118
-7070.85080737267	119
-7037.03661421032	120
-7037.59073373227	121
-7021.40924462861	122
-7019.07467287539	123
-7035.71971760282	124
-7013.9110730227	125
-7012.70597158984	126
-7019.94355641348	127
-7061.84095551113	128
-7034.43067405263	129
-7039.80609950934	130
-7026.17083466443	131
-7047.97696664173	132
-7073.89610250727	133
-7016.39066818486	134
-7027.9104998247	135
-7065.69515821489	136
-7061.78469606488	137
-7039.59985600503	138
-7013.26094383958	139
-7008.93261081265	140
-7023.43244007351	141
-7061.0747456615	142
-7032.3642049525	143
-7045.74432619228	144
-7033.21601062284	145
-7035.63251120078	146
-7056.87884422471	147
-7042.71632007226	148
-7070.14845461273	149
-7031.97001888562	150
-7010.59521708654	151
-7060.9085956569	152
-7044.22627544677	153
-7021.61523834892	154
-7032.45795741701	155
-7004.31253155584	156
-7030.36346699347	157
-7051.44236501903	158
-7051.21144752525	159
-7099.95830230861	160
-7030.17303148973	161
-7023.4382064804	162
-7024.56150947779	163
-7045.03793751909	164
-7054.84583742832	165
-7022.03060146003	166
-7015.08673185852	167
-7042.55690800937	168
-7047.61815523677	169
-7092.74148520038	170
-7067.38451915695	171
-7008.25795316403	172
-7036.79076198591	173
-7011.87179570426	174
-6996.0566333668	175
-7046.92229174901	176
-7038.55971741275	177
-7058.28945899863	178
-7049.0418969301	179
-7016.7985392075	180
-7050.68477366065	181
-6995.58939459279	182
-7007.80066167324	183
-7053.67887602527	184
-7016.8173499457	185
-7038.97227729249	186
-7047.82272986834	187
-7043.49912973757	188
-7042.00103630186	189
-7075.43373561279	190
-7105.78512553455	191
-7031.62795881335	192
-7040.05416605178	193
-7037.44286601924	194
-7026.41310968475	195
-7023.63410264877	196
-7021.16944909007	197
-7026.62611362575	198
-7042.3842079191	199
-7022.4238467886	200
-7024.74796521755	201
-7042.02889169828	202
-7042.52112303809	203
-7040.47649062457	204
-7021.43546752019	205
-7019.01629641997	206
-7040.39920700201	207
-7041.53699879617	208
-7031.05637016211	209
-7045.56098718425	210
-7043.54941494501	211
-7015.24924999926	212
-7033.86443392476	213
-7033.33830765227	214
-7028.15731199623	215
-7004.66186576192	216
-7051.87236635565	217
-7048.87554776289	218
-7049.08904377322	219
-7057.03049912444	220
-7020.48714580053	221
-7070.95392382862	222
-7048.06108536999	223
-7069.92933150433	224
-7038.0916043371	225
-7040.75243887978	226
-7051.5588990708	227
-7092.98629260046	228
-7026.20424196518	229
-7065.76638707123	230
-7019.48639234839	231
-7036.64490640342	232
-7043.88521649915	233
-7009.24062558216	234
-7027.24265236829	235
-7075.58008055918	236
-7001.27538501414	237
-7059.90531169758	238
-7054.8937116327	239
-7073.74142920939	240
-7025.08901670736	241
-7048.8839479393	242
-7027.85236768347	243
-7010.70431238288	244
-7054.3070965441	245
-7007.83081487262	246
-7043.30826522975	247
-7035.03059464832	248
-7069.88046816878	249
-7053.55718653143	250
-7041.98417084882	251
-7015.75699683703	252
-7033.4823268903	253
-7035.67773077509	254
-7036.98004466834	255
-7019.9795911115	256
-7042.88712772557	257
-7034.18518767215	258
-7002.86433550374	259
-7033.97710696193	260
-7050.97618982309	261
-7057.32506070012	262
-7045.25505024037	263
-7038.71884731458	264
-7055.83986640943	265
-7059.29933377556	266
-7036.840979734	267
-7059.67155980054	268
-7060.13156931208	269
-7026.29111023723	270
-6998.80469753734	271
-7019.52833802319	272
-7015.0456847005	273
-7040.15604828628	274
-7061.95560942299	275
-7065.08976919744	276
-7039.81442225101	277
-7049.24969911729	278
-7069.12688148304	279
-7000.20162490765	280
-7021.32158404786	281
-7024.11613731705	282
-7047.33471403234	283
-7026.92177451068	284
-7038.94705649278	285
-7065.17869852224	286
-7061.14245351348	287
-7003.5130459659	288
-7024.84464029805	289
-7044.40973130851	290
-7037.87313277069	291
-7028.21627526921	292
-7057.74074862895	293
-7017.83928291098	294
-7043.8345823412	295
-7008.50302368939	296
-7035.05619079941	297
-7035.7543534087	298
-7042.76219738802	299
-7063.33102133554	300
-7062.0051176022	301
-7078.41259095668	302
-7047.69031600795	303
-7015.86503568103	304
-7046.12900671597	305
-7028.04519044201	306
-7048.12666873871	307
-7086.66454535591	308
-7060.6725810315	309
-7050.70352531368	310
-7061.31928546356	311
-7029.64165464306	312
-7017.50083679962	313
-7038.61474389173	314
-7050.20964054233	315
-7031.20036957188	316
-7059.24463533531	317
-7000.3700088578	318
-7024.90610764619	319
-7028.35822731594	320
-7054.78245831437	321
-7036.3525058174	322
-7040.17249562837	323
-7016.47659563361	324
-7049.46517656849	325
-7014.74570056101	326
-7050.3680062821	327
-7009.95317511249	328
-7029.95955982097	329
-7032.43730071774	330
-7011.60265051074	331
-7024.85701508231	332
-7064.90152795448	333
-7040.40058465563	334
-7038.74342268881	335
-7035.80739490351	336
-7037.14359075895	337
-7063.95635624236	338
-7029.1608449671	339
-7053.25246718107	340
-7014.25375352788	341
-6997.77916448331	342
-7027.43316504601	343
