"LogLikelihood"	"Iteration"
-6604.99686929042	1
-6542.59597475912	2
-6599.8597010434	3
-6594.08416036208	4
-6559.047087779	5
-6549.05791038709	6
-6579.53885627907	7
-6588.25121518475	8
-6596.8736862363	9
-6604.10917112245	10
-6593.55146130234	11
-6639.36151876955	12
-6561.87861584663	13
-6615.64407522318	14
-6613.18028000946	15
-6567.46349696313	16
-6546.92767208837	17
-6564.52322969553	18
-6650.64057693639	19
-6677.3654769918	20
-6580.61420236733	21
-6598.98778034244	22
-6586.6022580654	23
-6597.28044108929	24
-6545.27301513644	25
-6594.92376770953	26
-6637.35940699929	27
-6595.75882404898	28
-6571.22147503288	29
-6625.38701344768	30
-6702.58190358749	31
-6599.7511482212	32
-6571.9140731568	33
-6611.87172997513	34
-6591.06188728681	35
-6564.4321017302	36
-6600.21770618815	37
-6610.59216559649	38
-6521.60855193923	39
-6615.5003502538	40
-6599.35152443121	41
-6620.69404893537	42
-6657.22842279284	43
-6611.28981174978	44
-6613.99113463077	45
-6575.03471623262	46
-6633.03078099232	47
-6584.79912503016	48
-6580.79111062736	49
-6595.83528356827	50
-6547.24446343763	51
-6621.06413311038	52
-6592.38503740425	53
-6573.44566041509	54
-6628.64592399861	55
-6543.35070419405	56
-6583.32793326024	57
-6729.68922947581	58
-6598.0323910495	59
-6576.46994517993	60
-6586.7823619895	61
-6592.44467130708	62
-6604.81224004411	63
-6623.90519620398	64
-6597.343346529	65
-6538.71119155182	66
-6644.04615848278	67
-6615.10428891436	68
-6672.34699321078	69
-6526.09755161709	70
-6647.78752714916	71
-6595.45408202122	72
-6612.40618442808	73
-6667.65705078964	74
-6614.01403296695	75
-6570.97416565369	76
-6549.70201750418	77
-6559.04972344204	78
-6546.75314690709	79
-6599.12630860949	80
-6619.82767270242	81
-6558.24928205357	82
-6563.98799379163	83
-6565.42276317672	84
-6578.48685496234	85
-6549.38796358456	86
-6662.84466889682	87
-6608.38821657897	88
-6607.65166264354	89
-6570.87260233446	90
-6609.91538245913	91
-6571.76348949762	92
-6545.90876389897	93
