"Age"	"Level"	"Iteration"	"AgeIndex"	"LevelIndex"	"Intercept"	"tau_Intercept"	"ar_Intercept"
1	"NA/19/2023/10024/20_10_38410"	1	1	1	0.0408740403008701	622.360715596591	NA
1	"NA/19/2023/10024/20_10_38410"	2	1	1	0.0384018154538463	905.231140530325	NA
1	"NA/19/2023/10024/20_10_38410"	3	1	1	0.0257186385902654	828.613641125237	NA
1	"NA/19/2023/10024/20_10_38410"	4	1	1	0.0333478224546042	702.215337354439	NA
1	"NA/19/2023/10024/20_10_38410"	5	1	1	0.0142187829021042	805.898308090547	NA
1	"NA/19/2023/10024/20_10_38410"	6	1	1	0.0363000206202167	749.496731881127	NA
1	"NA/19/2023/10024/20_10_38410"	7	1	1	0.0157560753356154	555.852561500591	NA
1	"NA/19/2023/10024/20_10_38410"	8	1	1	0.0454961339825098	479.818838873177	NA
1	"NA/19/2023/10024/20_10_38410"	9	1	1	0.0288948801597848	670.750939203854	NA
1	"NA/19/2023/10024/20_10_38410"	10	1	1	0.014655403693893	715.365411016252	NA
1	"NA/19/2023/10024/20_10_38410"	11	1	1	0.0289697135686732	804.94115832609	NA
1	"NA/19/2023/10024/20_10_38410"	12	1	1	0.0326372146085852	646.310375657184	NA
1	"NA/19/2023/10024/20_10_38410"	13	1	1	0.0286866616895855	911.658512476816	NA
1	"NA/19/2023/10024/20_10_38410"	14	1	1	0.0413001305527389	733.53212808831	NA
1	"NA/19/2023/10024/20_10_38410"	15	1	1	0.0180576797322437	795.377746548323	NA
1	"NA/19/2023/10024/20_10_38410"	16	1	1	0.0223415912165307	520.57794169919	NA
1	"NA/19/2023/10024/20_10_38410"	17	1	1	0.03147346700942	499.941528210274	NA
1	"NA/19/2023/10024/20_10_38410"	18	1	1	0.0347445638984398	797.386783399002	NA
1	"NA/19/2023/10024/20_10_38410"	19	1	1	0.036425956813756	746.031993568973	NA
1	"NA/19/2023/10024/20_10_38410"	20	1	1	0.0540111100955512	833.979501294534	NA
1	"NA/19/2023/10024/20_10_38410"	21	1	1	0.0273621365994016	603.793550188089	NA
1	"NA/19/2023/10024/20_10_38410"	22	1	1	0.0279101530882685	828.825995929854	NA
1	"NA/19/2023/10024/20_10_38410"	23	1	1	0.0375873192974687	677.039266176286	NA
1	"NA/19/2023/10024/20_10_38410"	24	1	1	0.0305403354584929	737.797991759732	NA
1	"NA/19/2023/10024/20_10_38410"	25	1	1	0.0146728642175095	526.425137500168	NA
1	"NA/19/2023/10024/20_10_38410"	26	1	1	0.0164835458762125	714.977010910788	NA
1	"NA/19/2023/10024/20_10_38410"	27	1	1	0.0119562986662731	827.721240964791	NA
1	"NA/19/2023/10024/20_10_38410"	28	1	1	0.0282337050725084	746.066385485918	NA
1	"NA/19/2023/10024/20_10_38410"	29	1	1	0.0179052280509633	658.663053204079	NA
1	"NA/19/2023/10024/20_10_38410"	30	1	1	0.0150054974779036	824.579870091367	NA
1	"NA/19/2023/10024/20_10_38410"	31	1	1	0.045501411056115	910.477102813185	NA
1	"NA/19/2023/10024/20_10_38410"	32	1	1	0.0248853674500253	885.907446174567	NA
1	"NA/19/2023/10024/20_10_38410"	33	1	1	0.0231940648326107	514.381023003408	NA
1	"NA/19/2023/10024/20_10_38410"	34	1	1	0.0163732492596382	473.687074256281	NA
1	"NA/19/2023/10024/20_10_38410"	35	1	1	0.0276504625195103	717.097144605631	NA
1	"NA/19/2023/10024/20_10_38410"	36	1	1	0.00924506171511373	792.191120159636	NA
1	"NA/19/2023/10024/20_10_38410"	37	1	1	0.0344872093104813	652.873801749883	NA
1	"NA/19/2023/10024/20_10_38410"	38	1	1	0.0251599091630526	815.004456829561	NA
1	"NA/19/2023/10024/20_10_38410"	39	1	1	0.00745699094662722	816.826515293215	NA
1	"NA/19/2023/10024/20_10_38410"	40	1	1	0.0472802951798022	647.63449110487	NA
1	"NA/19/2023/10024/20_10_38410"	41	1	1	0.0223175390204903	620.200481736589	NA
1	"NA/19/2023/10024/20_10_38410"	42	1	1	0.0203768702946223	584.591360417374	NA
1	"NA/19/2023/10024/20_10_38410"	43	1	1	0.0287297574937494	614.31653699664	NA
1	"NA/19/2023/10024/20_10_38410"	44	1	1	0.0226165686666402	653.495731202956	NA
1	"NA/19/2023/10024/20_10_38410"	45	1	1	0.0233466354503082	665.431123775278	NA
1	"NA/19/2023/10024/20_10_38410"	46	1	1	0.0278676085084036	682.281997993387	NA
1	"NA/19/2023/10024/20_10_38410"	47	1	1	0.0394359762686688	594.890581562077	NA
1	"NA/19/2023/10024/20_10_38410"	48	1	1	0.0330312687645122	601.796578908721	NA
1	"NA/19/2023/10024/20_10_38410"	49	1	1	0.0235265532009996	998.829595768999	NA
1	"NA/19/2023/10024/20_10_38410"	50	1	1	0.0240534241840584	1110.94531428408	NA
1	"NA/19/2023/10024/20_10_38410"	51	1	1	0.0362895618946575	731.925781712097	NA
1	"NA/19/2023/10024/20_10_38410"	52	1	1	0.024818965470759	453.851057770986	NA
1	"NA/19/2023/10024/20_10_38410"	53	1	1	0.0220471384772136	585.79976240901	NA
