"LogLikelihood"	"Iteration"
-7071.63473414286	1
-7044.54480700673	2
-7084.67351758527	3
-7088.61806550254	4
-7025.85598342188	5
-7036.1025945712	6
-7071.32301173938	7
-7059.20733907825	8
-7082.89304482069	9
-7067.60636944596	10
-7066.08893575519	11
-7071.34829592054	12
-7037.36317109586	13
-7055.87463661637	14
-7075.3019984504	15
-7051.98570450315	16
-7068.0589933312	17
-7042.43033678273	18
-7063.57385709604	19
-7095.42636458803	20
-7089.98906462418	21
-7048.37979334912	22
-7077.6421053222	23
-7078.8246303005	24
-7060.24400845451	25
-7055.17324312139	26
-7070.91941192671	27
-7074.56498418268	28
-7059.7965639421	29
-7015.46103408231	30
-7058.03063024201	31
-7086.82757724049	32
-7080.4960389139	33
-7065.93594828656	34
-7024.39109444305	35
-7044.4667692867	36
-7096.56788072997	37
-7043.63134682571	38
-7048.57652548275	39
-7030.51702282679	40
-7053.32727753769	41
-7038.72809990484	42
-7046.65530868644	43
-7066.65546988554	44
-7057.29900472578	45
-7081.44015659945	46
-7008.3956162686	47
-7050.04702672689	48
-7035.88444616504	49
-7048.4579906141	50
-7041.45286497439	51
-7033.34039045078	52
-7008.40666068352	53
-7077.35594601056	54
-7037.73905662751	55
-7028.46745007955	56
-7058.59873909714	57
-7041.71950631861	58
-7046.27658852864	59
-7064.07452630798	60
-7070.56839426089	61
-7054.64642334123	62
-7070.48164867659	63
-7033.33279058369	64
-7043.57592529151	65
-7058.34390417652	66
-7090.24662532737	67
-7062.40198520273	68
-7017.0795909925	69
-7052.81768683965	70
-7079.27628670177	71
-7064.01920342359	72
-7072.10994634234	73
-7058.50382944404	74
-7047.5478142263	75
-7076.68425720297	76
-7050.19373881458	77
-7005.13551539102	78
-7066.01797912304	79
-7062.01098365897	80
-7058.01832397022	81
-7070.64345008544	82
-7037.17647646784	83
-7055.70397540056	84
-7071.23679903706	85
-7106.36376238847	86
-7100.70423541863	87
-7044.40303985077	88
-7024.16081410149	89
-7022.57408926004	90
-7056.9467924185	91
-7034.60550223234	92
-7064.15157646722	93
-7081.40511415296	94
-7066.76556050084	95
-7049.82563240773	96
-7058.26335198434	97
-7081.36278287981	98
-7085.80721508949	99
-7084.90287701383	100
-7081.9468883095	101
-7051.09947677077	102
-7081.60121382008	103
-7060.38085205364	104
-7083.5506714996	105
-7071.27633716853	106
-7021.74082611561	107
-7066.46311019645	108
-7090.15821150583	109
-7064.77854088674	110
-7047.85594653638	111
-7068.05636170503	112
-7055.52961666555	113
-7065.9325323414	114
-7032.05573826519	115
-7028.85356972919	116
-7042.87935742938	117
-7044.2372518849	118
-7045.84599103941	119
-7048.96833475979	120
-7054.93649045994	121
-7051.6597895489	122
-7040.01658604783	123
-7071.1716710868	124
-7042.69180938927	125
-7038.26361770946	126
-7061.64466198756	127
-7043.06177816894	128
-7060.8601944128	129
-7052.96757532661	130
-7087.36335826174	131
-7059.11305868807	132
-7053.91182169609	133
-7060.53013280015	134
-7023.74733899871	135
-7060.17459167461	136
-7056.73302678493	137
-7050.55319973303	138
-7047.65763944423	139
-7048.65810415365	140
-7055.09764612464	141
-7062.87481594749	142
-7094.97509569685	143
-7069.16669388619	144
-7023.30537881745	145
-7031.21203705181	146
-7051.81978341148	147
-7041.88322632337	148
-7060.24073723944	149
-7047.44660315889	150
-7050.14959683106	151
