"names"	"values"
1	"NA/19/2020/9000/30_1_38001"
2	"NA/19/2020/9000/30_2_38002"
3	"NA/19/2020/9000/30_3_38003"
4	"NA/19/2020/9000/30_31_38031"
5	"NA/19/2020/9000/30_32_38032"
6	"NA/19/2020/9000/30_33_38033"
7	"NA/19/2020/9000/30_34_38034"
8	"NA/19/2020/9000/30_35_38035"
9	"NA/19/2020/9000/30_36_38036"
10	"NA/19/2020/9000/30_4_38004"
11	"NA/19/2020/9000/30_45_38045"
12	"NA/19/2020/9000/30_47_38047"
13	"NA/19/2020/9000/30_48_38048"
14	"NA/19/2020/9000/30_49_38049"
15	"NA/19/2020/9000/30_50_38050"
16	"NA/19/2020/9000/30_51_38051"
17	"NA/19/2020/9000/30_52_38052"
18	"NA/19/2020/9000/30_53_38053"
19	"NA/19/2020/9000/30_54_38054"
20	"NA/19/2020/9000/30_55_38055"
21	"NA/19/2020/9000/30_56_38056"
22	"NA/19/2020/9000/30_57_38057"
23	"NA/19/2020/9000/30_58_38058"
24	"NA/19/2020/9000/30_59_38059"
25	"NA/19/2020/9000/30_60_38060"
26	"NA/19/2020/9000/30_61_38061"
27	"NA/19/2020/9000/30_62_38062"
28	"NA/19/2020/9000/30_63_38063"
29	"NA/19/2020/9000/30_64_38064"
30	"NA/19/2020/9000/30_65_38065"
31	"NA/19/2020/9000/30_66_38066"
32	"NA/19/2020/9000/30_67_38067"
33	"NA/19/2020/9000/30_68_38068"
34	"NA/19/2020/9000/30_69_38069"
35	"NA/19/2020/9000/30_80_38080"
36	"NA/19/2020/9000/30_81_38081"
37	"NA/19/2020/9000/30_82_38082"
38	"NA/19/2020/9000/30_83_38083"
39	"NA/19/2020/9000/30_84_38084"
40	"NA/19/2020/9000/30_85_38085"
41	"NA/19/2020/9000/30_86_38086"
42	"NA/19/2020/9000/30_87_38087"
43	"NA/19/2020/9000/30_88_38088"
44	"NA/19/2020/9000/30_89_38089"
45	"NA/19/2020/9000/30_90_38090"
46	"NA/19/2020/9000/30_91_38091"
