"names"	"values"
1	"NA/19/2023/10011/30_13_38013"
2	"NA/19/2023/10011/30_14_38014"
3	"NA/19/2023/10011/30_15_38015"
4	"NA/19/2023/10011/30_16_38016"
5	"NA/19/2023/10011/30_18_38018"
6	"NA/19/2023/10011/30_19_38019"
7	"NA/19/2023/10011/30_20_38020"
8	"NA/19/2023/10011/30_21_38021"
9	"NA/19/2023/10011/30_22_38022"
10	"NA/19/2023/10011/30_23_38023"
11	"NA/19/2023/10011/30_24_38024"
12	"NA/19/2023/10011/30_25_38025"
13	"NA/19/2023/10011/30_26_38026"
14	"NA/19/2023/10011/30_27_38027"
15	"NA/19/2023/10011/30_28_38028"
16	"NA/19/2023/10011/30_29_38029"
17	"NA/19/2023/10011/30_30_38030"
18	"NA/19/2023/10011/30_31_38031"
19	"NA/19/2023/10011/30_32_38032"
20	"NA/19/2023/10011/30_33_38033"
21	"NA/19/2023/10011/30_34_38034"
22	"NA/19/2023/10011/30_35_38035"
23	"NA/19/2023/10011/30_36_38036"
24	"NA/19/2023/10011/30_37_38037"
25	"NA/19/2023/10011/30_38_38038"
26	"NA/19/2023/10011/30_39_38039"
27	"NA/19/2023/10011/30_40_38040"
28	"NA/19/2023/10011/30_41_38041"
29	"NA/19/2023/10011/30_42_38042"
30	"NA/19/2023/10011/30_44_38044"
31	"NA/19/2023/10011/30_46_38046"
32	"NA/19/2023/10011/30_47_38047"
33	"NA/19/2023/10011/30_48_38048"
34	"NA/19/2023/10011/30_49_38049"
35	"NA/19/2023/10011/30_50_38050"
36	"NA/19/2023/10011/30_51_38051"
37	"NA/19/2023/10011/30_52_38052"
38	"NA/19/2023/10011/30_53_38053"
39	"NA/19/2023/10011/30_54_38054"
40	"NA/19/2023/10011/30_55_38055"
41	"NA/19/2023/10011/30_56_38056"
42	"NA/19/2023/10011/30_57_38057"
43	"NA/19/2023/10011/30_58_38058"
44	"NA/19/2023/10011/30_59_38059"
45	"NA/19/2023/10011/30_60_38060"
46	"NA/19/2023/10011/30_61_38061"
47	"NA/19/2023/10011/30_62_38062"
48	"NA/19/2023/10011/30_63_38063"
49	"NA/19/2023/10011/30_64_38064"
50	"NA/19/2023/10011/30_65_38065"
51	"NA/19/2023/10011/30_66_38066"
52	"NA/19/2023/10011/30_67_38067"
53	"NA/19/2023/10011/30_74_38074"
54	"NA/19/2023/10011/30_75_38075"
55	"NA/19/2023/10011/30_76_38076"
56	"NA/19/2023/10011/30_77_38077"
57	"NA/19/2023/10011/30_78_38078"
58	"NA/19/2023/10011/30_79_38079"
59	"NA/19/2023/10011/30_80_38080"
60	"NA/19/2023/10011/30_81_38081"
