"age"	"part.year"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
3	0.568306010928962	28	2	1	NA	NA
6	0.568306010928962	27	2	1	NA	NA
3	0.568306010928962	27	2	1	NA	NA
2	0.568306010928962	24.5	2	1	NA	NA
2	0.568306010928962	23	2	1	NA	NA
4	0.568306010928962	26.5	2	1	NA	NA
3	0.568306010928962	26	2	1	NA	NA
4	0.568306010928962	26	2	1	NA	NA
3	0.568306010928962	24	2	1	NA	NA
3	0.568306010928962	25.5	2	1	NA	NA
2	0.568306010928962	26.5	2	1	NA	NA
4	0.568306010928962	26.5	2	1	NA	NA
5	0.568306010928962	26	2	1	NA	NA
5	0.568306010928962	28	2	1	NA	NA
4	0.568306010928962	27	2	1	NA	NA
6	0.568306010928962	28	2	1	NA	NA
2	0.568306010928962	24.5	2	1	NA	NA
5	0.568306010928962	26.5	2	1	NA	NA
3	0.568306010928962	28	2	1	NA	NA
3	0.568306010928962	26	2	1	NA	NA
3	0.568306010928962	26.5	2	1	NA	NA
4	0.568306010928962	28	2	1	NA	NA
2	0.568306010928962	23	2	1	NA	NA
4	0.568306010928962	23	2	1	NA	NA
7	0.568306010928962	29.5	2	1	NA	NA
2	0.568306010928962	25	2	1	NA	NA
2	0.568306010928962	25	2	1	NA	NA
7	0.568306010928962	29	2	1	NA	NA
5	0.568306010928962	25	2	1	NA	NA
3	0.568306010928962	25	2	1	NA	NA
3	0.568306010928962	27	2	1	NA	NA
4	0.568306010928962	26.5	2	1	NA	NA
2	0.568306010928962	23	2	1	NA	NA
4	0.568306010928962	25	2	1	NA	NA
2	0.568306010928962	24	2	1	NA	NA
2	0.568306010928962	24	2	1	NA	NA
7	0.568306010928962	27.5	2	1	NA	NA
3	0.568306010928962	23	2	1	NA	NA
6	0.568306010928962	26.5	2	1	NA	NA
2	0.568306010928962	25	2	1	NA	NA
3	0.568306010928962	24.5	2	1	NA	NA
2	0.568306010928962	27	2	1	NA	NA
2	0.568306010928962	25.5	2	1	NA	NA
4	0.568306010928962	25	2	1	NA	NA
3	0.568306010928962	26	2	1	NA	NA
3	0.568306010928962	24.5	2	1	NA	NA
7	0.568306010928962	29	2	1	NA	NA
6	0.568306010928962	25.5	2	1	NA	NA
3	0.568306010928962	22	2	1	NA	NA
3	0.568306010928962	27.5	2	1	NA	NA
6	0.445355191256831	29	3	1	NA	NA
6	0.445355191256831	28	3	1	NA	NA
4	0.445355191256831	28	3	1	NA	NA
8	0.445355191256831	29	3	1	NA	NA
6	0.445355191256831	28	3	1	NA	NA
6	0.445355191256831	29.5	3	1	NA	NA
4	0.445355191256831	26	3	1	NA	NA
6	0.445355191256831	28.5	3	1	NA	NA
5	0.445355191256831	29.5	3	1	NA	NA
5	0.445355191256831	27.5	3	1	NA	NA
3	0.445355191256831	26.5	3	1	NA	NA
5	0.445355191256831	27.5	3	1	NA	NA
6	0.445355191256831	28.5	3	1	NA	NA
4	0.445355191256831	26	3	1	NA	NA
6	0.445355191256831	27	3	1	NA	NA
6	0.445355191256831	27	3	1	NA	NA
6	0.445355191256831	28.5	3	1	NA	NA
6	0.445355191256831	27	3	1	NA	NA
5	0.445355191256831	28	3	1	NA	NA
7	0.445355191256831	28.5	3	1	NA	NA
6	0.445355191256831	28	3	1	NA	NA
7	0.445355191256831	28	3	1	NA	NA
9	0.445355191256831	28	3	1	NA	NA
6	0.445355191256831	28	3	1	NA	NA
9	0.445355191256831	29.5	3	1	NA	NA
7	0.418032786885246	27.5	4	1	NA	NA
5	0.418032786885246	25.5	4	1	NA	NA
6	0.418032786885246	26	4	1	NA	NA
4	0.418032786885246	25	4	1	NA	NA
2	0.418032786885246	24	4	1	NA	NA
4	0.418032786885246	25	4	1	NA	NA
4	0.418032786885246	25	4	1	NA	NA
5	0.418032786885246	27	4	1	NA	NA
2	0.418032786885246	21	4	1	NA	NA
4	0.418032786885246	24	4	1	NA	NA
4	0.418032786885246	24	4	1	NA	NA
6	0.418032786885246	24	4	1	NA	NA
2	0.418032786885246	23.5	4	1	NA	NA
7	0.418032786885246	27	4	1	NA	NA
4	0.418032786885246	24	4	1	NA	NA
2	0.418032786885246	24.5	4	1	NA	NA
4	0.418032786885246	23.5	4	1	NA	NA
5	0.418032786885246	24	4	1	NA	NA
6	0.418032786885246	24	4	1	NA	NA
3	0.418032786885246	23	4	1	NA	NA
2	0.418032786885246	24	4	1	NA	NA
4	0.418032786885246	24	4	1	NA	NA
2	0.418032786885246	22	4	1	NA	NA
4	0.418032786885246	24.5	4	1	NA	NA
2	0.418032786885246	21.5	4	1	NA	NA
2	0.418032786885246	22.5	4	1	NA	NA
2	0.418032786885246	22	4	1	NA	NA
6	0.418032786885246	25	4	1	NA	NA
6	0.418032786885246	25.5	4	1	NA	NA
3	0.418032786885246	24	4	1	NA	NA
3	0.385245901639344	22	5	1	NA	NA
4	0.385245901639344	22	5	1	NA	NA
7	0.385245901639344	25.5	5	1	NA	NA
2	0.385245901639344	23	5	1	NA	NA
2	0.385245901639344	22	5	1	NA	NA
