"weightKG"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
0.215	28	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.22	27	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.219	27	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.163	24.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.138	23	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.184	26.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.2	26	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.159	26	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.128	24	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.167	25.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.196	26.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.188	26.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.156	26	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.221	28	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.239	27	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.22	28	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.153	24.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.191	26.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.185	28	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.179	26	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.204	26.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.21	28	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.131	23	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.128	23	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.242	29.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.179	25	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.144	25	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.212	29	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.158	25	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.155	25	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.211	27	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.175	26.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.138	23	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.153	25	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.116	24	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.152	24	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.207	27.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.107	23	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.178	26.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.183	25	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.141	24.5	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
0.193	27	2	"NA/19/2020/9000/20_10_38410_2"	NA	NA
