"weightKG"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
0.209	28	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.068	20	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.194	29.5	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.059	19	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.153	25	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.091	22	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.079	20.5	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.063	19.5	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.079	21	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.187	29	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.174	26.5	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.184	28	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.1	22	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.101	24	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.074	20	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.145	25	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.069	19	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.095	20.5	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.088	21.5	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.213	29	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.195	26	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.163	25.5	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.168	26.5	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.148	26.5	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.073	21	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.197	27.5	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
0.071	20	1	"NA/19/2023/10024/20_17_38417_1"	NA	NA
