"names"	"values"
1	"NA/19/2023/10024/20_10_38410"
2	"NA/19/2023/10024/20_11_38411"
3	"NA/19/2023/10024/20_12_38412"
4	"NA/19/2023/10024/20_13_38413"
5	"NA/19/2023/10024/20_14_38414"
6	"NA/19/2023/10024/20_15_38415"
7	"NA/19/2023/10024/20_16_38416"
8	"NA/19/2023/10024/20_17_38417"
9	"NA/19/2023/10024/20_18_38418"
10	"NA/19/2023/10024/20_19_38419"
11	"NA/19/2023/10024/20_20_38420"
12	"NA/19/2023/10024/20_21_38421"
13	"NA/19/2023/10024/20_22_38422"
14	"NA/19/2023/10024/20_23_38423"
15	"NA/19/2023/10024/20_24_38424"
16	"NA/19/2023/10024/20_25_38425"
17	"NA/19/2023/10024/20_26_38426"
18	"NA/19/2023/10024/20_27_38427"
19	"NA/19/2023/10024/20_28_38428"
20	"NA/19/2023/10024/20_29_38429"
21	"NA/19/2023/10024/20_30_38430"
22	"NA/19/2023/10024/20_31_38431"
23	"NA/19/2023/10024/20_32_38432"
24	"NA/19/2023/10024/20_33_38433"
25	"NA/19/2023/10024/20_34_38434"
26	"NA/19/2023/10024/20_35_38435"
27	"NA/19/2023/10024/20_36_38436"
28	"NA/19/2023/10024/20_37_38437"
29	"NA/19/2023/10024/20_38_38438"
30	"NA/19/2023/10024/20_39_38439"
31	"NA/19/2023/10024/20_40_38440"
32	"NA/19/2023/10024/20_41_38441"
33	"NA/19/2023/10024/20_42_38442"
34	"NA/19/2023/10024/20_43_38443"
35	"NA/19/2023/10024/20_44_38444"
36	"NA/19/2023/10024/20_45_38445"
37	"NA/19/2023/10024/20_46_38446"
38	"NA/19/2023/10024/20_47_38447"
39	"NA/19/2023/10024/20_48_38448"
40	"NA/19/2023/10024/20_49_38449"
41	"NA/19/2023/10024/20_50_38450"
42	"NA/19/2023/10024/20_51_38451"
43	"NA/19/2023/10024/20_52_38452"
44	"NA/19/2023/10024/20_53_38453"
45	"NA/19/2023/10024/20_54_38454"
46	"NA/19/2023/10024/20_55_38455"
47	"NA/19/2023/10024/20_56_38456"
48	"NA/19/2023/10024/20_57_38457"
49	"NA/19/2023/10024/20_58_38458"
50	"NA/19/2023/10024/20_59_38459"
51	"NA/19/2023/10024/20_5_38405"
52	"NA/19/2023/10024/20_60_38460"
53	"NA/19/2023/10024/20_61_38461"
54	"NA/19/2023/10024/20_62_38462"
55	"NA/19/2023/10024/20_63_38463"
56	"NA/19/2023/10024/20_64_38464"
57	"NA/19/2023/10024/20_65_38465"
58	"NA/19/2023/10024/20_66_38466"
59	"NA/19/2023/10024/20_67_38467"
60	"NA/19/2023/10024/20_68_38468"
61	"NA/19/2023/10024/20_69_38469"
62	"NA/19/2023/10024/20_6_38406"
63	"NA/19/2023/10024/20_70_38470"
64	"NA/19/2023/10024/20_71_38471"
65	"NA/19/2023/10024/20_72_38472"
66	"NA/19/2023/10024/20_73_38473"
67	"NA/19/2023/10024/20_74_38474"
68	"NA/19/2023/10024/20_75_38475"
69	"NA/19/2023/10024/20_76_38476"
70	"NA/19/2023/10024/20_77_38477"
71	"NA/19/2023/10024/20_78_38478"
72	"NA/19/2023/10024/20_79_38479"
73	"NA/19/2023/10024/20_7_38407"
74	"NA/19/2023/10024/20_80_38480"
75	"NA/19/2023/10024/20_81_38481"
76	"NA/19/2023/10024/20_82_38482"
77	"NA/19/2023/10024/20_83_38483"
78	"NA/19/2023/10024/20_84_38484"
79	"NA/19/2023/10024/20_85_38485"
80	"NA/19/2023/10024/20_86_38486"
81	"NA/19/2023/10024/20_87_38487"
82	"NA/19/2023/10024/20_8_38408"
83	"NA/19/2023/10024/20_9_38409"
