"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"ReadAge"
1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0.97	0.04	0	0	0	0	0	0	0	0	0	0	0	2
0	0.03	0.92	0.01	0	0	0	0	0	0	0	0	0	0	3
0	0	0.04	0.94	0.02	0.01	0.01	0	0	0	0	0	0	0	4
0	0	0	0.05	0.91	0.06	0.01	0	0	0	0	0	0	0	5
0	0	0	0	0.06	0.86	0.07	0	0	0	0	0	0	0	6
0	0	0	0	0.01	0.04	0.78	0.06	0	0	0	0	0	0	7
0	0	0	0	0	0.01	0.08	0.85	0.06	0	0	0	0	0	8
0	0	0	0	0	0.01	0.05	0.06	0.86	0.14	0	0	0	0	9
0	0	0	0	0	0.01	0	0.03	0.08	0.71	0.14	0.14	0	0	10
0	0	0	0	0	0	0	0	0	0.1	0.64	0.14	0	0	11
0	0	0	0	0	0	0	0	0	0.05	0.22	0.58	0.21	0	12
0	0	0	0	0	0	0	0	0	0	0	0.14	0.58	0	13
0	0	0	0	0	0	0	0	0	0	0	0	0.21	1	14
