"weightKG"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
0.208	28.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.171	27.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.141	25.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.221	29.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.199	27	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.17	26.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.173	26.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.181	28	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.182	28.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.176	27	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.132	24.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.188	29	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.148	26.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.158	26	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.165	27	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.167	26.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.197	28	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.19	28	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.149	25.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.16	27.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.178	27.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.192	29	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.168	26.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.206	27.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.19	27	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.161	25.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.139	25	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.184	27	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.168	27.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.275	31	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.144	25.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.191	28	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.15	24.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.134	25	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.138	24.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.182	27.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.12	24	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.177	26.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.184	27	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.165	26.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.168	27	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.204	27	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.128	25	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.151	24.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.169	27	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.139	25	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.144	24.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.172	27.5	1	"NA/19/2023/10024/20_10_38410_1"	NA	NA
0.071	19.5	2	"NA/19/2023/10024/20_11_38411_1"	NA	NA
0.106	22.5	2	"NA/19/2023/10024/20_11_38411_1"	NA	NA
0.092	21	2	"NA/19/2023/10024/20_11_38411_1"	NA	NA
0.088	21	2	"NA/19/2023/10024/20_11_38411_1"	NA	NA
0.131	24	2	"NA/19/2023/10024/20_11_38411_1"	NA	NA
0.077	19.5	2	"NA/19/2023/10024/20_11_38411_1"	NA	NA
0.12	23	2	"NA/19/2023/10024/20_11_38411_1"	NA	NA
0.074	20	2	"NA/19/2023/10024/20_11_38411_1"	NA	NA
0.089	21.5	2	"NA/19/2023/10024/20_11_38411_1"	NA	NA
0.072	19.5	2	"NA/19/2023/10024/20_11_38411_1"	NA	NA
