"Age"	"Iteration"	"MeanIndividualLength"	"StratumTransfer"
1	1	22.180888720927	"Transfer.area"
2	1	25.552638115561	"Transfer.area"
3	1	27.228919033095	"Transfer.area"
4	1	28.069811151591	"Transfer.area"
5	1	28.497359674709	"Transfer.area"
6	1	28.712645391974	"Transfer.area"
7	1	28.826560846956	"Transfer.area"
8	1	28.871841554829	"Transfer.area"
9	1	28.905004318704	"Transfer.area"
10	1	28.923757231075	"Transfer.area"
11	1	0	"Transfer.area"
12	1	28.931492755368	"Transfer.area"
13	1	0	"Transfer.area"
14	1	0	"Transfer.area"
15	1	0	"Transfer.area"
1	2	21.24604514527	"Transfer.area"
2	2	24.645258338667	"Transfer.area"
3	2	26.408399815425	"Transfer.area"
4	2	27.307626817623	"Transfer.area"
5	2	27.796235120903	"Transfer.area"
6	2	28.016492270335	"Transfer.area"
7	2	28.165749363049	"Transfer.area"
8	2	28.230909302522	"Transfer.area"
9	2	28.251187869394	"Transfer.area"
10	2	28.278959743565	"Transfer.area"
11	2	0	"Transfer.area"
12	2	28.301508283327	"Transfer.area"
13	2	0	"Transfer.area"
14	2	0	"Transfer.area"
15	2	0	"Transfer.area"
1	3	21.667240800233	"Transfer.area"
2	3	24.963210044233	"Transfer.area"
3	3	26.585221300377	"Transfer.area"
4	3	27.39951980416	"Transfer.area"
5	3	27.812865594796	"Transfer.area"
6	3	27.984985559016	"Transfer.area"
7	3	28.06904440464	"Transfer.area"
8	3	28.174400434575	"Transfer.area"
9	3	28.283028241783	"Transfer.area"
10	3	28.192150377079	"Transfer.area"
11	3	28.162250721493	"Transfer.area"
12	3	28.363636366919	"Transfer.area"
13	3	0	"Transfer.area"
14	3	27.249410283999	"Transfer.area"
15	3	0	"Transfer.area"
1	4	21.952425007437	"Transfer.area"
2	4	25.168322193697	"Transfer.area"
3	4	26.789955450792	"Transfer.area"
4	4	27.613447284517	"Transfer.area"
5	4	28.046910243736	"Transfer.area"
6	4	28.258334683094	"Transfer.area"
7	4	28.357833879431	"Transfer.area"
8	4	28.429624004618	"Transfer.area"
9	4	28.455786537856	"Transfer.area"
10	4	28.470567163883	"Transfer.area"
11	4	28.409417384111	"Transfer.area"
12	4	28.470650851598	"Transfer.area"
13	4	0	"Transfer.area"
14	4	28.49525439835	"Transfer.area"
15	4	0	"Transfer.area"
1	5	22.071641722776	"Transfer.area"
2	5	25.545597067323	"Transfer.area"
3	5	27.291221179409	"Transfer.area"
