"Age"	"Iteration"	"MeanIndividualWeight"	"StratumTransfer"
1	1	0.0915433320831	"Transfer.area"
2	1	0.13734582371	"Transfer.area"
3	1	0.164634099542	"Transfer.area"
4	1	0.179982292711	"Transfer.area"
5	1	0.187696652967	"Transfer.area"
6	1	0.192310410738	"Transfer.area"
7	1	0.192512494238	"Transfer.area"
8	1	0.199454786901	"Transfer.area"
9	1	0.19745210972	"Transfer.area"
10	1	0.195178861111	"Transfer.area"
11	1	0	"Transfer.area"
12	1	0.197489272438	"Transfer.area"
13	1	0	"Transfer.area"
14	1	0	"Transfer.area"
15	1	0	"Transfer.area"
1	2	0.0846275242854	"Transfer.area"
2	2	0.130556148825	"Transfer.area"
3	2	0.158685253701	"Transfer.area"
4	2	0.17546707065	"Transfer.area"
5	2	0.182555939983	"Transfer.area"
6	2	0.190611822626	"Transfer.area"
7	2	0.190315013148	"Transfer.area"
8	2	0.191957978514	"Transfer.area"
9	2	0.19502249049	"Transfer.area"
10	2	0.193927925788	"Transfer.area"
11	2	0	"Transfer.area"
12	2	0.192964493795	"Transfer.area"
13	2	0	"Transfer.area"
14	2	0	"Transfer.area"
15	2	0	"Transfer.area"
1	3	0.0861908464773	"Transfer.area"
2	3	0.130732055691	"Transfer.area"
3	3	0.15716589319	"Transfer.area"
4	3	0.171249375925	"Transfer.area"
5	3	0.178359399405	"Transfer.area"
6	3	0.182509914735	"Transfer.area"
7	3	0.184644260469	"Transfer.area"
8	3	0.184596594375	"Transfer.area"
9	3	0.183562854712	"Transfer.area"
10	3	0.18563127199	"Transfer.area"
11	3	0.18639187249	"Transfer.area"
12	3	0.182894530738	"Transfer.area"
13	3	0	"Transfer.area"
14	3	0.202965335149	"Transfer.area"
15	3	0	"Transfer.area"
1	4	0.0893014702002	"Transfer.area"
2	4	0.133664464621	"Transfer.area"
3	4	0.159644032262	"Transfer.area"
4	4	0.174306463237	"Transfer.area"
5	4	0.18406792354	"Transfer.area"
6	4	0.186926681044	"Transfer.area"
7	4	0.187022745366	"Transfer.area"
8	4	0.190215319826	"Transfer.area"
9	4	0.190195080854	"Transfer.area"
10	4	0.190373657256	"Transfer.area"
11	4	0.180312482188	"Transfer.area"
12	4	0.188816008917	"Transfer.area"
13	4	0	"Transfer.area"
14	4	0.192018802427	"Transfer.area"
15	4	0	"Transfer.area"
1	5	0.0933386700825	"Transfer.area"
2	5	0.143920061212	"Transfer.area"
3	5	0.17372128975	"Transfer.area"
4	5	0.188700420906	"Transfer.area"
5	5	0.199504333792	"Transfer.area"
6	5	0.204707594777	"Transfer.area"
7	5	0.208494400981	"Transfer.area"
8	5	0.210840385705	"Transfer.area"
9	5	0.206070310648	"Transfer.area"
10	5	0.20794322814	"Transfer.area"
11	5	0.210986021422	"Transfer.area"
12	5	0	"Transfer.area"
13	5	0	"Transfer.area"
14	5	0.205001699873	"Transfer.area"
15	5	0	"Transfer.area"
1	6	0.0891616260709	"Transfer.area"
2	6	0.135928155209	"Transfer.area"
3	6	0.163384861311	"Transfer.area"
4	6	0.178562843487	"Transfer.area"
5	6	0.185836110725	"Transfer.area"
6	6	0.190016194754	"Transfer.area"
7	6	0.191496308969	"Transfer.area"
8	6	0.192843239754	"Transfer.area"
9	6	0.193015611433	"Transfer.area"
10	6	0.193792844536	"Transfer.area"
11	6	0.192777973453	"Transfer.area"
