"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"
1	1	22.687882040099	"27.4.aE"
2	1	23.972882348583	"27.4.aE"
3	1	25.121014342293	"27.4.aE"
4	1	26.301833549352	"27.4.aE"
5	1	26.99806412179	"27.4.aE"
6	1	27.184212727301	"27.4.aE"
7	1	27.786566487284	"27.4.aE"
8	1	28.128418060628	"27.4.aE"
9	1	28.991484021691	"27.4.aE"
10	1	29.287581331291	"27.4.aE"
11	1	30.205737003664	"27.4.aE"
12	1	30.43330736909	"27.4.aE"
13	1	31.326758003855	"27.4.aE"
14	1	30.245582265462	"27.4.aE"
15	1	31.145212251523	"27.4.aE"
1	2	22.579461576909	"27.4.aE"
2	2	23.462629488806	"27.4.aE"
3	2	24.884867216695	"27.4.aE"
4	2	26.197840047965	"27.4.aE"
5	2	26.621489586454	"27.4.aE"
6	2	27.086641480486	"27.4.aE"
7	2	27.58975483317	"27.4.aE"
8	2	28.295462058275	"27.4.aE"
9	2	28.782183854755	"27.4.aE"
10	2	29.424227554723	"27.4.aE"
11	2	29.991879287608	"27.4.aE"
12	2	30.351375408696	"27.4.aE"
13	2	31.273472566928	"27.4.aE"
14	2	30.773367820634	"27.4.aE"
15	2	31.140208103746	"27.4.aE"
1	3	22.440026525374	"27.4.aE"
2	3	23.741140962148	"27.4.aE"
3	3	24.67995497186	"27.4.aE"
4	3	25.927402915594	"27.4.aE"
5	3	26.367586102166	"27.4.aE"
6	3	26.924545611453	"27.4.aE"
7	3	27.533925357249	"27.4.aE"
8	3	28.057058050756	"27.4.aE"
9	3	28.397530009373	"27.4.aE"
10	3	29.066211800463	"27.4.aE"
11	3	28.837714068397	"27.4.aE"
12	3	30.141069489751	"27.4.aE"
13	3	30.630242847824	"27.4.aE"
14	3	30.581480654491	"27.4.aE"
15	3	31.066894718023	"27.4.aE"
1	4	22.598544560998	"27.4.aE"
2	4	23.84132412439	"27.4.aE"
3	4	25.110757688591	"27.4.aE"
4	4	26.000554650186	"27.4.aE"
5	4	26.321433512668	"27.4.aE"
6	4	27.045771803423	"27.4.aE"
7	4	27.450327444045	"27.4.aE"
8	4	28.054293414573	"27.4.aE"
9	4	28.309801694829	"27.4.aE"
10	4	29.131349270689	"27.4.aE"
11	4	29.140076597067	"27.4.aE"
12	4	29.68101973292	"27.4.aE"
13	4	30.311221017849	"27.4.aE"
14	4	30.022403747334	"27.4.aE"
15	4	30.734605095108	"27.4.aE"
1	5	22.127820897228	"27.4.aE"
2	5	23.500581898105	"27.4.aE"
3	5	24.692104607057	"27.4.aE"
4	5	26.004096458928	"27.4.aE"
5	5	26.557176995683	"27.4.aE"
6	5	26.761123948562	"27.4.aE"
7	5	27.204793498071	"27.4.aE"
8	5	27.635395078778	"27.4.aE"
9	5	28.542801046132	"27.4.aE"
10	5	29.337086256044	"27.4.aE"
11	5	29.388714260607	"27.4.aE"
12	5	28.6731731026	"27.4.aE"
13	5	30.544253279839	"27.4.aE"
14	5	30.070699915576	"27.4.aE"
15	5	30.965698965375	"27.4.aE"
1	6	22.686700827156	"27.4.aE"
2	6	23.492853482005	"27.4.aE"
3	6	24.860638006387	"27.4.aE"
4	6	25.982249916852	"27.4.aE"
5	6	26.289600958595	"27.4.aE"
6	6	27.0039420425	"27.4.aE"
7	6	27.822139156784	"27.4.aE"
8	6	27.871850508383	"27.4.aE"
9	6	28.867795347099	"27.4.aE"
10	6	29.038542255787	"27.4.aE"
11	6	29.863392058952	"27.4.aE"
12	6	30.066220268141	"27.4.aE"
13	6	30.775725336927	"27.4.aE"
14	6	30.968887514196	"27.4.aE"
15	6	31.288621823682	"27.4.aE"
1	7	22.391950581727	"27.4.aE"
2	7	23.77254597428	"27.4.aE"
3	7	25.055909831948	"27.4.aE"
4	7	25.911179257437	"27.4.aE"
5	7	26.465974714399	"27.4.aE"
6	7	26.856257628476	"27.4.aE"
7	7	27.432775768977	"27.4.aE"
8	7	27.917820479847	"27.4.aE"
9	7	28.412064361483	"27.4.aE"
10	7	28.889037582467	"27.4.aE"
11	7	29.455236116089	"27.4.aE"
12	7	29.79252758754	"27.4.aE"
13	7	30.297656333209	"27.4.aE"
14	7	30.53402919649	"27.4.aE"
15	7	30.762387709376	"27.4.aE"
1	8	22.457446028558	"27.4.aE"
2	8	23.608581126223	"27.4.aE"
3	8	25.072685086529	"27.4.aE"
4	8	26.075166606018	"27.4.aE"
5	8	26.366269934407	"27.4.aE"
6	8	26.865630683754	"27.4.aE"
7	8	27.727223364285	"27.4.aE"
8	8	27.880891253481	"27.4.aE"
9	8	28.495457398434	"27.4.aE"
10	8	29.019013744957	"27.4.aE"
11	8	29.465152813512	"27.4.aE"
12	8	29.34251264145	"27.4.aE"
13	8	30.564051270195	"27.4.aE"
14	8	30.825273429023	"27.4.aE"
15	8	31.004345355809	"27.4.aE"
1	9	22.881427689796	"27.4.aE"
2	9	23.79650625122	"27.4.aE"
3	9	25.049697611822	"27.4.aE"
4	9	26.419394266586	"27.4.aE"
5	9	26.378973784446	"27.4.aE"
6	9	27.021519993772	"27.4.aE"
7	9	27.618373349273	"27.4.aE"
8	9	28.10518210312	"27.4.aE"
9	9	28.430328406065	"27.4.aE"
10	9	29.329396980045	"27.4.aE"
11	9	29.377760698838	"27.4.aE"
12	9	29.635989937606	"27.4.aE"
13	9	30.704174916294	"27.4.aE"
14	9	30.949101218342	"27.4.aE"
15	9	30.808287666497	"27.4.aE"
1	10	22.394625120065	"27.4.aE"
2	10	23.545222911862	"27.4.aE"
3	10	24.852669315761	"27.4.aE"
4	10	25.918850842451	"27.4.aE"
5	10	26.415962449279	"27.4.aE"
6	10	26.80916843111	"27.4.aE"
7	10	27.407324140396	"27.4.aE"
8	10	27.770790130506	"27.4.aE"
9	10	28.501733353955	"27.4.aE"
10	10	29.227360163939	"27.4.aE"
11	10	29.195046979562	"27.4.aE"
12	10	29.020694434175	"27.4.aE"
13	10	30.556839753037	"27.4.aE"
14	10	30.819024799271	"27.4.aE"
15	10	31.057209167268	"27.4.aE"
1	11	22.236194842095	"27.4.aE"
2	11	23.441369565006	"27.4.aE"
3	11	24.728828410313	"27.4.aE"
4	11	25.845649118377	"27.4.aE"
5	11	26.074767840562	"27.4.aE"
6	11	26.774397783097	"27.4.aE"
7	11	27.126873561779	"27.4.aE"
8	11	27.503081191753	"27.4.aE"
9	11	28.44367380497	"27.4.aE"
10	11	28.788239259161	"27.4.aE"
11	11	29.182609061426	"27.4.aE"
12	11	29.770188785906	"27.4.aE"
13	11	30.603686393022	"27.4.aE"
14	11	30.854850661581	"27.4.aE"
15	11	31.066559828688	"27.4.aE"
1	12	22.437044858587	"27.4.aE"
2	12	23.546925188394	"27.4.aE"
3	12	24.842987450302	"27.4.aE"
4	12	26.006728402103	"27.4.aE"
5	12	26.373980696631	"27.4.aE"
6	12	27.023660273085	"27.4.aE"
7	12	27.477194823386	"27.4.aE"
8	12	27.718145493396	"27.4.aE"
9	12	28.51482408193	"27.4.aE"
10	12	29.050623805417	"27.4.aE"
11	12	28.851214216668	"27.4.aE"
12	12	29.542649480976	"27.4.aE"
13	12	30.465083949337	"27.4.aE"
14	12	30.721821403811	"27.4.aE"
15	12	30.621408996906	"27.4.aE"
1	13	22.829826772632	"27.4.aE"
2	13	23.756839999067	"27.4.aE"
3	13	25.147892682664	"27.4.aE"
4	13	26.053760299492	"27.4.aE"
5	13	26.534414815307	"27.4.aE"
6	13	26.757633223386	"27.4.aE"
7	13	27.378671928525	"27.4.aE"
8	13	28.014964025461	"27.4.aE"
9	13	28.634797547677	"27.4.aE"
10	13	29.233837146053	"27.4.aE"
