"Age"	"Iteration"	"MeanIndividualWeight"	"Stratum"
1	1	0.108292333153	"27.4.aE"
2	1	0.126974832028	"27.4.aE"
3	1	0.144016852447	"27.4.aE"
4	1	0.167604573366	"27.4.aE"
5	1	0.177310664757	"27.4.aE"
6	1	0.183163427229	"27.4.aE"
7	1	0.197643487336	"27.4.aE"
8	1	0.20466973831	"27.4.aE"
9	1	0.223933159165	"27.4.aE"
10	1	0.225268621257	"27.4.aE"
11	1	0.252478777363	"27.4.aE"
12	1	0.260868478133	"27.4.aE"
13	1	0.271447665993	"27.4.aE"
14	1	0.2533701807	"27.4.aE"
15	1	0.278222072802	"27.4.aE"
1	2	0.106408481051	"27.4.aE"
2	2	0.121527184901	"27.4.aE"
3	2	0.142120592685	"27.4.aE"
4	2	0.162880733727	"27.4.aE"
5	2	0.173581583276	"27.4.aE"
6	2	0.177747597369	"27.4.aE"
7	2	0.191254712229	"27.4.aE"
8	2	0.207616196251	"27.4.aE"
9	2	0.217806930079	"27.4.aE"
10	2	0.229352113081	"27.4.aE"
11	2	0.246887555389	"27.4.aE"
12	2	0.254394446873	"27.4.aE"
13	2	0.278008381588	"27.4.aE"
14	2	0.265576787175	"27.4.aE"
15	2	0.274633911626	"27.4.aE"
1	3	0.106174474852	"27.4.aE"
2	3	0.124692960972	"27.4.aE"
3	3	0.141044693929	"27.4.aE"
4	3	0.16396830366	"27.4.aE"
5	3	0.171536816258	"27.4.aE"
6	3	0.181304700089	"27.4.aE"
7	3	0.195268180285	"27.4.aE"
8	3	0.208367032554	"27.4.aE"
9	3	0.215544292138	"27.4.aE"
10	3	0.224838101048	"27.4.aE"
11	3	0.225419203022	"27.4.aE"
12	3	0.253878711668	"27.4.aE"
13	3	0.274004597661	"27.4.aE"
14	3	0.272167011576	"27.4.aE"
15	3	0.283752491331	"27.4.aE"
1	4	0.108023198073	"27.4.aE"
2	4	0.126608194155	"27.4.aE"
3	4	0.14547891394	"27.4.aE"
4	4	0.161797960943	"27.4.aE"
5	4	0.169067294164	"27.4.aE"
6	4	0.179653855303	"27.4.aE"
7	4	0.18850210354	"27.4.aE"
8	4	0.203647776487	"27.4.aE"
9	4	0.208664749452	"27.4.aE"
10	4	0.222664714494	"27.4.aE"
11	4	0.227457935806	"27.4.aE"
12	4	0.234899275694	"27.4.aE"
13	4	0.253539199798	"27.4.aE"
14	4	0.247477509899	"27.4.aE"
15	4	0.264333949218	"27.4.aE"
1	5	0.101357811204	"27.4.aE"
2	5	0.120415860027	"27.4.aE"
3	5	0.138733459167	"27.4.aE"
4	5	0.163135066962	"27.4.aE"
5	5	0.170435172888	"27.4.aE"
6	5	0.174980490101	"27.4.aE"
7	5	0.185987194454	"27.4.aE"
8	5	0.195564676211	"27.4.aE"
9	5	0.216525447267	"27.4.aE"
10	5	0.227677303716	"27.4.aE"
11	5	0.237384236558	"27.4.aE"
12	5	0.215192158396	"27.4.aE"
13	5	0.267518099735	"27.4.aE"
14	5	0.252536926231	"27.4.aE"
15	5	0.277824111602	"27.4.aE"
1	6	0.106645774907	"27.4.aE"
2	6	0.120431473125	"27.4.aE"
3	6	0.140380136514	"27.4.aE"
4	6	0.161372931155	"27.4.aE"
5	6	0.167072494048	"27.4.aE"
6	6	0.179455420421	"27.4.aE"
7	6	0.196369187488	"27.4.aE"
8	6	0.199591992939	"27.4.aE"
9	6	0.221258718529	"27.4.aE"
10	6	0.224743625346	"27.4.aE"
11	6	0.248380709333	"27.4.aE"
12	6	0.252650080107	"27.4.aE"
13	6	0.2717010728	"27.4.aE"
14	6	0.276268742885	"27.4.aE"
15	6	0.284652513802	"27.4.aE"
1	7	0.104278424804	"27.4.aE"
2	7	0.123422785934	"27.4.aE"
3	7	0.141948023862	"27.4.aE"
4	7	0.161311818648	"27.4.aE"
5	7	0.170251860732	"27.4.aE"
6	7	0.175628770652	"27.4.aE"
7	7	0.189460102015	"27.4.aE"
8	7	0.201381718066	"27.4.aE"
9	7	0.212730099136	"27.4.aE"
10	7	0.223000230451	"27.4.aE"
11	7	0.24003519403	"27.4.aE"
12	7	0.247009423912	"27.4.aE"
13	7	0.26223923395	"27.4.aE"
14	7	0.267955853652	"27.4.aE"
15	7	0.273111118418	"27.4.aE"
1	8	0.105390822047	"27.4.aE"
2	8	0.122605060471	"27.4.aE"
3	8	0.142530691506	"27.4.aE"
4	8	0.162903508828	"27.4.aE"
5	8	0.168158089735	"27.4.aE"
6	8	0.175955876934	"27.4.aE"
7	8	0.194449355157	"27.4.aE"
8	8	0.198842315389	"27.4.aE"
9	8	0.210986488917	"27.4.aE"
10	8	0.220980132557	"27.4.aE"
11	8	0.23555361865	"27.4.aE"
12	8	0.231303006105	"27.4.aE"
13	8	0.262719475615	"27.4.aE"
14	8	0.269095134884	"27.4.aE"
