"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"
1	1	20.118243523504	"27.4.aE"
2	1	23.095768083332	"27.4.aE"
3	1	25.300236079743	"27.4.aE"
4	1	26.605490934776	"27.4.aE"
5	1	26.787104668808	"27.4.aE"
6	1	27.40519848329	"27.4.aE"
7	1	27.260733117537	"27.4.aE"
8	1	27.474289559886	"27.4.aE"
9	1	27.581484585544	"27.4.aE"
10	1	28.09415452802	"27.4.aE"
11	1	28.409224733529	"27.4.aE"
12	1	28.528787681154	"27.4.aE"
13	1	28.94546416853	"27.4.aE"
14	1	28.791023115954	"27.4.aE"
15	1	28.950227357106	"27.4.aE"
1	2	21.059871743391	"27.4.aE"
2	2	23.262602172167	"27.4.aE"
3	2	25.327713187453	"27.4.aE"
4	2	26.492830263362	"27.4.aE"
5	2	26.765682421688	"27.4.aE"
6	2	27.250929460332	"27.4.aE"
7	2	27.505003499656	"27.4.aE"
8	2	27.768837464015	"27.4.aE"
9	2	27.88138880773	"27.4.aE"
10	2	28.013320942497	"27.4.aE"
11	2	27.526439101782	"27.4.aE"
12	2	28.15887849247	"27.4.aE"
13	2	28.501977263975	"27.4.aE"
14	2	27.988115827988	"27.4.aE"
15	2	28.507561348688	"27.4.aE"
1	3	20.508161001986	"27.4.aE"
2	3	23.465528727243	"27.4.aE"
3	3	25.616709704058	"27.4.aE"
4	3	26.904084097532	"27.4.aE"
5	3	27.286117921709	"27.4.aE"
6	3	27.285513709745	"27.4.aE"
7	3	27.735645870858	"27.4.aE"
8	3	27.899439766337	"27.4.aE"
9	3	28.204721843757	"27.4.aE"
10	3	28.155118163525	"27.4.aE"
11	3	27.915876419132	"27.4.aE"
12	3	28.64395803361	"27.4.aE"
13	3	28.836160140987	"27.4.aE"
14	3	28.48801209503	"27.4.aE"
15	3	28.841237220136	"27.4.aE"
1	4	20.246532562828	"27.4.aE"
2	4	23.576394197402	"27.4.aE"
3	4	25.505578550743	"27.4.aE"
4	4	27.045718885191	"27.4.aE"
5	4	27.222844457491	"27.4.aE"
6	4	27.424325910255	"27.4.aE"
7	4	27.777031627232	"27.4.aE"
8	4	27.712905765528	"27.4.aE"
9	4	28.227004221528	"27.4.aE"
10	4	28.210976848072	"27.4.aE"
11	4	28.097462298987	"27.4.aE"
12	4	28.221367244443	"27.4.aE"
13	4	28.978016198676	"27.4.aE"
14	4	28.339761639368	"27.4.aE"
15	4	28.970621561686	"27.4.aE"
1	5	20.407931846618	"27.4.aE"
2	5	23.463725977366	"27.4.aE"
3	5	25.354192571812	"27.4.aE"
4	5	26.515030600944	"27.4.aE"
5	5	27.072921597579	"27.4.aE"
6	5	27.355771654583	"27.4.aE"
7	5	27.59879459656	"27.4.aE"
8	5	27.551592329194	"27.4.aE"
9	5	27.870886055505	"27.4.aE"
10	5	27.901304231827	"27.4.aE"
11	5	28.155580353916	"27.4.aE"
12	5	28.091523271458	"27.4.aE"
13	5	28.354914967029	"27.4.aE"
14	5	28.244660443162	"27.4.aE"
15	5	28.358980796537	"27.4.aE"
1	6	20.360343613012	"27.4.aE"
2	6	23.18211034764	"27.4.aE"
3	6	25.389980492016	"27.4.aE"
4	6	26.482078065741	"27.4.aE"
5	6	26.808729455188	"27.4.aE"
6	6	27.06192376584	"27.4.aE"
