"Age"	"Iteration"	"MeanIndividualWeight"	"Stratum"
1	1	0.0763244976115	"27.4.aE"
2	1	0.114373112299	"27.4.aE"
3	1	0.146006064429	"27.4.aE"
4	1	0.171983528946	"27.4.aE"
5	1	0.175269707148	"27.4.aE"
6	1	0.180306054495	"27.4.aE"
7	1	0.185184218694	"27.4.aE"
8	1	0.189631766249	"27.4.aE"
9	1	0.192466649662	"27.4.aE"
10	1	0.198261482275	"27.4.aE"
11	1	0.213648043948	"27.4.aE"
12	1	0.21653851205	"27.4.aE"
13	1	0.226709632714	"27.4.aE"
14	1	0.222925272975	"27.4.aE"
15	1	0.226814746599	"27.4.aE"
1	2	0.0849865666922	"27.4.aE"
2	2	0.117535189407	"27.4.aE"
3	2	0.147890150102	"27.4.aE"
4	2	0.170479665216	"27.4.aE"
5	2	0.174087886408	"27.4.aE"
6	2	0.181585467361	"27.4.aE"
7	2	0.188275659007	"27.4.aE"
8	2	0.191014499842	"27.4.aE"
9	2	0.197806374497	"27.4.aE"
10	2	0.19957163616	"27.4.aE"
11	2	0.192174030363	"27.4.aE"
12	2	0.20609745871	"27.4.aE"
13	2	0.21365990845	"27.4.aE"
14	2	0.202311877708	"27.4.aE"
15	2	0.213777308561	"27.4.aE"
1	3	0.0815667034211	"27.4.aE"
2	3	0.120908061279	"27.4.aE"
3	3	0.154907943551	"27.4.aE"
4	3	0.18096748154	"27.4.aE"
5	3	0.18970392757	"27.4.aE"
6	3	0.187800731994	"27.4.aE"
7	3	0.196931146489	"27.4.aE"
8	3	0.202936309197	"27.4.aE"
9	3	0.210648709493	"27.4.aE"
10	3	0.207188314854	"27.4.aE"
11	3	0.204351583304	"27.4.aE"
12	3	0.224613198479	"27.4.aE"
13	3	0.229952632818	"27.4.aE"
14	3	0.220204542006	"27.4.aE"
15	3	0.230068681105	"27.4.aE"
1	4	0.0797456821029	"27.4.aE"
2	4	0.122028007377	"27.4.aE"
3	4	0.152494437353	"27.4.aE"
4	4	0.176973597438	"27.4.aE"
5	4	0.183814273517	"27.4.aE"
6	4	0.188714362454	"27.4.aE"
7	4	0.194213392713	"27.4.aE"
8	4	0.193858112899	"27.4.aE"
9	4	0.205427442945	"27.4.aE"
10	4	0.200539845347	"27.4.aE"
11	4	0.204012282564	"27.4.aE"
12	4	0.206601323019	"27.4.aE"
13	4	0.222444408987	"27.4.aE"
14	4	0.209078265301	"27.4.aE"
15	4	0.222276164976	"27.4.aE"
1	5	0.0798314480135	"27.4.aE"
2	5	0.118984379096	"27.4.aE"
3	5	0.148014744034	"27.4.aE"
4	5	0.170967130248	"27.4.aE"
5	5	0.179756452556	"27.4.aE"
6	5	0.183242696794	"27.4.aE"
7	5	0.191494481637	"27.4.aE"
8	5	0.192541758478	"27.4.aE"
9	5	0.19833117321	"27.4.aE"
10	5	0.200121051618	"27.4.aE"
11	5	0.209646465675	"27.4.aE"
12	5	0.207796063639	"27.4.aE"
13	5	0.215138298041	"27.4.aE"
14	5	0.212033248718	"27.4.aE"
15	5	0.215225905332	"27.4.aE"
1	6	0.0795111607342	"27.4.aE"
2	6	0.115196473597	"27.4.aE"
3	6	0.147771074671	"27.4.aE"
4	6	0.171243976103	"27.4.aE"
5	6	0.176703813418	"27.4.aE"
6	6	0.178466636929	"27.4.aE"
7	6	0.192072113621	"27.4.aE"
8	6	0.188902381492	"27.4.aE"
9	6	0.198864882923	"27.4.aE"
10	6	0.199608638899	"27.4.aE"
11	6	0.197391652973	"27.4.aE"
12	6	0.216234573654	"27.4.aE"
13	6	0.221798351188	"27.4.aE"
14	6	0.22005601733	"27.4.aE"
15	6	0.221623556542	"27.4.aE"
1	7	0.081778492299	"27.4.aE"
2	7	0.119260133181	"27.4.aE"
3	7	0.151485617644	"27.4.aE"
4	7	0.178879445236	"27.4.aE"
5	7	0.182980233221	"27.4.aE"
6	7	0.186200860415	"27.4.aE"
7	7	0.19402438349	"27.4.aE"
8	7	0.196949495265	"27.4.aE"
9	7	0.20443146816	"27.4.aE"
10	7	0.204443174918	"27.4.aE"
11	7	0.218532138329	"27.4.aE"
12	7	0.225790679523	"27.4.aE"
13	7	0.233156385799	"27.4.aE"
14	7	0.23253511156	"27.4.aE"
15	7	0.228707087587	"27.4.aE"
1	8	0.0785635580592	"27.4.aE"
2	8	0.114852842734	"27.4.aE"
3	8	0.14510639439	"27.4.aE"
4	8	0.171063066424	"27.4.aE"
5	8	0.174540176972	"27.4.aE"
6	8	0.179560152563	"27.4.aE"
7	8	0.188003144868	"27.4.aE"
8	8	0.190394325914	"27.4.aE"
9	8	0.198010251516	"27.4.aE"
10	8	0.202058105883	"27.4.aE"
11	8	0.202829102268	"27.4.aE"
12	8	0.194384179473	"27.4.aE"
13	8	0.219056689219	"27.4.aE"
14	8	0.218373755987	"27.4.aE"
15	8	0.218928670126	"27.4.aE"
1	9	0.0836577080747	"27.4.aE"
2	9	0.119941794008	"27.4.aE"
3	9	0.148684149791	"27.4.aE"
4	9	0.173394675117	"27.4.aE"
5	9	0.179178631929	"27.4.aE"
6	9	0.182740739467	"27.4.aE"
7	9	0.191233282968	"27.4.aE"
8	9	0.19353922125	"27.4.aE"
9	9	0.196991221845	"27.4.aE"
10	9	0.199100170882	"27.4.aE"
11	9	0.200479436021	"27.4.aE"
12	9	0.202820650867	"27.4.aE"
13	9	0.217362025331	"27.4.aE"
14	9	0.213942708347	"27.4.aE"
15	9	0.217481408796	"27.4.aE"
1	10	0.0795183365711	"27.4.aE"
2	10	0.118395434107	"27.4.aE"
3	10	0.149924687318	"27.4.aE"
4	10	0.172907010994	"27.4.aE"
5	10	0.178940803444	"27.4.aE"
6	10	0.182588463518	"27.4.aE"
7	10	0.189139191065	"27.4.aE"
8	10	0.194148794355	"27.4.aE"
9	10	0.199749817519	"27.4.aE"
10	10	0.193380543661	"27.4.aE"
11	10	0.208028403541	"27.4.aE"
12	10	0.204213075902	"27.4.aE"
13	10	0.21785273102	"27.4.aE"
14	10	0.215221397075	"27.4.aE"
15	10	0.210806884564	"27.4.aE"
1	11	0.0814775948237	"27.4.aE"
2	11	0.12005357477	"27.4.aE"
3	11	0.148887963237	"27.4.aE"
4	11	0.175862826093	"27.4.aE"
5	11	0.179731904083	"27.4.aE"
6	11	0.183665434856	"27.4.aE"
7	11	0.192020262944	"27.4.aE"
8	11	0.189297673567	"27.4.aE"
9	11	0.201139473527	"27.4.aE"
10	11	0.207386885344	"27.4.aE"
11	11	0.216317485483	"27.4.aE"
12	11	0.209643376237	"27.4.aE"
13	11	0.222830163142	"27.4.aE"
14	11	0.209577204086	"27.4.aE"
15	11	0.222649661391	"27.4.aE"
1	12	0.0802548005609	"27.4.aE"
2	12	0.120168909151	"27.4.aE"
3	12	0.149574154743	"27.4.aE"
4	12	0.17100126511	"27.4.aE"
5	12	0.181492924127	"27.4.aE"
6	12	0.181855924101	"27.4.aE"
7	12	0.194621946697	"27.4.aE"
8	12	0.18832735869	"27.4.aE"
9	12	0.201430988254	"27.4.aE"
10	12	0.201428189839	"27.4.aE"
11	12	0.208323260249	"27.4.aE"
