"Age"	"Iteration"	"MeanIndividualLength"	"StratumTransfer"	"Quarter"
1	1	22.509839137223	"Transfer.area"	"Q4"
2	1	25.73391656638	"Transfer.area"	"Q4"
3	1	27.332812746937	"Transfer.area"	"Q4"
4	1	28.13682033762	"Transfer.area"	"Q4"
5	1	28.543610522519	"Transfer.area"	"Q4"
6	1	28.750031396387	"Transfer.area"	"Q4"
7	1	28.854928612544	"Transfer.area"	"Q4"
8	1	28.908272958423	"Transfer.area"	"Q4"
9	1	28.935410554165	"Transfer.area"	"Q4"
10	1	28.949218678718	"Transfer.area"	"Q4"
11	1	0	"Transfer.area"	"Q4"
12	1	28.959820896843	"Transfer.area"	"Q4"
13	1	0	"Transfer.area"	"Q4"
14	1	0	"Transfer.area"	"Q4"
15	1	0	"Transfer.area"	"Q4"
1	2	21.608731010131	"Transfer.area"	"Q4"
2	2	24.892193428503	"Transfer.area"	"Q4"
3	2	26.568337117966	"Transfer.area"	"Q4"
4	2	27.435688832314	"Transfer.area"	"Q4"
5	2	27.887284391616	"Transfer.area"	"Q4"
6	2	28.123118455787	"Transfer.area"	"Q4"
7	2	28.246463445768	"Transfer.area"	"Q4"
8	2	28.311025138026	"Transfer.area"	"Q4"
9	2	28.344831923536	"Transfer.area"	"Q4"
10	2	28.362538082992	"Transfer.area"	"Q4"
11	2	0	"Transfer.area"	"Q4"
12	2	28.376670948279	"Transfer.area"	"Q4"
13	2	0	"Transfer.area"	"Q4"
14	2	0	"Transfer.area"	"Q4"
15	2	0	"Transfer.area"	"Q4"
1	3	22.308486516926	"Transfer.area"	"Q4"
2	3	25.528057945362	"Transfer.area"	"Q4"
3	3	27.098722470568	"Transfer.area"	"Q4"
4	3	27.873934649014	"Transfer.area"	"Q4"
5	3	28.258494784305	"Transfer.area"	"Q4"
6	3	28.449718658103	"Transfer.area"	"Q4"
7	3	28.544915011231	"Transfer.area"	"Q4"
8	3	28.592333124745	"Transfer.area"	"Q4"
9	3	28.615959105021	"Transfer.area"	"Q4"
10	3	28.627732339445	"Transfer.area"	"Q4"
11	3	28.633599551568	"Transfer.area"	"Q4"
12	3	28.63652358779	"Transfer.area"	"Q4"
13	3	0	"Transfer.area"	"Q4"
14	3	28.638707140259	"Transfer.area"	"Q4"
15	3	0	"Transfer.area"	"Q4"
1	4	22.192560522191	"Transfer.area"	"Q4"
2	4	25.251956683949	"Transfer.area"	"Q4"
3	4	26.785536449759	"Transfer.area"	"Q4"
4	4	27.567634972811	"Transfer.area"	"Q4"
5	4	27.969586057845	"Transfer.area"	"Q4"
6	4	28.176937454825	"Transfer.area"	"Q4"
7	4	28.284102244767	"Transfer.area"	"Q4"
8	4	28.339540570816	"Transfer.area"	"Q4"
9	4	28.368233835344	"Transfer.area"	"Q4"
10	4	28.383088368834	"Transfer.area"	"Q4"
11	4	28.39077957557	"Transfer.area"	"Q4"
12	4	28.394762106245	"Transfer.area"	"Q4"
13	4	0	"Transfer.area"	"Q4"
14	4	28.39789223445	"Transfer.area"	"Q4"
15	4	0	"Transfer.area"	"Q4"
1	5	22.381315580829	"Transfer.area"	"Q4"
2	5	25.708667695238	"Transfer.area"	"Q4"
3	5	27.357586296798	"Transfer.area"	"Q4"
4	5	28.18426014377	"Transfer.area"	"Q4"
5	5	28.60083510605	"Transfer.area"	"Q4"
6	5	28.811265256939	"Transfer.area"	"Q4"
7	5	28.91768955044	"Transfer.area"	"Q4"
8	5	28.971545263863	"Transfer.area"	"Q4"
9	5	28.998806936648	"Transfer.area"	"Q4"
10	5	29.012608829002	"Transfer.area"	"Q4"
11	5	29.019596908365	"Transfer.area"	"Q4"
12	5	0	"Transfer.area"	"Q4"
13	5	0	"Transfer.area"	"Q4"
14	5	29.025833954892	"Transfer.area"	"Q4"
15	5	0	"Transfer.area"	"Q4"
1	6	22.41979050386	"Transfer.area"	"Q4"
2	6	25.743372861172	"Transfer.area"	"Q4"
3	6	27.365231111765	"Transfer.area"	"Q4"
4	6	28.164682232289	"Transfer.area"	"Q4"
5	6	28.560483798218	"Transfer.area"	"Q4"
6	6	28.756844618164	"Transfer.area"	"Q4"
7	6	28.854357639606	"Transfer.area"	"Q4"
8	6	28.902806247616	"Transfer.area"	"Q4"
9	6	28.926883343067	"Transfer.area"	"Q4"
10	6	28.938850154559	"Transfer.area"	"Q4"
11	6	28.944798256352	"Transfer.area"	"Q4"
12	6	28.947754845936	"Transfer.area"	"Q4"
13	6	0	"Transfer.area"	"Q4"
14	6	28.949955002694	"Transfer.area"	"Q4"
15	6	0	"Transfer.area"	"Q4"
1	7	22.015342411543	"Transfer.area"	"Q4"
2	7	25.145149582226	"Transfer.area"	"Q4"
3	7	26.742823137029	"Transfer.area"	"Q4"
4	7	27.572802200547	"Transfer.area"	"Q4"
5	7	28.007416288645	"Transfer.area"	"Q4"
6	7	28.235890224185	"Transfer.area"	"Q4"
7	7	28.356236358379	"Transfer.area"	"Q4"
8	7	28.41969258926	"Transfer.area"	"Q4"
9	7	28.453169841729	"Transfer.area"	"Q4"
10	7	28.470836235285	"Transfer.area"	"Q4"
11	7	0	"Transfer.area"	"Q4"
12	7	28.485082021513	"Transfer.area"	"Q4"
13	7	0	"Transfer.area"	"Q4"
14	7	0	"Transfer.area"	"Q4"
15	7	0	"Transfer.area"	"Q4"
1	8	22.099089302107	"Transfer.area"	"Q4"
2	8	25.219202302278	"Transfer.area"	"Q4"
3	8	26.798180642048	"Transfer.area"	"Q4"
4	8	27.610899508261	"Transfer.area"	"Q4"
5	8	28.032426805324	"Transfer.area"	"Q4"
6	8	28.251872803808	"Transfer.area"	"Q4"
7	8	28.366330433568	"Transfer.area"	"Q4"
8	8	28.426086233222	"Transfer.area"	"Q4"
9	8	28.457298972268	"Transfer.area"	"Q4"
10	8	28.473606806604	"Transfer.area"	"Q4"
11	8	28.482128372191	"Transfer.area"	"Q4"
12	8	28.486581581646	"Transfer.area"	"Q4"
13	8	0	"Transfer.area"	"Q4"
14	8	28.490125075277	"Transfer.area"	"Q4"
15	8	0	"Transfer.area"	"Q4"
1	9	22.942816316283	"Transfer.area"	"Q4"
2	9	26.049224840196	"Transfer.area"	"Q4"
3	9	27.609843970065	"Transfer.area"	"Q4"
4	9	28.408499464281	"Transfer.area"	"Q4"
5	9	28.820627345807	"Transfer.area"	"Q4"
6	9	29.034155592518	"Transfer.area"	"Q4"
7	9	29.145011292811	"Transfer.area"	"Q4"
8	9	29.20262290978	"Transfer.area"	"Q4"
9	9	29.23257959237	"Transfer.area"	"Q4"
10	9	29.248160663064	"Transfer.area"	"Q4"
11	9	29.25626585153	"Transfer.area"	"Q4"
12	9	29.260482440585	"Transfer.area"	"Q4"
13	9	0	"Transfer.area"	"Q4"
14	9	0	"Transfer.area"	"Q4"
15	9	0	"Transfer.area"	"Q4"
1	10	22.391837132281	"Transfer.area"	"Q4"
2	10	25.597169204656	"Transfer.area"	"Q4"
3	10	27.221724594498	"Transfer.area"	"Q4"
4	10	28.058645499093	"Transfer.area"	"Q4"
5	10	28.49299029265	"Transfer.area"	"Q4"
6	10	28.719216564595	"Transfer.area"	"Q4"
7	10	28.837258786393	"Transfer.area"	"Q4"
8	10	28.898909071195	"Transfer.area"	"Q4"
9	10	28.931122850577	"Transfer.area"	"Q4"
10	10	28.947959549061	"Transfer.area"	"Q4"
11	10	28.956760484801	"Transfer.area"	"Q4"
12	10	28.961361252949	"Transfer.area"	"Q4"
13	10	0	"Transfer.area"	"Q4"
14	10	28.965023828118	"Transfer.area"	"Q4"
15	10	0	"Transfer.area"	"Q4"
1	11	21.997702010789	"Transfer.area"	"Q4"
2	11	25.167449397683	"Transfer.area"	"Q4"
3	11	26.791177685278	"Transfer.area"	"Q4"
4	11	27.63732288012	"Transfer.area"	"Q4"
5	11	28.081713947733	"Transfer.area"	"Q4"
6	11	28.31600298254	"Transfer.area"	"Q4"
7	11	28.439765186686	"Transfer.area"	"Q4"
