"Age"	"Iteration"	"MeanIndividualWeight"	"StratumTransfer"	"Quarter"
1	1	0.0885220667768	"Transfer.area"	"Q4"
2	1	0.128997415928	"Transfer.area"	"Q4"
3	1	0.152834333509	"Transfer.area"	"Q4"
4	1	0.165820617803	"Transfer.area"	"Q4"
5	1	0.172653128742	"Transfer.area"	"Q4"
6	1	0.176188475648	"Transfer.area"	"Q4"
7	1	0.178002771707	"Transfer.area"	"Q4"
8	1	0.17893001199	"Transfer.area"	"Q4"
9	1	0.17940291436	"Transfer.area"	"Q4"
10	1	0.17964384496	"Transfer.area"	"Q4"
11	1	0	"Transfer.area"	"Q4"
12	1	0.179828978868	"Transfer.area"	"Q4"
13	1	0	"Transfer.area"	"Q4"
14	1	0	"Transfer.area"	"Q4"
15	1	0	"Transfer.area"	"Q4"
1	2	0.083335463885	"Transfer.area"	"Q4"
2	2	0.124579622961	"Transfer.area"	"Q4"
3	2	0.149930218969	"Transfer.area"	"Q4"
4	2	0.164264728874	"Transfer.area"	"Q4"
5	2	0.172067027021	"Transfer.area"	"Q4"
6	2	0.176235287268	"Transfer.area"	"Q4"
7	2	0.178441172707	"Transfer.area"	"Q4"
8	2	0.179602885359	"Transfer.area"	"Q4"
9	2	0.18021314972	"Transfer.area"	"Q4"
10	2	0.180533308662	"Transfer.area"	"Q4"
11	2	0	"Transfer.area"	"Q4"
12	2	0.180789120475	"Transfer.area"	"Q4"
13	2	0	"Transfer.area"	"Q4"
14	2	0	"Transfer.area"	"Q4"
15	2	0	"Transfer.area"	"Q4"
1	3	0.0867572374821	"Transfer.area"	"Q4"
2	3	0.127881087461	"Transfer.area"	"Q4"
3	3	0.151857427006	"Transfer.area"	"Q4"
4	3	0.164698661707	"Transfer.area"	"Q4"
5	3	0.171323273343	"Transfer.area"	"Q4"
6	3	0.174681094744	"Transfer.area"	"Q4"
7	3	0.176368595009	"Transfer.area"	"Q4"
8	3	0.177213107079	"Transfer.area"	"Q4"
9	3	0.177634866562	"Transfer.area"	"Q4"
10	3	0.177845280895	"Transfer.area"	"Q4"
11	3	0.177950201942	"Transfer.area"	"Q4"
12	3	0.178002506409	"Transfer.area"	"Q4"
13	3	0	"Transfer.area"	"Q4"
14	3	0.178041571821	"Transfer.area"	"Q4"
15	3	0	"Transfer.area"	"Q4"
1	4	0.0872861663016	"Transfer.area"	"Q4"
2	4	0.12666341971	"Transfer.area"	"Q4"
3	4	0.150132144534	"Transfer.area"	"Q4"
4	4	0.163121017609	"Transfer.area"	"Q4"
5	4	0.170072684237	"Transfer.area"	"Q4"
6	4	0.173733193347	"Transfer.area"	"Q4"
7	4	0.175645043359	"Transfer.area"	"Q4"
8	4	0.176639448476	"Transfer.area"	"Q4"
9	4	0.177155564487	"Transfer.area"	"Q4"
10	4	0.177423144796	"Transfer.area"	"Q4"
11	4	0.177561793063	"Transfer.area"	"Q4"
12	4	0.177633613366	"Transfer.area"	"Q4"
13	4	0	"Transfer.area"	"Q4"
14	4	0.177690074897	"Transfer.area"	"Q4"
15	4	0	"Transfer.area"	"Q4"
1	5	0.0913535275754	"Transfer.area"	"Q4"
2	5	0.136045439038	"Transfer.area"	"Q4"
3	5	0.162652012786	"Transfer.area"	"Q4"
4	5	0.177177536836	"Transfer.area"	"Q4"
5	5	0.184806779735	"Transfer.area"	"Q4"
6	5	0.188740700791	"Transfer.area"	"Q4"
7	5	0.190750881344	"Transfer.area"	"Q4"
8	5	0.191773424178	"Transfer.area"	"Q4"
9	5	0.192292393152	"Transfer.area"	"Q4"
10	5	0.192555482712	"Transfer.area"	"Q4"
11	5	0.192688777854	"Transfer.area"	"Q4"
12	5	0	"Transfer.area"	"Q4"
13	5	0	"Transfer.area"	"Q4"
14	5	0.192807798106	"Transfer.area"	"Q4"
15	5	0	"Transfer.area"	"Q4"
1	6	0.090921223986	"Transfer.area"	"Q4"
2	6	0.134454337644	"Transfer.area"	"Q4"
3	6	0.159834722411	"Transfer.area"	"Q4"
4	6	0.173406430512	"Transfer.area"	"Q4"
5	6	0.180392453763	"Transfer.area"	"Q4"
6	6	0.183924756473	"Transfer.area"	"Q4"
7	6	0.185695393928	"Transfer.area"	"Q4"
8	6	0.18657920487	"Transfer.area"	"Q4"
9	6	0.187019434818	"Transfer.area"	"Q4"
10	6	0.187238487809	"Transfer.area"	"Q4"
11	6	0.187347429765	"Transfer.area"	"Q4"
12	6	0.18740159618	"Transfer.area"	"Q4"
13	6	0	"Transfer.area"	"Q4"
14	6	0.187441910883	"Transfer.area"	"Q4"
15	6	0	"Transfer.area"	"Q4"
1	7	0.0840797270162	"Transfer.area"	"Q4"
2	7	0.122631079634	"Transfer.area"	"Q4"
3	7	0.14606978728	"Transfer.area"	"Q4"
4	7	0.159311917825	"Transfer.area"	"Q4"
5	7	0.166545608257	"Transfer.area"	"Q4"
6	7	0.170432131569	"Transfer.area"	"Q4"
7	7	0.172502722221	"Transfer.area"	"Q4"
8	7	0.173601035353	"Transfer.area"	"Q4"
9	7	0.17418228705	"Transfer.area"	"Q4"
10	7	0.174489528853	"Transfer.area"	"Q4"
11	7	0	"Transfer.area"	"Q4"
12	7	0.174737537322	"Transfer.area"	"Q4"
13	7	0	"Transfer.area"	"Q4"
14	7	0	"Transfer.area"	"Q4"
15	7	0	"Transfer.area"	"Q4"
1	8	0.0854631174797	"Transfer.area"	"Q4"
2	8	0.124706924168	"Transfer.area"	"Q4"
3	8	0.148372259896	"Transfer.area"	"Q4"
4	8	0.161613618009	"Transfer.area"	"Q4"
5	8	0.168773902374	"Transfer.area"	"Q4"
6	8	0.172581801773	"Transfer.area"	"Q4"
7	8	0.174589888353	"Transfer.area"	"Q4"
8	8	0.175644277161	"Transfer.area"	"Q4"
9	8	0.176196667697	"Transfer.area"	"Q4"
10	8	0.176485726107	"Transfer.area"	"Q4"
11	8	0.176636894557	"Transfer.area"	"Q4"
12	8	0.176715925836	"Transfer.area"	"Q4"
13	8	0	"Transfer.area"	"Q4"
14	8	0.176778828784	"Transfer.area"	"Q4"
15	8	0	"Transfer.area"	"Q4"
1	9	0.0970368362067	"Transfer.area"	"Q4"
2	9	0.138820682039	"Transfer.area"	"Q4"
3	9	0.163573579601	"Transfer.area"	"Q4"
4	9	0.17727071534	"Transfer.area"	"Q4"
5	9	0.18461903422	"Transfer.area"	"Q4"
6	9	0.188502339289	"Transfer.area"	"Q4"
7	9	0.190539017899	"Transfer.area"	"Q4"
8	9	0.191603062228	"Transfer.area"	"Q4"
9	9	0.192157852282	"Transfer.area"	"Q4"
10	9	0.19244681908	"Transfer.area"	"Q4"
11	9	0.192597248865	"Transfer.area"	"Q4"
12	9	0.192675537451	"Transfer.area"	"Q4"
13	9	0	"Transfer.area"	"Q4"
14	9	0	"Transfer.area"	"Q4"
15	9	0	"Transfer.area"	"Q4"
1	10	0.0852846265836	"Transfer.area"	"Q4"
2	10	0.125206277628	"Transfer.area"	"Q4"
3	10	0.149390862303	"Transfer.area"	"Q4"
4	10	0.162955133816	"Transfer.area"	"Q4"
5	10	0.170300133535	"Transfer.area"	"Q4"
6	10	0.174209682607	"Transfer.area"	"Q4"
7	10	0.176272648349	"Transfer.area"	"Q4"
8	10	0.177356377993	"Transfer.area"	"Q4"
9	10	0.177924375872	"Transfer.area"	"Q4"
10	10	0.178221713929	"Transfer.area"	"Q4"
11	10	0.178377268246	"Transfer.area"	"Q4"
12	10	0.17845862086	"Transfer.area"	"Q4"
13	10	0	"Transfer.area"	"Q4"
14	10	0.178523401252	"Transfer.area"	"Q4"
15	10	0	"Transfer.area"	"Q4"
1	11	0.0857266496396	"Transfer.area"	"Q4"
2	11	0.125689653086	"Transfer.area"	"Q4"
3	11	0.150135525407	"Transfer.area"	"Q4"
4	11	0.164010024725	"Transfer.area"	"Q4"
5	11	0.17161802092	"Transfer.area"	"Q4"
6	11	0.1757194949	"Transfer.area"	"Q4"
7	11	0.177911486966	"Transfer.area"	"Q4"
8	11	0.179077702678	"Transfer.area"	"Q4"
9	11	0.179696704357	"Transfer.area"	"Q4"
10	11	0.180024847939	"Transfer.area"	"Q4"
11	11	0.180198688241	"Transfer.area"	"Q4"
12	11	0.180290751446	"Transfer.area"	"Q4"
13	11	0	"Transfer.area"	"Q4"
14	11	0.180365305831	"Transfer.area"	"Q4"
15	11	0.180378968847	"Transfer.area"	"Q4"
1	12	0.0849384263215	"Transfer.area"	"Q4"
2	12	0.123426634335	"Transfer.area"	"Q4"
3	12	0.146907933981	"Transfer.area"	"Q4"
4	12	0.160250719973	"Transfer.area"	"Q4"
5	12	0.167588120022	"Transfer.area"	"Q4"
6	12	0.171558137278	"Transfer.area"	"Q4"
7	12	0.173688391347	"Transfer.area"	"Q4"
8	12	0.174826508206	"Transfer.area"	"Q4"
9	12	0.175433175983	"Transfer.area"	"Q4"
10	12	0.175756167201	"Transfer.area"	"Q4"
11	12	0.175928018389	"Transfer.area"	"Q4"
12	12	0.176019422726	"Transfer.area"	"Q4"
13	12	0	"Transfer.area"	"Q4"
14	12	0.176093876368	"Transfer.area"	"Q4"
15	12	0.176107618969	"Transfer.area"	"Q4"
1	13	0.0888092266789	"Transfer.area"	"Q4"
2	13	0.130753687872	"Transfer.area"	"Q4"
3	13	0.15617699047	"Transfer.area"	"Q4"
4	13	0.1704252058	"Transfer.area"	"Q4"
5	13	0.178130497172	"Transfer.area"	"Q4"
6	13	0.182225471705	"Transfer.area"	"Q4"
7	13	0.184382698882	"Transfer.area"	"Q4"
8	13	0.185514011494	"Transfer.area"	"Q4"
9	13	0.186105922911	"Transfer.area"	"Q4"
10	13	0.186415240619	"Transfer.area"	"Q4"
11	13	0	"Transfer.area"	"Q4"
12	13	0	"Transfer.area"	"Q4"
13	13	0	"Transfer.area"	"Q4"
14	13	0	"Transfer.area"	"Q4"
15	13	0.186740105864	"Transfer.area"	"Q4"
1	14	0.0858788727088	"Transfer.area"	"Q4"
2	14	0.125130597145	"Transfer.area"	"Q4"
3	14	0.148739052999	"Transfer.area"	"Q4"
4	14	0.161918020411	"Transfer.area"	"Q4"
5	14	0.169029336661	"Transfer.area"	"Q4"
6	14	0.172803530922	"Transfer.area"	"Q4"
7	14	0.174789947994	"Transfer.area"	"Q4"
8	14	0.175830962197	"Transfer.area"	"Q4"
9	14	0.176375316049	"Transfer.area"	"Q4"
10	14	0.17665963557	"Transfer.area"	"Q4"
11	14	0	"Transfer.area"	"Q4"
12	14	0	"Transfer.area"	"Q4"
13	14	0	"Transfer.area"	"Q4"
14	14	0	"Transfer.area"	"Q4"
15	14	0.17695798086	"Transfer.area"	"Q4"
1	15	0.0887428509484	"Transfer.area"	"Q4"
2	15	0.12934341912	"Transfer.area"	"Q4"
3	15	0.153872029361	"Transfer.area"	"Q4"
4	15	0.16763320233	"Transfer.area"	"Q4"
5	15	0.175096855952	"Transfer.area"	"Q4"
6	15	0.179078421421	"Transfer.area"	"Q4"
7	15	0.181184686435	"Transfer.area"	"Q4"
8	15	0.18229410631	"Transfer.area"	"Q4"
9	15	0.182877154339	"Transfer.area"	"Q4"
10	15	0.183183212724	"Transfer.area"	"Q4"
