"Age"	"Iteration"	"CatchAtAge"	"Length"	"Stratum"	"Quarter"
1	1	3041418.92253733	340	"27.4.aE"	"Q4"
1	2	5023891.39656683	340	"27.4.aE"	"Q4"
1	3	3616365.51136118	340	"27.4.aE"	"Q4"
1	4	1217493.58861934	340	"27.4.aE"	"Q4"
1	5	2148252.31269963	340	"27.4.aE"	"Q4"
1	6	2005930.91892892	340	"27.4.aE"	"Q4"
1	7	2221753.46779789	340	"27.4.aE"	"Q4"
1	8	2969429.41350302	340	"27.4.aE"	"Q4"
1	9	2609328.14169205	340	"27.4.aE"	"Q4"
1	10	3927858.46426983	340	"27.4.aE"	"Q4"
1	11	1947666.38807208	340	"27.4.aE"	"Q4"
1	12	3269043.51373811	340	"27.4.aE"	"Q4"
1	13	2818405.89924855	340	"27.4.aE"	"Q4"
1	14	1975901.98823185	340	"27.4.aE"	"Q4"
1	15	3504606.75834066	340	"27.4.aE"	"Q4"
1	16	3189855.47072217	340	"27.4.aE"	"Q4"
1	17	8926966.34791314	340	"27.4.aE"	"Q4"
1	18	2896385.88196482	340	"27.4.aE"	"Q4"
1	19	1544341.0926641	340	"27.4.aE"	"Q4"
1	20	1719570.46511151	340	"27.4.aE"	"Q4"
1	21	4155346.3796861	340	"27.4.aE"	"Q4"
1	22	1311611.46942462	340	"27.4.aE"	"Q4"
1	23	2153174.64316662	340	"27.4.aE"	"Q4"
1	24	1046722.04766519	340	"27.4.aE"	"Q4"
1	25	2288036.15945947	340	"27.4.aE"	"Q4"
1	26	2688625.84979872	340	"27.4.aE"	"Q4"
1	27	4418055.45145254	340	"27.4.aE"	"Q4"
1	28	3025759.24065786	340	"27.4.aE"	"Q4"
1	29	5836096.31815108	340	"27.4.aE"	"Q4"
1	30	5460652.33232938	340	"27.4.aE"	"Q4"
1	31	3343896.40188201	340	"27.4.aE"	"Q4"
1	32	6312089.71467865	340	"27.4.aE"	"Q4"
1	33	3086345.29504521	340	"27.4.aE"	"Q4"
1	34	1954923.9489903	340	"27.4.aE"	"Q4"
1	35	4726411.97572473	340	"27.4.aE"	"Q4"
1	36	4682141.41179802	340	"27.4.aE"	"Q4"
1	37	5064977.55531993	340	"27.4.aE"	"Q4"
1	38	2478755.43467858	340	"27.4.aE"	"Q4"
1	39	2917772.24453769	340	"27.4.aE"	"Q4"
1	40	2991200.7138212	340	"27.4.aE"	"Q4"
1	41	5067561.15530811	340	"27.4.aE"	"Q4"
1	42	4714626.46897026	340	"27.4.aE"	"Q4"
1	43	3989131.00056002	340	"27.4.aE"	"Q4"
1	44	3405606.69285819	340	"27.4.aE"	"Q4"
1	45	3770716.49521356	340	"27.4.aE"	"Q4"
1	46	4657940.37756306	340	"27.4.aE"	"Q4"
1	47	2098596.89999677	340	"27.4.aE"	"Q4"
1	48	3828802.93755058	340	"27.4.aE"	"Q4"
1	49	2334875.55032156	340	"27.4.aE"	"Q4"
1	50	1638628.56887156	340	"27.4.aE"	"Q4"
1	51	1329509.84992137	340	"27.4.aE"	"Q4"
1	52	6249605.11860605	340	"27.4.aE"	"Q4"
1	53	4377015.55981256	340	"27.4.aE"	"Q4"
1	54	1913650.49057903	340	"27.4.aE"	"Q4"
1	55	5574341.98065549	340	"27.4.aE"	"Q4"
1	56	1761085.6163999	340	"27.4.aE"	"Q4"
1	57	3821849.83104347	340	"27.4.aE"	"Q4"
1	58	2428284.29603334	340	"27.4.aE"	"Q4"
1	59	4756085.36946903	340	"27.4.aE"	"Q4"
1	60	4924986.86072241	340	"27.4.aE"	"Q4"
1	61	3852892.29809794	340	"27.4.aE"	"Q4"
1	62	2734611.40666095	340	"27.4.aE"	"Q4"
1	63	5217975.88135354	340	"27.4.aE"	"Q4"
1	64	2579446.99659171	340	"27.4.aE"	"Q4"
1	65	3545889.65768114	340	"27.4.aE"	"Q4"
1	66	1045451.12284273	340	"27.4.aE"	"Q4"
1	67	4708248.42719494	340	"27.4.aE"	"Q4"
1	68	1640814.23138266	340	"27.4.aE"	"Q4"
1	69	2458155.60478382	340	"27.4.aE"	"Q4"
1	70	1891026.80475012	340	"27.4.aE"	"Q4"
1	71	3987134.20634602	340	"27.4.aE"	"Q4"
1	72	4703545.868171	340	"27.4.aE"	"Q4"
1	73	1609548.11705062	340	"27.4.aE"	"Q4"
1	74	2060231.12434806	340	"27.4.aE"	"Q4"
1	75	2462379.06278251	340	"27.4.aE"	"Q4"
1	76	2363561.61852761	340	"27.4.aE"	"Q4"
1	77	3030226.66489176	340	"27.4.aE"	"Q4"
1	78	1459198.34746631	340	"27.4.aE"	"Q4"
1	79	2860614.76079117	340	"27.4.aE"	"Q4"
1	80	5028738.43735053	340	"27.4.aE"	"Q4"
1	81	1734402.77638185	340	"27.4.aE"	"Q4"
1	82	2536297.96673048	340	"27.4.aE"	"Q4"
1	83	2661503.92511212	340	"27.4.aE"	"Q4"
1	84	1046399.51442991	340	"27.4.aE"	"Q4"
1	85	2311783.5560766	340	"27.4.aE"	"Q4"
1	86	1233824.18648097	340	"27.4.aE"	"Q4"
1	87	2836059.15156544	340	"27.4.aE"	"Q4"
1	88	2369406.91578411	340	"27.4.aE"	"Q4"
1	89	1904477.9343406	340	"27.4.aE"	"Q4"
1	90	1779610.19003572	340	"27.4.aE"	"Q4"
1	91	2569910.06850834	340	"27.4.aE"	"Q4"
1	92	2245560.59429316	340	"27.4.aE"	"Q4"
1	93	1887921.53195507	340	"27.4.aE"	"Q4"
1	94	2187854.55944833	340	"27.4.aE"	"Q4"
1	95	2297483.34925809	340	"27.4.aE"	"Q4"
1	96	2701036.3234862	340	"27.4.aE"	"Q4"
1	97	5601483.61864555	340	"27.4.aE"	"Q4"
1	98	3374969.85459825	340	"27.4.aE"	"Q4"
1	99	5858244.30781628	340	"27.4.aE"	"Q4"
1	100	2086582.74667203	340	"27.4.aE"	"Q4"
1	101	5393511.61182124	340	"27.4.aE"	"Q4"
1	102	4241126.06134311	340	"27.4.aE"	"Q4"
1	103	4491614.79617236	340	"27.4.aE"	"Q4"
1	104	3059996.50337479	340	"27.4.aE"	"Q4"
1	105	2981732.47755684	340	"27.4.aE"	"Q4"
1	106	3189409.00838277	340	"27.4.aE"	"Q4"
1	107	2058616.06316509	340	"27.4.aE"	"Q4"
1	108	1725650.97471173	340	"27.4.aE"	"Q4"
1	109	4429739.85494984	340	"27.4.aE"	"Q4"
