"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
1	1	24.261932375009	"27.4.aE"	"Q4"
2	1	25.480163278419	"27.4.aE"	"Q4"
3	1	26.371915924698	"27.4.aE"	"Q4"
4	1	27.081022343682	"27.4.aE"	"Q4"
5	1	27.672440866221	"27.4.aE"	"Q4"
6	1	28.181310357734	"27.4.aE"	"Q4"
7	1	28.628881420027	"27.4.aE"	"Q4"
8	1	29.029026702467	"27.4.aE"	"Q4"
9	1	29.391323321067	"27.4.aE"	"Q4"
10	1	29.7226719062	"27.4.aE"	"Q4"
11	1	30.028215656108	"27.4.aE"	"Q4"
12	1	30.311894558153	"27.4.aE"	"Q4"
13	1	30.576796226575	"27.4.aE"	"Q4"
14	1	30.825387029049	"27.4.aE"	"Q4"
15	1	31.059669517971	"27.4.aE"	"Q4"
1	2	24.114017237154	"27.4.aE"	"Q4"
2	2	25.354109142046	"27.4.aE"	"Q4"
3	2	26.262755372471	"27.4.aE"	"Q4"
4	2	26.985814121142	"27.4.aE"	"Q4"
5	2	27.589211603274	"27.4.aE"	"Q4"
6	2	28.108631877787	"27.4.aE"	"Q4"
7	2	28.565665852183	"27.4.aE"	"Q4"
8	2	28.974414162847	"27.4.aE"	"Q4"
9	2	29.344614804535	"27.4.aE"	"Q4"
10	2	29.683286542736	"27.4.aE"	"Q4"
11	2	29.995662103867	"27.4.aE"	"Q4"
12	2	30.285751085436	"27.4.aE"	"Q4"
13	2	30.556696387653	"27.4.aE"	"Q4"
14	2	30.811009081203	"27.4.aE"	"Q4"
15	2	31.050728421922	"27.4.aE"	"Q4"
1	3	24.211643675782	"27.4.aE"	"Q4"
2	3	25.423036260585	"27.4.aE"	"Q4"
3	3	26.309655506382	"27.4.aE"	"Q4"
4	3	27.014605656695	"27.4.aE"	"Q4"
5	3	27.602508752363	"27.4.aE"	"Q4"
6	3	28.108318634785	"27.4.aE"	"Q4"
7	3	28.553172487804	"27.4.aE"	"Q4"
8	3	28.950868082455	"27.4.aE"	"Q4"
9	3	29.310930341256	"27.4.aE"	"Q4"
10	3	29.640221969259	"27.4.aE"	"Q4"
11	3	29.94385768583	"27.4.aE"	"Q4"
12	3	30.225755514631	"27.4.aE"	"Q4"
13	3	30.488985752378	"27.4.aE"	"Q4"
14	3	30.736000856065	"27.4.aE"	"Q4"
15	3	30.968792025045	"27.4.aE"	"Q4"
1	4	24.52492733558	"27.4.aE"	"Q4"
2	4	25.781138536074	"27.4.aE"	"Q4"
3	4	26.70144388124	"27.4.aE"	"Q4"
4	4	27.433692007796	"27.4.aE"	"Q4"
5	4	28.044699781805	"27.4.aE"	"Q4"
6	4	28.570629660708	"27.4.aE"	"Q4"
7	4	29.033360204591	"27.4.aE"	"Q4"
8	4	29.44717891662	"27.4.aE"	"Q4"
9	4	29.821952248905	"27.4.aE"	"Q4"
10	4	30.16479117619	"27.4.aE"	"Q4"
11	4	30.480996917895	"27.4.aE"	"Q4"
12	4	30.774631379665	"27.4.aE"	"Q4"
13	4	31.048878337862	"27.4.aE"	"Q4"
14	4	31.306281429667	"27.4.aE"	"Q4"
15	4	31.548906289005	"27.4.aE"	"Q4"
1	5	24.435494284769	"27.4.aE"	"Q4"
2	5	25.736126818053	"27.4.aE"	"Q4"
3	5	26.69051828307	"27.4.aE"	"Q4"
4	5	27.450786596569	"27.4.aE"	"Q4"
5	5	28.085768928082	"27.4.aE"	"Q4"
6	5	28.632758407945	"27.4.aE"	"Q4"
7	5	29.114335927715	"27.4.aE"	"Q4"
8	5	29.545257699426	"27.4.aE"	"Q4"
9	5	29.935719866369	"27.4.aE"	"Q4"
10	5	30.293074847444	"27.4.aE"	"Q4"
11	5	30.622806414337	"27.4.aE"	"Q4"
12	5	30.929118122174	"27.4.aE"	"Q4"
13	5	31.215306045356	"27.4.aE"	"Q4"
14	5	31.484004475732	"27.4.aE"	"Q4"
15	5	31.737353370329	"27.4.aE"	"Q4"
1	6	24.061754443046	"27.4.aE"	"Q4"
2	6	25.306098609064	"27.4.aE"	"Q4"
3	6	26.218072903486	"27.4.aE"	"Q4"
4	6	26.943903596115	"27.4.aE"	"Q4"
5	6	27.549695838954	"27.4.aE"	"Q4"
6	6	28.071235690957	"27.4.aE"	"Q4"
7	6	28.530178297382	"27.4.aE"	"Q4"
8	6	28.940667635369	"27.4.aE"	"Q4"
9	6	29.312472460966	"27.4.aE"	"Q4"
10	6	29.652634238964	"27.4.aE"	"Q4"
11	6	29.966402971119	"27.4.aE"	"Q4"
12	6	30.257801736642	"27.4.aE"	"Q4"
13	6	30.529984178371	"27.4.aE"	"Q4"
14	6	30.785470078802	"27.4.aE"	"Q4"
15	6	31.026305865639	"27.4.aE"	"Q4"
1	7	24.876773525216	"27.4.aE"	"Q4"
2	7	26.09778212458	"27.4.aE"	"Q4"
3	7	26.990751967442	"27.4.aE"	"Q4"
4	7	27.700351952233	"27.4.aE"	"Q4"
5	7	28.291869630382	"27.4.aE"	"Q4"
6	7	28.800602035924	"27.4.aE"	"Q4"
7	7	29.247885674193	"27.4.aE"	"Q4"
8	7	29.647643911115	"27.4.aE"	"Q4"
9	7	30.009485672426	"27.4.aE"	"Q4"
10	7	30.340332472987	"27.4.aE"	"Q4"
11	7	30.64534171907	"27.4.aE"	"Q4"
12	7	30.92846334074	"27.4.aE"	"Q4"
13	7	31.19279206989	"27.4.aE"	"Q4"
14	7	31.44079946403	"27.4.aE"	"Q4"
15	7	31.674491916485	"27.4.aE"	"Q4"
1	8	24.169095681712	"27.4.aE"	"Q4"
2	8	25.42617600413	"27.4.aE"	"Q4"
3	8	26.347705647554	"27.4.aE"	"Q4"
4	8	27.081270083873	"27.4.aE"	"Q4"
5	8	27.693602000889	"27.4.aE"	"Q4"
6	8	28.220832528498	"27.4.aE"	"Q4"
7	8	28.684828248001	"27.4.aE"	"Q4"
8	8	29.099872679764	"27.4.aE"	"Q4"
9	8	29.475831821161	"27.4.aE"	"Q4"
10	8	29.819817779255	"27.4.aE"	"Q4"
11	8	30.137133592163	"27.4.aE"	"Q4"
12	8	30.431843235287	"27.4.aE"	"Q4"
13	8	30.707132591743	"27.4.aE"	"Q4"
14	8	30.965547338328	"27.4.aE"	"Q4"
15	8	31.209155033594	"27.4.aE"	"Q4"
1	9	23.555005310238	"27.4.aE"	"Q4"
2	9	24.721290460358	"27.4.aE"	"Q4"
3	9	25.574536476787	"27.4.aE"	"Q4"
4	9	26.252742843376	"27.4.aE"	"Q4"
5	9	26.81820501712	"27.4.aE"	"Q4"
6	9	27.304609642838	"27.4.aE"	"Q4"
7	9	27.732323322803	"27.4.aE"	"Q4"
8	9	28.114638456083	"27.4.aE"	"Q4"
9	9	28.460729686773	"27.4.aE"	"Q4"
10	9	28.777206449242	"27.4.aE"	"Q4"
11	9	29.068994105105	"27.4.aE"	"Q4"
12	9	29.339865210371	"27.4.aE"	"Q4"
13	9	29.592775771831	"27.4.aE"	"Q4"
14	9	29.830086737186	"27.4.aE"	"Q4"
15	9	30.053714843465	"27.4.aE"	"Q4"
1	10	24.911301953485	"27.4.aE"	"Q4"
2	10	26.166642764698	"27.4.aE"	"Q4"
3	10	27.085694404701	"27.4.aE"	"Q4"
4	10	27.816586651005	"27.4.aE"	"Q4"
