"Age"	"Iteration"	"MeanIndividualWeight"	"Stratum"	"Quarter"
1	1	0.117030419401	"27.4.aE"	"Q4"
2	1	0.134413865448	"27.4.aE"	"Q4"
3	1	0.148140900253	"27.4.aE"	"Q4"
4	1	0.159679531295	"27.4.aE"	"Q4"
5	1	0.169735018514	"27.4.aE"	"Q4"
6	1	0.178707154672	"27.4.aE"	"Q4"
7	1	0.186847068517	"27.4.aE"	"Q4"
8	1	0.194324029443	"27.4.aE"	"Q4"
9	1	0.201258176084	"27.4.aE"	"Q4"
10	1	0.207738214132	"27.4.aE"	"Q4"
11	1	0.213831720639	"27.4.aE"	"Q4"
12	1	0.219591499544	"27.4.aE"	"Q4"
13	1	0.225059687406	"27.4.aE"	"Q4"
14	1	0.230270508653	"27.4.aE"	"Q4"
15	1	0.235252184411	"27.4.aE"	"Q4"
1	2	0.114038222183	"27.4.aE"	"Q4"
2	2	0.131337255409	"27.4.aE"	"Q4"
3	2	0.145029362696	"27.4.aE"	"Q4"
4	2	0.156558225165	"27.4.aE"	"Q4"
5	2	0.16661872634	"27.4.aE"	"Q4"
6	2	0.175605341514	"27.4.aE"	"Q4"
7	2	0.183766147335	"27.4.aE"	"Q4"
8	2	0.191268519932	"27.4.aE"	"Q4"
9	2	0.198231355077	"27.4.aE"	"Q4"
10	2	0.204742506567	"27.4.aE"	"Q4"
11	2	0.210868947383	"27.4.aE"	"Q4"
12	2	0.216663041248	"27.4.aE"	"Q4"
13	2	0.222166596646	"27.4.aE"	"Q4"
14	2	0.227413588898	"27.4.aE"	"Q4"
15	2	0.232432047004	"27.4.aE"	"Q4"
1	3	0.113051424293	"27.4.aE"	"Q4"
2	3	0.129797119188	"27.4.aE"	"Q4"
3	3	0.143016524856	"27.4.aE"	"Q4"
4	3	0.154125977115	"27.4.aE"	"Q4"
5	3	0.163805743423	"27.4.aE"	"Q4"
6	3	0.172441376568	"27.4.aE"	"Q4"
7	3	0.18027502361	"27.4.aE"	"Q4"
8	3	0.187469879005	"27.4.aE"	"Q4"
9	3	0.194141756827	"27.4.aE"	"Q4"
10	3	0.200376161278	"27.4.aE"	"Q4"
11	3	0.206238224752	"27.4.aE"	"Q4"
12	3	0.211778836907	"27.4.aE"	"Q4"
13	3	0.217038603784	"27.4.aE"	"Q4"
14	3	0.222050504474	"27.4.aE"	"Q4"
15	3	0.226841731521	"27.4.aE"	"Q4"
1	4	0.116108700549	"27.4.aE"	"Q4"
2	4	0.133628210942	"27.4.aE"	"Q4"
3	4	0.147486621261	"27.4.aE"	"Q4"
4	4	0.159150451151	"27.4.aE"	"Q4"
5	4	0.169325237178	"27.4.aE"	"Q4"
6	4	0.178411355903	"27.4.aE"	"Q4"
7	4	0.186660520542	"27.4.aE"	"Q4"
8	4	0.194242518349	"27.4.aE"	"Q4"
9	4	0.20127793173	"27.4.aE"	"Q4"
10	4	0.207855843737	"27.4.aE"	"Q4"
11	4	0.214044152821	"27.4.aE"	"Q4"
12	4	0.219895938068	"27.4.aE"	"Q4"
13	4	0.225453573127	"27.4.aE"	"Q4"
14	4	0.230751488104	"27.4.aE"	"Q4"
15	4	0.235818083754	"27.4.aE"	"Q4"
1	5	0.116324249372	"27.4.aE"	"Q4"
2	5	0.134750116257	"27.4.aE"	"Q4"
3	5	0.149405828668	"27.4.aE"	"Q4"
4	5	0.161790515578	"27.4.aE"	"Q4"
5	5	0.172628634378	"27.4.aE"	"Q4"
6	5	0.182332696497	"27.4.aE"	"Q4"
7	5	0.191162759219	"27.4.aE"	"Q4"
8	5	0.19929464598	"27.4.aE"	"Q4"
9	5	0.206853477483	"27.4.aE"	"Q4"
10	5	0.213931853808	"27.4.aE"	"Q4"
11	5	0.220600466347	"27.4.aE"	"Q4"
