"Age"	"Iteration"	"CatchAtAge"	"Length"	"Stratum"	"Quarter"
1	1	2013057.87029603	340	"27.4.aE"	"Q4"
1	2	5468257.77111469	340	"27.4.aE"	"Q4"
1	3	2421331.95258276	340	"27.4.aE"	"Q4"
1	4	2350805.84697718	340	"27.4.aE"	"Q4"
1	5	1503618.27451522	340	"27.4.aE"	"Q4"
1	6	4266992.64537595	340	"27.4.aE"	"Q4"
1	7	2558117.71256849	340	"27.4.aE"	"Q4"
1	8	2998991.32383617	340	"27.4.aE"	"Q4"
1	9	4634453.15820845	340	"27.4.aE"	"Q4"
1	10	6544385.69275273	340	"27.4.aE"	"Q4"
1	11	3468777.15490717	340	"27.4.aE"	"Q4"
1	12	3306974.23712262	340	"27.4.aE"	"Q4"
1	13	3665981.61093558	340	"27.4.aE"	"Q4"
1	14	6503029.11489448	340	"27.4.aE"	"Q4"
1	15	2488438.35197531	340	"27.4.aE"	"Q4"
1	16	3127369.4659951	340	"27.4.aE"	"Q4"
1	17	7600872.89039428	340	"27.4.aE"	"Q4"
1	18	3782957.91119016	340	"27.4.aE"	"Q4"
1	19	4228472.83970635	340	"27.4.aE"	"Q4"
1	20	2545229.68641546	340	"27.4.aE"	"Q4"
1	21	7700640.74918832	340	"27.4.aE"	"Q4"
1	22	1559518.53470044	340	"27.4.aE"	"Q4"
1	23	2599292.59981996	340	"27.4.aE"	"Q4"
1	24	2113821.35731386	340	"27.4.aE"	"Q4"
1	25	6007936.09286396	340	"27.4.aE"	"Q4"
1	26	2698594.63934933	340	"27.4.aE"	"Q4"
1	27	1549977.342233	340	"27.4.aE"	"Q4"
1	28	4502954.84729584	340	"27.4.aE"	"Q4"
1	29	4945697.37921698	340	"27.4.aE"	"Q4"
1	30	6350308.59748867	340	"27.4.aE"	"Q4"
1	31	1216060.8206625	340	"27.4.aE"	"Q4"
1	32	4484482.38402951	340	"27.4.aE"	"Q4"
1	33	4352170.46537163	340	"27.4.aE"	"Q4"
1	34	1698138.3153632	340	"27.4.aE"	"Q4"
1	35	6875276.9624522	340	"27.4.aE"	"Q4"
1	36	3672287.69412955	340	"27.4.aE"	"Q4"
1	37	2058106.71846261	340	"27.4.aE"	"Q4"
1	38	1846225.20525687	340	"27.4.aE"	"Q4"
1	39	3175703.03520123	340	"27.4.aE"	"Q4"
1	40	3657139.9836515	340	"27.4.aE"	"Q4"
1	41	4632069.25555669	340	"27.4.aE"	"Q4"
1	42	3741611.77373734	340	"27.4.aE"	"Q4"
1	43	3303075.4615021	340	"27.4.aE"	"Q4"
1	44	3529004.02642503	340	"27.4.aE"	"Q4"
1	45	6430085.96880853	340	"27.4.aE"	"Q4"
