"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
1	1	24.988342524866	"27.4.aE"	"Q4"
2	1	26.244542638763	"27.4.aE"	"Q4"
3	1	27.164133458381	"27.4.aE"	"Q4"
4	1	27.895402186334	"27.4.aE"	"Q4"
5	1	28.505321872291	"27.4.aE"	"Q4"
6	1	29.03012231542	"27.4.aE"	"Q4"
7	1	29.491714401295	"27.4.aE"	"Q4"
8	1	29.904402112101	"27.4.aE"	"Q4"
9	1	30.278060512828	"27.4.aE"	"Q4"
10	1	30.619805026758	"27.4.aE"	"Q4"
11	1	30.934939016125	"27.4.aE"	"Q4"
12	1	31.227525214434	"27.4.aE"	"Q4"
13	1	31.500747463997	"27.4.aE"	"Q4"
14	1	0	"27.4.aE"	"Q4"
15	1	0	"27.4.aE"	"Q4"
1	2	24.138365691248	"27.4.aE"	"Q4"
2	2	25.400106292661	"27.4.aE"	"Q4"
3	2	26.325245774078	"27.4.aE"	"Q4"
4	2	27.061796459494	"27.4.aE"	"Q4"
5	2	27.676695479112	"27.4.aE"	"Q4"
6	2	28.206189337566	"27.4.aE"	"Q4"
7	2	28.672216736487	"27.4.aE"	"Q4"
8	2	29.089109569975	"27.4.aE"	"Q4"
9	2	29.466768004036	"27.4.aE"	"Q4"
10	2	29.812329257526	"27.4.aE"	"Q4"
11	2	30.131115413629	"27.4.aE"	"Q4"
12	2	30.427205265535	"27.4.aE"	"Q4"
13	2	30.703796472006	"27.4.aE"	"Q4"
14	2	0	"27.4.aE"	"Q4"
15	2	31.208223943381	"27.4.aE"	"Q4"
1	3	24.600020037643	"27.4.aE"	"Q4"
2	3	25.854939302794	"27.4.aE"	"Q4"
3	3	26.77414308442	"27.4.aE"	"Q4"
4	3	27.505424489461	"27.4.aE"	"Q4"
5	3	28.115566086104	"27.4.aE"	"Q4"
6	3	28.640708003082	"27.4.aE"	"Q4"
7	3	29.102713446554	"27.4.aE"	"Q4"
8	3	29.515858877708	"27.4.aE"	"Q4"
9	3	29.890002516639	"27.4.aE"	"Q4"
