"Age"	"Iteration"	"MeanIndividualWeight"	"Stratum"	"Quarter"
1	1	0.121510246708	"27.4.aE"	"Q4"
2	1	0.139511134335	"27.4.aE"	"Q4"
3	1	0.153721607958	"27.4.aE"	"Q4"
4	1	0.165664061952	"27.4.aE"	"Q4"
5	1	0.176069711854	"27.4.aE"	"Q4"
6	1	0.185352989574	"27.4.aE"	"Q4"
7	1	0.19377418152	"27.4.aE"	"Q4"
8	1	0.201508708118	"27.4.aE"	"Q4"
9	1	0.208681060453	"27.4.aE"	"Q4"
10	1	0.21538314927	"27.4.aE"	"Q4"
11	1	0.221684987384	"27.4.aE"	"Q4"
12	1	0.227641277849	"27.4.aE"	"Q4"
13	1	0.233295669649	"27.4.aE"	"Q4"
14	1	0	"27.4.aE"	"Q4"
15	1	0	"27.4.aE"	"Q4"
1	2	0.11035335041	"27.4.aE"	"Q4"
2	2	0.12729741331	"27.4.aE"	"Q4"
3	2	0.140726753011	"27.4.aE"	"Q4"
4	2	0.152045604118	"27.4.aE"	"Q4"
5	2	0.161930609156	"27.4.aE"	"Q4"
6	2	0.170766209838	"27.4.aE"	"Q4"
7	2	0.178794337072	"27.4.aE"	"Q4"
8	2	0.186178313978	"27.4.aE"	"Q4"
9	2	0.193034214816	"27.4.aE"	"Q4"
10	2	0.199447846075	"27.4.aE"	"Q4"
11	2	0.205484645666	"27.4.aE"	"Q4"
12	2	0.211195795259	"27.4.aE"	"Q4"
13	2	0.216622172818	"27.4.aE"	"Q4"
14	2	0	"27.4.aE"	"Q4"
15	2	0.226747719975	"27.4.aE"	"Q4"
1	3	0.124026402239	"27.4.aE"	"Q4"
2	3	0.143029714942	"27.4.aE"	"Q4"
3	3	0.158087579417	"27.4.aE"	"Q4"
4	3	0.170776817246	"27.4.aE"	"Q4"
5	3	0.181857086843	"27.4.aE"	"Q4"
6	3	0.191759933073	"27.4.aE"	"Q4"
7	3	0.200756896809	"27.4.aE"	"Q4"
8	3	0.209031271944	"27.4.aE"	"Q4"
9	3	0.21671331472	"27.4.aE"	"Q4"
10	3	0.22389930811	"27.4.aE"	"Q4"
11	3	0.230662674584	"27.4.aE"	"Q4"
12	3	0.237060837294	"27.4.aE"	"Q4"
13	3	0.243139656569	"27.4.aE"	"Q4"
14	3	0	"27.4.aE"	"Q4"
15	3	0.254481856451	"27.4.aE"	"Q4"
1	4	0.122382955837	"27.4.aE"	"Q4"
2	4	0.140362583378	"27.4.aE"	"Q4"
3	4	0.15454341853	"27.4.aE"	"Q4"
4	4	0.166453051701	"27.4.aE"	"Q4"
5	4	0.176824653365	"27.4.aE"	"Q4"
6	4	0.186073531034	"27.4.aE"	"Q4"
7	4	0.194460402723	"27.4.aE"	"Q4"
8	4	0.202160912501	"27.4.aE"	"Q4"
9	4	0.209299668854	"27.4.aE"	"Q4"
10	4	0.215968642295	"27.4.aE"	"Q4"
11	4	0.222237872817	"27.4.aE"	"Q4"
12	4	0.228162071729	"27.4.aE"	"Q4"
13	4	0.233784885135	"27.4.aE"	"Q4"
14	4	0	"27.4.aE"	"Q4"
15	4	0.244261896242	"27.4.aE"	"Q4"
1	5	0.126380836091	"27.4.aE"	"Q4"
2	5	0.146200660722	"27.4.aE"	"Q4"
3	5	0.161947002266	"27.4.aE"	"Q4"
4	5	0.175242108614	"27.4.aE"	"Q4"
5	5	0.186869202113	"27.4.aE"	"Q4"
6	5	0.197273939069	"27.4.aE"	"Q4"
7	5	0.206737110435	"27.4.aE"	"Q4"
8	5	0.215448465419	"27.4.aE"	"Q4"
9	5	0.223542977902	"27.4.aE"	"Q4"
10	5	0.231120503092	"27.4.aE"	"Q4"
11	5	0.23825724565	"27.4.aE"	"Q4"
12	5	0.245012845852	"27.4.aE"	"Q4"
13	5	0.251434964794	"27.4.aE"	"Q4"
14	5	0	"27.4.aE"	"Q4"
15	5	0.263427053037	"27.4.aE"	"Q4"
1	6	0.124606532014	"27.4.aE"	"Q4"
2	6	0.143784287414	"27.4.aE"	"Q4"
3	6	0.158988022083	"27.4.aE"	"Q4"
4	6	0.17180490951	"27.4.aE"	"Q4"
5	6	0.182999908239	"27.4.aE"	"Q4"
6	6	0.193007708976	"27.4.aE"	"Q4"
7	6	0.202101900956	"27.4.aE"	"Q4"
8	6	0.21046719999	"27.4.aE"	"Q4"
9	6	0.218234896952	"27.4.aE"	"Q4"
10	6	0.225502055359	"27.4.aE"	"Q4"
11	6	0.232342703667	"27.4.aE"	"Q4"
12	6	0.238814746591	"27.4.aE"	"Q4"
13	6	0	"27.4.aE"	"Q4"
14	6	0	"27.4.aE"	"Q4"
15	6	0	"27.4.aE"	"Q4"
1	7	0.118417076277	"27.4.aE"	"Q4"
2	7	0.136117095211	"27.4.aE"	"Q4"
3	7	0.150103721629	"27.4.aE"	"Q4"
4	7	0.161866481993	"27.4.aE"	"Q4"
5	7	0.172121374531	"27.4.aE"	"Q4"
6	7	0.181274451452	"27.4.aE"	"Q4"
7	7	0.189580861129	"27.4.aE"	"Q4"
8	7	0.197212632237	"27.4.aE"	"Q4"
9	7	0.204291892501	"27.4.aE"	"Q4"
10	7	0.210908836283	"27.4.aE"	"Q4"
11	7	0	"27.4.aE"	"Q4"
12	7	0.223015659204	"27.4.aE"	"Q4"
13	7	0	"27.4.aE"	"Q4"
14	7	0	"27.4.aE"	"Q4"
15	7	0.239017173509	"27.4.aE"	"Q4"
1	8	0.114858421271	"27.4.aE"	"Q4"
2	8	0.132457434551	"27.4.aE"	"Q4"
