"Age"	"Iteration"	"CatchAtAge"	"Length"	"Stratum"	"Quarter"
1	1	3936862.11153625	340	"27.4.aE"	"Q4"
1	2	5076312.20503334	340	"27.4.aE"	"Q4"
1	3	2718184.59747731	340	"27.4.aE"	"Q4"
1	4	4659268.56575437	340	"27.4.aE"	"Q4"
1	5	7829771.85174978	340	"27.4.aE"	"Q4"
1	6	2859093.93094432	340	"27.4.aE"	"Q4"
1	7	4334602.1118422	340	"27.4.aE"	"Q4"
1	8	3289306.05257101	340	"27.4.aE"	"Q4"
1	9	2024641.842014	340	"27.4.aE"	"Q4"
1	10	2978870.21346238	340	"27.4.aE"	"Q4"
1	11	2088427.42571541	340	"27.4.aE"	"Q4"
1	12	1078738.18775499	340	"27.4.aE"	"Q4"
1	13	3225269.95088166	340	"27.4.aE"	"Q4"
1	14	2439872.50062883	340	"27.4.aE"	"Q4"
1	15	1519123.14662335	340	"27.4.aE"	"Q4"
1	16	3072498.85693514	340	"27.4.aE"	"Q4"
1	17	2225879.93430123	340	"27.4.aE"	"Q4"
1	18	4360641.68902611	340	"27.4.aE"	"Q4"
1	19	4199303.23267887	340	"27.4.aE"	"Q4"
1	20	6979240.29883852	340	"27.4.aE"	"Q4"
1	21	2861859.09813388	340	"27.4.aE"	"Q4"
1	22	4180321.12639364	340	"27.4.aE"	"Q4"
1	23	1773623.6324589	340	"27.4.aE"	"Q4"
1	24	3844722.56862256	340	"27.4.aE"	"Q4"
1	25	4227776.33391408	340	"27.4.aE"	"Q4"
1	26	3262021.26387696	340	"27.4.aE"	"Q4"
1	27	3698746.68793779	340	"27.4.aE"	"Q4"
1	28	2494629.0312354	340	"27.4.aE"	"Q4"
1	29	3666487.24446678	340	"27.4.aE"	"Q4"
1	30	7053799.6694257	340	"27.4.aE"	"Q4"
1	31	7217742.63242658	340	"27.4.aE"	"Q4"
1	32	2494162.45195651	340	"27.4.aE"	"Q4"
1	33	3552467.13780875	340	"27.4.aE"	"Q4"
1	34	1687767.57582849	340	"27.4.aE"	"Q4"
1	35	1387487.2653727	340	"27.4.aE"	"Q4"
1	36	2073719.11184263	340	"27.4.aE"	"Q4"
1	37	2573004.49414884	340	"27.4.aE"	"Q4"
1	38	649605.063582122	340	"27.4.aE"	"Q4"
1	39	2632196.55798899	340	"27.4.aE"	"Q4"
1	40	3171925.00209913	340	"27.4.aE"	"Q4"
1	41	3107602.59509305	340	"27.4.aE"	"Q4"
1	42	3457357.94885658	340	"27.4.aE"	"Q4"
1	43	1835928.51462136	340	"27.4.aE"	"Q4"
1	44	2967815.38889289	340	"27.4.aE"	"Q4"
1	45	1747465.57803191	340	"27.4.aE"	"Q4"
1	46	4117372.02897073	340	"27.4.aE"	"Q4"
1	47	2919314.98715904	340	"27.4.aE"	"Q4"
1	48	5583268.68888647	340	"27.4.aE"	"Q4"
1	49	2616828.16422265	340	"27.4.aE"	"Q4"
1	50	7215895.37644885	340	"27.4.aE"	"Q4"
1	51	6403188.0473651	340	"27.4.aE"	"Q4"
1	52	1268109.35896091	340	"27.4.aE"	"Q4"
1	53	8144634.14824923	340	"27.4.aE"	"Q4"
1	54	5922922.58484684	340	"27.4.aE"	"Q4"
1	55	2605968.17980229	340	"27.4.aE"	"Q4"
1	56	6159479.48647042	340	"27.4.aE"	"Q4"
1	57	5618449.63963693	340	"27.4.aE"	"Q4"
1	58	3425294.19352178	340	"27.4.aE"	"Q4"
1	59	3567061.94032875	340	"27.4.aE"	"Q4"
1	60	1959266.75776455	340	"27.4.aE"	"Q4"
1	61	2221030.5376184	340	"27.4.aE"	"Q4"
1	62	2967216.9868233	340	"27.4.aE"	"Q4"
1	63	2246453.30920462	340	"27.4.aE"	"Q4"
1	64	2189325.76418522	340	"27.4.aE"	"Q4"
1	65	1924278.84000155	340	"27.4.aE"	"Q4"
1	66	3210042.48870956	340	"27.4.aE"	"Q4"
1	67	3598179.33121422	340	"27.4.aE"	"Q4"
1	68	775819.437819857	340	"27.4.aE"	"Q4"
