"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
1	1	22.750925905531	"27.4.aE"	"Q4"
2	1	25.208982645474	"27.4.aE"	"Q4"
3	1	26.557225296663	"27.4.aE"	"Q4"
4	1	27.326290384146	"27.4.aE"	"Q4"
5	1	27.77348173159	"27.4.aE"	"Q4"
6	1	28.036200038488	"27.4.aE"	"Q4"
7	1	28.191436397924	"27.4.aE"	"Q4"
8	1	28.283468351247	"27.4.aE"	"Q4"
9	1	28.33813539629	"27.4.aE"	"Q4"
10	1	28.370644726135	"27.4.aE"	"Q4"
11	1	0	"27.4.aE"	"Q4"
12	1	0	"27.4.aE"	"Q4"
13	1	28.408365016674	"27.4.aE"	"Q4"
1	2	23.578265610593	"27.4.aE"	"Q4"
2	2	26.140882920543	"27.4.aE"	"Q4"
3	2	27.53948356724	"27.4.aE"	"Q4"
4	2	28.332666546245	"27.4.aE"	"Q4"
5	2	28.791001753471	"27.4.aE"	"Q4"
6	2	29.058504533317	"27.4.aE"	"Q4"
7	2	29.215501893989	"27.4.aE"	"Q4"
8	2	29.30793764121	"27.4.aE"	"Q4"
9	2	29.36246193435	"27.4.aE"	"Q4"
10	2	29.394658485386	"27.4.aE"	"Q4"
11	2	0	"27.4.aE"	"Q4"
12	2	0	"27.4.aE"	"Q4"
13	2	29.431576014173	"27.4.aE"	"Q4"
1	3	23.620610862017	"27.4.aE"	"Q4"
2	3	26.181357116781	"27.4.aE"	"Q4"
3	3	27.592225266904	"27.4.aE"	"Q4"
4	3	28.400903753586	"27.4.aE"	"Q4"
5	3	28.873512713467	"27.4.aE"	"Q4"
6	3	29.152616935668	"27.4.aE"	"Q4"
7	3	29.318418379044	"27.4.aE"	"Q4"
8	3	29.417248357124	"27.4.aE"	"Q4"
9	3	29.476276130917	"27.4.aE"	"Q4"
10	3	29.511573086008	"27.4.aE"	"Q4"
11	3	0	"27.4.aE"	"Q4"
12	3	0	"27.4.aE"	"Q4"
13	3	29.552909955555	"27.4.aE"	"Q4"
1	4	23.453856969431	"27.4.aE"	"Q4"
2	4	26.127236695245	"27.4.aE"	"Q4"
3	4	27.596736713414	"27.4.aE"	"Q4"
4	4	28.43500122306	"27.4.aE"	"Q4"
5	4	28.921934280658	"27.4.aE"	"Q4"
6	4	29.207543076891	"27.4.aE"	"Q4"
7	4	29.375978724052	"27.4.aE"	"Q4"
8	4	29.475622854657	"27.4.aE"	"Q4"
9	4	29.534678148509	"27.4.aE"	"Q4"
10	4	29.569715360266	"27.4.aE"	"Q4"
11	4	0	"27.4.aE"	"Q4"
12	4	0	"27.4.aE"	"Q4"
13	4	29.610207149675	"27.4.aE"	"Q4"
1	5	23.454653520514	"27.4.aE"	"Q4"
2	5	25.894781415935	"27.4.aE"	"Q4"
3	5	27.254909043102	"27.4.aE"	"Q4"
4	5	28.045985297725	"27.4.aE"	"Q4"
5	5	28.515915794521	"27.4.aE"	"Q4"
6	5	28.798306533348	"27.4.aE"	"Q4"
7	5	28.969122178862	"27.4.aE"	"Q4"
8	5	29.072847613322	"27.4.aE"	"Q4"
9	5	29.135979041053	"27.4.aE"	"Q4"
10	5	29.17445680804	"27.4.aE"	"Q4"
11	5	0	"27.4.aE"	"Q4"
12	5	0	"27.4.aE"	"Q4"
13	5	29.220998564749	"27.4.aE"	"Q4"
1	6	22.931437213346	"27.4.aE"	"Q4"
2	6	25.396559428708	"27.4.aE"	"Q4"
3	6	26.76702380221	"27.4.aE"	"Q4"
4	6	27.56071812044	"27.4.aE"	"Q4"
5	6	28.029777436751	"27.4.aE"	"Q4"
6	6	28.310044086595	"27.4.aE"	"Q4"
7	6	28.478555352898	"27.4.aE"	"Q4"
8	6	28.580243919483	"27.4.aE"	"Q4"
9	6	28.641741215667	"27.4.aE"	"Q4"
10	6	28.678980647285	"27.4.aE"	"Q4"
11	6	0	"27.4.aE"	"Q4"
12	6	0	"27.4.aE"	"Q4"
13	6	28.723529767576	"27.4.aE"	"Q4"
1	7	23.600571825526	"27.4.aE"	"Q4"
2	7	26.092839545569	"27.4.aE"	"Q4"
3	7	27.450356314753	"27.4.aE"	"Q4"
4	7	28.219491502802	"27.4.aE"	"Q4"
5	7	28.663716936741	"27.4.aE"	"Q4"
6	7	28.92292783412	"27.4.aE"	"Q4"
7	7	29.075047650069	"27.4.aE"	"Q4"
8	7	29.164612679386	"27.4.aE"	"Q4"
9	7	29.217446857041	"27.4.aE"	"Q4"
10	7	29.248648191742	"27.4.aE"	"Q4"
11	7	0	"27.4.aE"	"Q4"
12	7	0	"27.4.aE"	"Q4"
13	7	29.284431204463	"27.4.aE"	"Q4"
1	8	23.031861713852	"27.4.aE"	"Q4"
2	8	25.469771477278	"27.4.aE"	"Q4"
3	8	26.811118743878	"27.4.aE"	"Q4"
4	8	27.579555715888	"27.4.aE"	"Q4"
5	8	28.028608357448	"27.4.aE"	"Q4"
6	8	28.293840243513	"27.4.aE"	"Q4"
7	8	28.451445077035	"27.4.aE"	"Q4"
8	8	28.545423006123	"27.4.aE"	"Q4"
9	8	28.60157560544	"27.4.aE"	"Q4"
10	8	28.635167868002	"27.4.aE"	"Q4"
11	8	28.655278290508	"27.4.aE"	"Q4"
12	8	0	"27.4.aE"	"Q4"
13	8	28.674538364886	"27.4.aE"	"Q4"
1	9	23.561140222323	"27.4.aE"	"Q4"
2	9	25.973099173804	"27.4.aE"	"Q4"
3	9	27.324526147885	"27.4.aE"	"Q4"
4	9	28.11559917517	"27.4.aE"	"Q4"
5	9	28.588886518392	"27.4.aE"	"Q4"
6	9	28.875457110867	"27.4.aE"	"Q4"
7	9	29.050172151488	"27.4.aE"	"Q4"
8	9	29.157126615264	"27.4.aE"	"Q4"
9	9	29.222761015072	"27.4.aE"	"Q4"
10	9	29.263098598154	"27.4.aE"	"Q4"
11	9	29.287911777821	"27.4.aE"	"Q4"
12	9	0	"27.4.aE"	"Q4"
13	9	29.31258662955	"27.4.aE"	"Q4"
1	10	23.16518684717	"27.4.aE"	"Q4"
2	10	25.592679655911	"27.4.aE"	"Q4"
3	10	26.954344740369	"27.4.aE"	"Q4"
4	10	27.75165323465	"27.4.aE"	"Q4"
5	10	28.22861695667	"27.4.aE"	"Q4"
6	10	28.517313140401	"27.4.aE"	"Q4"
7	10	28.693238583978	"27.4.aE"	"Q4"
8	10	28.800872643952	"27.4.aE"	"Q4"
9	10	28.86688301904	"27.4.aE"	"Q4"
10	10	28.90742512716	"27.4.aE"	"Q4"
11	10	28.932347293131	"27.4.aE"	"Q4"
12	10	28.947675845131	"27.4.aE"	"Q4"
13	10	28.957106920098	"27.4.aE"	"Q4"
