"Age"	"Iteration"	"MeanIndividualWeight"	"Stratum"	"Quarter"
1	1	0.0931183876318	"27.4.aE"	"Q4"
2	1	0.123856195622	"27.4.aE"	"Q4"
3	1	0.143162719537	"27.4.aE"	"Q4"
4	1	0.154988958761	"27.4.aE"	"Q4"
5	1	0.162144156899	"27.4.aE"	"Q4"
6	1	0.166444593456	"27.4.aE"	"Q4"
7	1	0.16901962798	"27.4.aE"	"Q4"
8	1	0.170558209591	"27.4.aE"	"Q4"
9	1	0.171476358621	"27.4.aE"	"Q4"
10	1	0.172023859805	"27.4.aE"	"Q4"
11	1	0	"27.4.aE"	"Q4"
12	1	0	"27.4.aE"	"Q4"
13	1	0.172660521974	"27.4.aE"	"Q4"
1	2	0.103407516481	"27.4.aE"	"Q4"
2	2	0.137539041059	"27.4.aE"	"Q4"
3	2	0.158855583479	"27.4.aE"	"Q4"
4	2	0.171827886798	"27.4.aE"	"Q4"
5	2	0.17962240899	"27.4.aE"	"Q4"
6	2	0.184274050821	"27.4.aE"	"Q4"
7	2	0.187039538279	"27.4.aE"	"Q4"
8	2	0.188680097692	"27.4.aE"	"Q4"
9	2	0.189652092213	"27.4.aE"	"Q4"
10	2	0.190227551942	"27.4.aE"	"Q4"
11	2	0	"27.4.aE"	"Q4"
12	2	0	"27.4.aE"	"Q4"
13	2	0.190888761447	"27.4.aE"	"Q4"
1	3	0.110248223273	"27.4.aE"	"Q4"
2	3	0.147675448259	"27.4.aE"	"Q4"
3	3	0.171410581971	"27.4.aE"	"Q4"
4	3	0.186064134392	"27.4.aE"	"Q4"
5	3	0.19499163461	"27.4.aE"	"Q4"
6	3	0.200391802837	"27.4.aE"	"Q4"
7	3	0.203645147362	"27.4.aE"	"Q4"
8	3	0.205600556777	"27.4.aE"	"Q4"
9	3	0.206774236534	"27.4.aE"	"Q4"
10	3	0.20747813333	"27.4.aE"	"Q4"
11	3	0	"27.4.aE"	"Q4"
12	3	0	"27.4.aE"	"Q4"
13	3	0.208304450242	"27.4.aE"	"Q4"
1	4	0.103169682676	"27.4.aE"	"Q4"
2	4	0.139436699667	"27.4.aE"	"Q4"
3	4	0.162440972652	"27.4.aE"	"Q4"
4	4	0.176588313564	"27.4.aE"	"Q4"
5	4	0.185157235481	"27.4.aE"	"Q4"
6	4	0.190305114323	"27.4.aE"	"Q4"
7	4	0.19338361988	"27.4.aE"	"Q4"
8	4	0.195219767886	"27.4.aE"	"Q4"
9	4	0.196313242962	"27.4.aE"	"Q4"
10	4	0.196963849708	"27.4.aE"	"Q4"
11	4	0	"27.4.aE"	"Q4"
12	4	0	"27.4.aE"	"Q4"
13	4	0.197717464069	"27.4.aE"	"Q4"
1	5	0.104456704441	"27.4.aE"	"Q4"
2	5	0.137923536216	"27.4.aE"	"Q4"
3	5	0.159246493382	"27.4.aE"	"Q4"
4	5	0.172569276986	"27.4.aE"	"Q4"
5	5	0.180812570081	"27.4.aE"	"Q4"
6	5	0.185885846847	"27.4.aE"	"Q4"
7	5	0.188998631127	"27.4.aE"	"Q4"
8	5	0.190905097564	"27.4.aE"	"Q4"
9	5	0.192071486756	"27.4.aE"	"Q4"
10	5	0.19278463071	"27.4.aE"	"Q4"
11	5	0	"27.4.aE"	"Q4"
12	5	0	"27.4.aE"	"Q4"
13	5	0.193649507508	"27.4.aE"	"Q4"
1	6	0.0983104346617	"27.4.aE"	"Q4"
2	6	0.130606333984	"27.4.aE"	"Q4"
3	6	0.151169544975	"27.4.aE"	"Q4"
4	6	0.163971859497	"27.4.aE"	"Q4"
5	6	0.171853764237	"27.4.aE"	"Q4"
6	6	0.17667693273	"27.4.aE"	"Q4"
7	6	0.179618160256	"27.4.aE"	"Q4"
8	6	0.181408126372	"27.4.aE"	"Q4"
9	6	0.18249615099	"27.4.aE"	"Q4"
10	6	0.183157026898	"27.4.aE"	"Q4"
11	6	0	"27.4.aE"	"Q4"
12	6	0	"27.4.aE"	"Q4"
13	6	0.183949636837	"27.4.aE"	"Q4"
1	7	0.106755173892	"27.4.aE"	"Q4"
2	7	0.141379066774	"27.4.aE"	"Q4"
3	7	0.162936744207	"27.4.aE"	"Q4"
4	7	0.176035486755	"27.4.aE"	"Q4"
5	7	0.183899692199	"27.4.aE"	"Q4"
6	7	0.18859104876	"27.4.aE"	"Q4"
7	7	0.191379658791	"27.4.aE"	"Q4"
8	7	0.193033856675	"27.4.aE"	"Q4"
9	7	0.194013957742	"27.4.aE"	"Q4"
10	7	0.194594257369	"27.4.aE"	"Q4"
11	7	0	"27.4.aE"	"Q4"
12	7	0	"27.4.aE"	"Q4"
13	7	0.195261141258	"27.4.aE"	"Q4"
1	8	0.0971177242084	"27.4.aE"	"Q4"
2	8	0.128483059983	"27.4.aE"	"Q4"
3	8	0.14820018094	"27.4.aE"	"Q4"
4	8	0.160319432826	"27.4.aE"	"Q4"
5	8	0.167686257551	"27.4.aE"	"Q4"
6	8	0.172137488822	"27.4.aE"	"Q4"
7	8	0.174817951629	"27.4.aE"	"Q4"
8	8	0.176428925727	"27.4.aE"	"Q4"
9	8	0.177396017752	"27.4.aE"	"Q4"
10	8	0.17797618247	"27.4.aE"	"Q4"
11	8	0.178324086035	"27.4.aE"	"Q4"
12	8	0	"27.4.aE"	"Q4"
13	8	0.178657686923	"27.4.aE"	"Q4"
1	9	0.107269724302	"27.4.aE"	"Q4"
2	9	0.140574144993	"27.4.aE"	"Q4"
3	9	0.16181534704	"27.4.aE"	"Q4"
4	9	0.175148369197	"27.4.aE"	"Q4"
5	9	0.183450689893	"27.4.aE"	"Q4"
6	9	0.188597746686	"27.4.aE"	"Q4"
7	9	0.191780602145	"27.4.aE"	"Q4"
8	9	0.193745874838	"27.4.aE"	"Q4"
9	9	0.194958248798	"27.4.aE"	"Q4"
10	9	0.195705750766	"27.4.aE"	"Q4"
11	9	0.196166476798	"27.4.aE"	"Q4"
12	9	0	"27.4.aE"	"Q4"
13	9	0.196625321683	"27.4.aE"	"Q4"
1	10	0.0998622127563	"27.4.aE"	"Q4"
2	10	0.131937464123	"27.4.aE"	"Q4"
3	10	0.152507691262	"27.4.aE"	"Q4"
4	10	0.16545371469	"27.4.aE"	"Q4"
5	10	0.173524780056	"27.4.aE"	"Q4"
6	10	0.17853055911	"27.4.aE"	"Q4"
7	10	0.181625942109	"27.4.aE"	"Q4"
8	10	0.183536627116	"27.4.aE"	"Q4"
9	10	0.184714781533	"27.4.aE"	"Q4"
10	10	0.185440779337	"27.4.aE"	"Q4"
11	10	0.185887974962	"27.4.aE"	"Q4"
12	10	0.186163369413	"27.4.aE"	"Q4"
13	10	0.186332939268	"27.4.aE"	"Q4"
1	11	0.10641185218	"27.4.aE"	"Q4"
2	11	0.141255885613	"27.4.aE"	"Q4"
3	11	0.16344260993	"27.4.aE"	"Q4"
4	11	0.177261541416	"27.4.aE"	"Q4"
5	11	0.185774484848	"27.4.aE"	"Q4"
6	11	0.190987453486	"27.4.aE"	"Q4"
7	11	0.19416877936	"27.4.aE"	"Q4"
8	11	0.196106378442	"27.4.aE"	"Q4"
9	11	0.197285081975	"27.4.aE"	"Q4"
10	11	0.198001615646	"27.4.aE"	"Q4"
11	11	0.198437009909	"27.4.aE"	"Q4"
12	11	0	"27.4.aE"	"Q4"
13	11	0.198862154823	"27.4.aE"	"Q4"
1	12	0.10825954703	"27.4.aE"	"Q4"
2	12	0.144788822344	"27.4.aE"	"Q4"
3	12	0.167736413818	"27.4.aE"	"Q4"
4	12	0.181759890631	"27.4.aE"	"Q4"
5	12	0.190214346102	"27.4.aE"	"Q4"
6	12	0.195274478894	"27.4.aE"	"Q4"
7	12	0.198290768558	"27.4.aE"	"Q4"
8	12	0.200084560019	"27.4.aE"	"Q4"
9	12	0.201149885568	"27.4.aE"	"Q4"
10	12	0.201782075867	"27.4.aE"	"Q4"
11	12	0.202157057704	"27.4.aE"	"Q4"
12	12	0	"27.4.aE"	"Q4"
13	12	0.202511248758	"27.4.aE"	"Q4"
1	13	0.0983447443259	"27.4.aE"	"Q4"
2	13	0.131513511025	"27.4.aE"	"Q4"
3	13	0.152466670115	"27.4.aE"	"Q4"
4	13	0.165354724506	"27.4.aE"	"Q4"
5	13	0.173178334563	"27.4.aE"	"Q4"
6	13	0.177894072234	"27.4.aE"	"Q4"
7	13	0.18072520393	"27.4.aE"	"Q4"
8	13	0.182420990935	"27.4.aE"	"Q4"
9	13	0.18343536442	"27.4.aE"	"Q4"
10	13	0.184041653252	"27.4.aE"	"Q4"
11	13	0.184403860209	"27.4.aE"	"Q4"
12	13	0.18462018807	"27.4.aE"	"Q4"
13	13	0.184749368206	"27.4.aE"	"Q4"
1	14	0.104340216798	"27.4.aE"	"Q4"
2	14	0.139263343868	"27.4.aE"	"Q4"
3	14	0.161380808983	"27.4.aE"	"Q4"
4	14	0.17503695948	"27.4.aE"	"Q4"
5	14	0.18336343004	"27.4.aE"	"Q4"
6	14	0.188405918764	"27.4.aE"	"Q4"
7	14	0.191447945202	"27.4.aE"	"Q4"
8	14	0.193279061507	"27.4.aE"	"Q4"
9	14	0.194379844424	"27.4.aE"	"Q4"
10	14	0.195041072488	"27.4.aE"	"Q4"
11	14	0.195438081767	"27.4.aE"	"Q4"
12	14	0.195676385272	"27.4.aE"	"Q4"
13	14	0.195819402591	"27.4.aE"	"Q4"
1	15	0.0982098583732	"27.4.aE"	"Q4"
2	15	0.13089798182	"27.4.aE"	"Q4"
3	15	0.15144488298	"27.4.aE"	"Q4"
4	15	0.164029839833	"27.4.aE"	"Q4"
5	15	0.171640348217	"27.4.aE"	"Q4"
6	15	0.176211218234	"27.4.aE"	"Q4"
7	15	0.178945938477	"27.4.aE"	"Q4"
8	15	0.180578484511	"27.4.aE"	"Q4"
9	15	0.181551807502	"27.4.aE"	"Q4"
10	15	0.182131661372	"27.4.aE"	"Q4"
11	15	0.182476952267	"27.4.aE"	"Q4"
12	15	0.182682511087	"27.4.aE"	"Q4"
13	15	0	"27.4.aE"	"Q4"
1	16	0.102954351217	"27.4.aE"	"Q4"
2	16	0.136529498775	"27.4.aE"	"Q4"
3	16	0.157518924683	"27.4.aE"	"Q4"
4	16	0.17032397023	"27.4.aE"	"Q4"
5	16	0.178042695153	"27.4.aE"	"Q4"
6	16	0.182665584494	"27.4.aE"	"Q4"
7	16	0.185424346159	"27.4.aE"	"Q4"
8	16	0.187067260187	"27.4.aE"	"Q4"
9	16	0.188044478077	"27.4.aE"	"Q4"
10	16	0.188625323196	"27.4.aE"	"Q4"
11	16	0.188970425491	"27.4.aE"	"Q4"
12	16	0.189175413308	"27.4.aE"	"Q4"
13	16	0	"27.4.aE"	"Q4"
1	17	0.0986230534338	"27.4.aE"	"Q4"
2	17	0.132287177752	"27.4.aE"	"Q4"
3	17	0.153625650967	"27.4.aE"	"Q4"
4	17	0.166783870233	"27.4.aE"	"Q4"
5	17	0.174788102824	"27.4.aE"	"Q4"
6	17	0.179621556692	"27.4.aE"	"Q4"
7	17	0.182528261893	"27.4.aE"	"Q4"
8	17	0.184272106887	"27.4.aE"	"Q4"
9	17	0.185316845149	"27.4.aE"	"Q4"
10	17	0.185942231477	"27.4.aE"	"Q4"
11	17	0.186316407805	"27.4.aE"	"Q4"
12	17	0.186540216757	"27.4.aE"	"Q4"
13	17	0.186674062015	"27.4.aE"	"Q4"
1	18	0.10756921031	"27.4.aE"	"Q4"
2	18	0.144593648748	"27.4.aE"	"Q4"
3	18	0.167716959016	"27.4.aE"	"Q4"
4	18	0.181720342041	"27.4.aE"	"Q4"
5	18	0.190074128184	"27.4.aE"	"Q4"
6	18	0.195017963904	"27.4.aE"	"Q4"
7	18	0.197930831232	"27.4.aE"	"Q4"
8	18	0.199642757896	"27.4.aE"	"Q4"
9	18	0.200647423044	"27.4.aE"	"Q4"
10	18	0.201236528955	"27.4.aE"	"Q4"
11	18	0.201581794668	"27.4.aE"	"Q4"
12	18	0.201784091843	"27.4.aE"	"Q4"
13	18	0.201902601538	"27.4.aE"	"Q4"
1	19	0.103026659103	"27.4.aE"	"Q4"
2	19	0.13818424314	"27.4.aE"	"Q4"
3	19	0.160065876907	"27.4.aE"	"Q4"
4	19	0.173278010263	"27.4.aE"	"Q4"
5	19	0.181138433963	"27.4.aE"	"Q4"
6	19	0.185778397846	"27.4.aE"	"Q4"
7	19	0.18850548451	"27.4.aE"	"Q4"
8	19	0.190104363917	"27.4.aE"	"Q4"
9	19	0.191040458354	"27.4.aE"	"Q4"
10	19	0.191588065627	"27.4.aE"	"Q4"
11	19	0.19190825941	"27.4.aE"	"Q4"
12	19	0.192095429615	"27.4.aE"	"Q4"
13	19	0.192204822893	"27.4.aE"	"Q4"
1	20	0.107369624611	"27.4.aE"	"Q4"
2	20	0.143495498959	"27.4.aE"	"Q4"
3	20	0.166256225257	"27.4.aE"	"Q4"
4	20	0.180217182382	"27.4.aE"	"Q4"
5	20	0.188668177013	"27.4.aE"	"Q4"
6	20	0.193747655019	"27.4.aE"	"Q4"
7	20	0.196788538894	"27.4.aE"	"Q4"
8	20	0.19860482635	"27.4.aE"	"Q4"
9	20	0.199688224274	"27.4.aE"	"Q4"
10	20	0.200333951867	"27.4.aE"	"Q4"
11	20	0.200718639696	"27.4.aE"	"Q4"
12	20	0.200947751592	"27.4.aE"	"Q4"
13	20	0.201084183394	"27.4.aE"	"Q4"
1	21	0.103065422097	"27.4.aE"	"Q4"
2	21	0.137221013872	"27.4.aE"	"Q4"
3	21	0.158687900285	"27.4.aE"	"Q4"
4	21	0.171841184086	"27.4.aE"	"Q4"
5	21	0.179800142622	"27.4.aE"	"Q4"
6	21	0.184583730637	"27.4.aE"	"Q4"
7	21	0.187447963706	"27.4.aE"	"Q4"
8	21	0.18915922763	"27.4.aE"	"Q4"
9	21	0.190180339456	"27.4.aE"	"Q4"
10	21	0.190789181283	"27.4.aE"	"Q4"
11	21	0.191152044832	"27.4.aE"	"Q4"
12	21	0.191368251027	"27.4.aE"	"Q4"
13	21	0.191497053781	"27.4.aE"	"Q4"
1	22	0.0998353016125	"27.4.aE"	"Q4"
2	22	0.133113821817	"27.4.aE"	"Q4"
3	22	0.154015978842	"27.4.aE"	"Q4"
4	22	0.166805160696	"27.4.aE"	"Q4"
5	22	0.174530076818	"27.4.aE"	"Q4"
6	22	0.179163905992	"27.4.aE"	"Q4"
7	22	0.181932766383	"27.4.aE"	"Q4"
8	22	0.183583563017	"27.4.aE"	"Q4"
9	22	0.184566490919	"27.4.aE"	"Q4"
10	22	0.185151305453	"27.4.aE"	"Q4"
