"Age"	"Iteration"	"CatchAtAge"	"Length"	"Stratum"	"Quarter"
1	1	2232778.89010151	340	"27.4.aE"	"Q4"
1	2	5138614.29588111	340	"27.4.aE"	"Q4"
1	3	4622827.9786544	340	"27.4.aE"	"Q4"
1	4	8300908.19317412	340	"27.4.aE"	"Q4"
1	5	3249582.64030426	340	"27.4.aE"	"Q4"
1	6	5958475.42335077	340	"27.4.aE"	"Q4"
1	7	2186686.2840521	340	"27.4.aE"	"Q4"
1	8	1790567.56909552	340	"27.4.aE"	"Q4"
1	9	1495185.4302942	340	"27.4.aE"	"Q4"
1	10	4186066.71496549	340	"27.4.aE"	"Q4"
1	11	3010279.03219642	340	"27.4.aE"	"Q4"
1	12	2121405.68363236	340	"27.4.aE"	"Q4"
1	13	2065749.24685465	340	"27.4.aE"	"Q4"
1	14	3734752.48872546	340	"27.4.aE"	"Q4"
1	15	5218016.34972882	340	"27.4.aE"	"Q4"
1	16	5708209.44243812	340	"27.4.aE"	"Q4"
1	17	3680771.07711485	340	"27.4.aE"	"Q4"
1	18	3626345.82154664	340	"27.4.aE"	"Q4"
1	19	2602875.43184901	340	"27.4.aE"	"Q4"
1	20	1561286.40859428	340	"27.4.aE"	"Q4"
1	21	7298302.39867251	340	"27.4.aE"	"Q4"
1	22	1533558.42139404	340	"27.4.aE"	"Q4"
1	23	2666346.78458981	340	"27.4.aE"	"Q4"
1	24	1845456.41837716	340	"27.4.aE"	"Q4"
1	25	2257771.75715041	340	"27.4.aE"	"Q4"
1	26	3448876.88273571	340	"27.4.aE"	"Q4"
1	27	3195918.00029551	340	"27.4.aE"	"Q4"
1	28	5305544.25242004	340	"27.4.aE"	"Q4"
1	29	2764774.78332465	340	"27.4.aE"	"Q4"
1	30	1660784.16102854	340	"27.4.aE"	"Q4"
1	31	4870414.21960806	340	"27.4.aE"	"Q4"
1	32	3252124.50421183	340	"27.4.aE"	"Q4"
1	33	3071687.89586765	340	"27.4.aE"	"Q4"
1	34	6344743.74734098	340	"27.4.aE"	"Q4"
1	35	7262559.24535317	340	"27.4.aE"	"Q4"
1	36	2638742.10888676	340	"27.4.aE"	"Q4"
1	37	2953803.9197836	340	"27.4.aE"	"Q4"
1	38	2707022.29517804	340	"27.4.aE"	"Q4"
1	39	1856595.44369843	340	"27.4.aE"	"Q4"
1	40	4306617.18423905	340	"27.4.aE"	"Q4"
1	41	2249617.80539099	340	"27.4.aE"	"Q4"
1	42	4258041.00815764	340	"27.4.aE"	"Q4"
1	43	3025556.13276	340	"27.4.aE"	"Q4"
1	44	4454601.94293514	340	"27.4.aE"	"Q4"
1	45	2285035.13740128	340	"27.4.aE"	"Q4"
1	46	1213533.76660925	340	"27.4.aE"	"Q4"
1	47	3141865.73734365	340	"27.4.aE"	"Q4"
1	48	9386132.51663886	340	"27.4.aE"	"Q4"
1	49	1537204.46080694	340	"27.4.aE"	"Q4"
1	50	3580455.64095637	340	"27.4.aE"	"Q4"
1	51	1371409.96257681	340	"27.4.aE"	"Q4"
1	52	3738159.53464486	340	"27.4.aE"	"Q4"
1	53	3082072.99312424	340	"27.4.aE"	"Q4"
1	54	3444489.38795004	340	"27.4.aE"	"Q4"
1	55	2502535.5036302	340	"27.4.aE"	"Q4"
1	56	3912803.52774708	340	"27.4.aE"	"Q4"
1	57	7042705.22241763	340	"27.4.aE"	"Q4"
1	58	3160868.68508752	340	"27.4.aE"	"Q4"
1	59	2052660.13899027	340	"27.4.aE"	"Q4"
1	60	1601270.31579152	340	"27.4.aE"	"Q4"
1	61	4443057.11088068	340	"27.4.aE"	"Q4"
1	62	2595241.89482604	340	"27.4.aE"	"Q4"
1	63	6380172.30213059	340	"27.4.aE"	"Q4"
1	64	861753.581456378	340	"27.4.aE"	"Q4"
1	65	1782793.16713613	340	"27.4.aE"	"Q4"
1	66	3243082.45865695	340	"27.4.aE"	"Q4"
1	67	1442896.00960422	340	"27.4.aE"	"Q4"
1	68	3659429.13654166	340	"27.4.aE"	"Q4"
1	69	3121088.81149001	340	"27.4.aE"	"Q4"
1	70	1610421.05901444	340	"27.4.aE"	"Q4"
1	71	2088975.95985597	340	"27.4.aE"	"Q4"
1	72	3768548.3635288	340	"27.4.aE"	"Q4"
1	73	5467437.85813893	340	"27.4.aE"	"Q4"
1	74	3453384.37902716	340	"27.4.aE"	"Q4"
1	75	4498886.36248744	340	"27.4.aE"	"Q4"
1	76	3884376.31070097	340	"27.4.aE"	"Q4"
1	77	3857252.7090356	340	"27.4.aE"	"Q4"
1	78	1980367.50815555	340	"27.4.aE"	"Q4"
1	79	3696724.2087569	340	"27.4.aE"	"Q4"
1	80	3438173.66056044	340	"27.4.aE"	"Q4"
1	81	5973028.01038219	340	"27.4.aE"	"Q4"
1	82	4837519.46202261	340	"27.4.aE"	"Q4"
1	83	3158016.7449576	340	"27.4.aE"	"Q4"
1	84	1232987.52585901	340	"27.4.aE"	"Q4"
1	85	4234331.1805367	340	"27.4.aE"	"Q4"
1	86	643799.346791916	340	"27.4.aE"	"Q4"
1	87	1685796.20493591	340	"27.4.aE"	"Q4"
1	88	2892728.16130815	340	"27.4.aE"	"Q4"
1	89	775359.303899323	340	"27.4.aE"	"Q4"
1	90	4630954.54136269	340	"27.4.aE"	"Q4"
1	91	6662428.89712295	340	"27.4.aE"	"Q4"
1	92	1709187.08393979	340	"27.4.aE"	"Q4"
1	93	3953193.71930708	340	"27.4.aE"	"Q4"
1	94	1250770.51188459	340	"27.4.aE"	"Q4"
1	95	1429358.49779639	340	"27.4.aE"	"Q4"
1	96	3746753.34775278	340	"27.4.aE"	"Q4"
1	97	3946655.5180934	340	"27.4.aE"	"Q4"
1	98	5312981.86501354	340	"27.4.aE"	"Q4"
1	99	1027892.55060043	340	"27.4.aE"	"Q4"
1	100	8274853.52360674	340	"27.4.aE"	"Q4"
1	101	6725109.12319765	340	"27.4.aE"	"Q4"
1	102	3323104.72907095	340	"27.4.aE"	"Q4"
1	103	2369723.72212452	340	"27.4.aE"	"Q4"
1	104	4409571.51252642	340	"27.4.aE"	"Q4"
1	105	3898146.66634769	340	"27.4.aE"	"Q4"
1	106	1873549.74540008	340	"27.4.aE"	"Q4"
1	107	2973078.79082625	340	"27.4.aE"	"Q4"
1	108	6206216.21652049	340	"27.4.aE"	"Q4"
1	109	3062932.17647003	340	"27.4.aE"	"Q4"
1	110	1917611.9275013	340	"27.4.aE"	"Q4"
1	111	2969318.17974715	340	"27.4.aE"	"Q4"
1	112	4358899.85351468	340	"27.4.aE"	"Q4"
1	113	5739548.32343125	340	"27.4.aE"	"Q4"
1	114	956565.686041399	340	"27.4.aE"	"Q4"
1	115	2439495.20177108	340	"27.4.aE"	"Q4"
1	116	1609651.93322682	340	"27.4.aE"	"Q4"
1	117	3776074.42337961	340	"27.4.aE"	"Q4"
1	118	5487626.90098205	340	"27.4.aE"	"Q4"
1	119	2531398.95793083	340	"27.4.aE"	"Q4"
1	120	1307096.24371981	340	"27.4.aE"	"Q4"
1	121	1906230.37779531	340	"27.4.aE"	"Q4"
1	122	2360163.94409334	340	"27.4.aE"	"Q4"
1	123	3351585.84305004	340	"27.4.aE"	"Q4"
1	124	1992308.68544121	340	"27.4.aE"	"Q4"
1	125	5099985.40430858	340	"27.4.aE"	"Q4"
1	126	1357921.41332427	340	"27.4.aE"	"Q4"
1	127	1408360.92561505	340	"27.4.aE"	"Q4"
1	128	4489742.4410081	340	"27.4.aE"	"Q4"
1	129	3298841.83095376	340	"27.4.aE"	"Q4"
1	130	5182272.01873593	340	"27.4.aE"	"Q4"
1	131	2028649.94326746	340	"27.4.aE"	"Q4"
1	132	5618478.44099322	340	"27.4.aE"	"Q4"
1	133	1507329.79425855	340	"27.4.aE"	"Q4"
1	134	4089371.5500757	340	"27.4.aE"	"Q4"
1	135	695691.609433446	340	"27.4.aE"	"Q4"
1	136	2009391.424841	340	"27.4.aE"	"Q4"
1	137	1738817.41944891	340	"27.4.aE"	"Q4"
1	138	2117208.96418866	340	"27.4.aE"	"Q4"
1	139	5175591.28028041	340	"27.4.aE"	"Q4"
1	140	9408901.87700412	340	"27.4.aE"	"Q4"
1	141	2728841.14019612	340	"27.4.aE"	"Q4"
1	142	1634359.75300049	340	"27.4.aE"	"Q4"
1	143	1418697.3643452	340	"27.4.aE"	"Q4"
1	144	6736340.53985686	340	"27.4.aE"	"Q4"
1	145	5422633.62551334	340	"27.4.aE"	"Q4"
1	146	3478496.40477022	340	"27.4.aE"	"Q4"
1	147	4196010.23012937	340	"27.4.aE"	"Q4"
1	148	1407653.64264581	340	"27.4.aE"	"Q4"
1	149	4496286.85513603	340	"27.4.aE"	"Q4"
1	150	4417048.05972377	340	"27.4.aE"	"Q4"
1	151	2705171.92342643	340	"27.4.aE"	"Q4"
1	152	3055494.56001207	340	"27.4.aE"	"Q4"
1	153	5538570.16660304	340	"27.4.aE"	"Q4"
1	154	2876732.29573702	340	"27.4.aE"	"Q4"
1	155	8439330.59477801	340	"27.4.aE"	"Q4"
1	156	1398789.12144407	340	"27.4.aE"	"Q4"
1	157	1175147.2337661	340	"27.4.aE"	"Q4"
1	158	1700760.07402364	340	"27.4.aE"	"Q4"
1	159	1003631.05942084	340	"27.4.aE"	"Q4"
1	160	1475510.58796406	340	"27.4.aE"	"Q4"
1	161	3022186.05925616	340	"27.4.aE"	"Q4"
1	162	6269927.02115495	340	"27.4.aE"	"Q4"
1	163	1383470.15221617	340	"27.4.aE"	"Q4"
1	164	2741894.36534728	340	"27.4.aE"	"Q4"
1	165	2860979.68382261	340	"27.4.aE"	"Q4"
1	166	3913403.85073766	340	"27.4.aE"	"Q4"
1	167	3041430.11630784	340	"27.4.aE"	"Q4"
1	168	1488970.13151432	340	"27.4.aE"	"Q4"
1	169	1597233.38334324	340	"27.4.aE"	"Q4"
1	170	1310097.47813852	340	"27.4.aE"	"Q4"
1	171	1851580.36223357	340	"27.4.aE"	"Q4"
1	172	4394561.56194199	340	"27.4.aE"	"Q4"
1	173	1591385.08249365	340	"27.4.aE"	"Q4"
1	174	2513010.76715865	340	"27.4.aE"	"Q4"
1	175	5402650.86171102	340	"27.4.aE"	"Q4"
1	176	1122919.75948245	340	"27.4.aE"	"Q4"
1	177	1274825.71456178	340	"27.4.aE"	"Q4"
1	178	2153118.42190424	340	"27.4.aE"	"Q4"
1	179	3827320.28482607	340	"27.4.aE"	"Q4"
1	180	1771295.34694468	340	"27.4.aE"	"Q4"
1	181	3987413.22408278	340	"27.4.aE"	"Q4"
1	182	2653643.99058253	340	"27.4.aE"	"Q4"
1	183	2484935.82250113	340	"27.4.aE"	"Q4"
1	184	2357445.52278429	340	"27.4.aE"	"Q4"
1	185	8033807.83011634	340	"27.4.aE"	"Q4"
