"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
1	1	23.561444173055	"27.4.aE"	"Q4"
2	1	26.132254363214	"27.4.aE"	"Q4"
3	1	27.559468547198	"27.4.aE"	"Q4"
4	1	28.384218611143	"27.4.aE"	"Q4"
5	1	28.870356261926	"27.4.aE"	"Q4"
6	1	29.15999350337	"27.4.aE"	"Q4"
7	1	29.333611054653	"27.4.aE"	"Q4"
8	1	0	"27.4.aE"	"Q4"
9	1	29.501012654403	"27.4.aE"	"Q4"
10	1	29.539014077182	"27.4.aE"	"Q4"
11	1	0	"27.4.aE"	"Q4"
12	1	0	"27.4.aE"	"Q4"
13	1	0	"27.4.aE"	"Q4"
14	1	0	"27.4.aE"	"Q4"
1	2	22.746130033842	"27.4.aE"	"Q4"
2	2	25.159362202998	"27.4.aE"	"Q4"
3	2	26.478586794199	"27.4.aE"	"Q4"
4	2	27.228882272287	"27.4.aE"	"Q4"
5	2	27.66394625533	"27.4.aE"	"Q4"
6	2	27.918846731142	"27.4.aE"	"Q4"
7	2	28.069059171802	"27.4.aE"	"Q4"
8	2	0	"27.4.aE"	"Q4"
9	2	28.210489167034	"27.4.aE"	"Q4"
10	2	28.241694273368	"27.4.aE"	"Q4"
11	2	0	"27.4.aE"	"Q4"
12	2	0	"27.4.aE"	"Q4"
13	2	0	"27.4.aE"	"Q4"
14	2	0	"27.4.aE"	"Q4"
1	3	23.432243142615	"27.4.aE"	"Q4"
2	3	26.137510687844	"27.4.aE"	"Q4"
3	3	27.605079938911	"27.4.aE"	"Q4"
4	3	28.429598748257	"27.4.aE"	"Q4"
5	3	28.900752983174	"27.4.aE"	"Q4"
6	3	29.17240496686	"27.4.aE"	"Q4"
7	3	29.329806255603	"27.4.aE"	"Q4"
8	3	0	"27.4.aE"	"Q4"
9	3	29.47448866574	"27.4.aE"	"Q4"
10	3	29.505493102283	"27.4.aE"	"Q4"
11	3	0	"27.4.aE"	"Q4"
12	3	0	"27.4.aE"	"Q4"
13	3	0	"27.4.aE"	"Q4"
14	3	0	"27.4.aE"	"Q4"
1	4	22.754853105118	"27.4.aE"	"Q4"
2	4	25.318120117515	"27.4.aE"	"Q4"
3	4	26.73543425122	"27.4.aE"	"Q4"
4	4	27.549679138461	"27.4.aE"	"Q4"
5	4	28.026345472201	"27.4.aE"	"Q4"
6	4	28.308230682999	"27.4.aE"	"Q4"
7	4	28.475883374165	"27.4.aE"	"Q4"
8	4	0	"27.4.aE"	"Q4"
9	4	28.635739314512	"27.4.aE"	"Q4"
10	4	28.671541930403	"27.4.aE"	"Q4"
11	4	0	"27.4.aE"	"Q4"
12	4	0	"27.4.aE"	"Q4"
13	4	0	"27.4.aE"	"Q4"
14	4	0	"27.4.aE"	"Q4"
1	5	23.91211676596	"27.4.aE"	"Q4"
2	5	26.610989107862	"27.4.aE"	"Q4"
3	5	28.070819221284	"27.4.aE"	"Q4"
4	5	28.889173082213	"27.4.aE"	"Q4"
5	5	29.355918993977	"27.4.aE"	"Q4"
6	5	29.62456264379	"27.4.aE"	"Q4"
7	5	29.779963654428	"27.4.aE"	"Q4"
8	5	0	"27.4.aE"	"Q4"
9	5	29.922494169873	"27.4.aE"	"Q4"
10	5	29.952958696286	"27.4.aE"	"Q4"
11	5	0	"27.4.aE"	"Q4"
12	5	0	"27.4.aE"	"Q4"
13	5	29.987012969989	"27.4.aE"	"Q4"
14	5	0	"27.4.aE"	"Q4"
1	6	23.159474184143	"27.4.aE"	"Q4"
2	6	25.726420138847	"27.4.aE"	"Q4"
3	6	27.124353047718	"27.4.aE"	"Q4"
4	6	27.914578655872	"27.4.aE"	"Q4"
5	6	28.369454588974	"27.4.aE"	"Q4"
6	6	28.633830170046	"27.4.aE"	"Q4"
7	6	28.788311884663	"27.4.aE"	"Q4"
8	6	0	"27.4.aE"	"Q4"
9	6	28.932018241612	"27.4.aE"	"Q4"
10	6	28.963264575196	"27.4.aE"	"Q4"
11	6	0	"27.4.aE"	"Q4"
12	6	0	"27.4.aE"	"Q4"
13	6	28.998812943099	"27.4.aE"	"Q4"
14	6	0	"27.4.aE"	"Q4"
1	7	23.334391336563	"27.4.aE"	"Q4"
2	7	25.956770472543	"27.4.aE"	"Q4"
