"Age"	"Iteration"	"MeanIndividualWeight"	"Stratum"	"Quarter"
1	1	0.102763553082	"27.4.aE"	"Q4"
2	1	0.137055856257	"27.4.aE"	"Q4"
3	1	0.15889609459	"27.4.aE"	"Q4"
4	1	0.172473424283	"27.4.aE"	"Q4"
5	1	0.180813080346	"27.4.aE"	"Q4"
6	1	0.185902242333	"27.4.aE"	"Q4"
7	1	0.188996330777	"27.4.aE"	"Q4"
8	1	0	"27.4.aE"	"Q4"
9	1	0.192010682909	"27.4.aE"	"Q4"
10	1	0.192699221926	"27.4.aE"	"Q4"
11	1	0	"27.4.aE"	"Q4"
12	1	0	"27.4.aE"	"Q4"
13	1	0	"27.4.aE"	"Q4"
14	1	0	"27.4.aE"	"Q4"
1	2	0.0936855739128	"27.4.aE"	"Q4"
2	2	0.123808036371	"27.4.aE"	"Q4"
3	2	0.142598152076	"27.4.aE"	"Q4"
4	2	0.15405106036	"27.4.aE"	"Q4"
5	2	0.16095275152	"27.4.aE"	"Q4"
6	2	0.1650864855	"27.4.aE"	"Q4"
7	2	0.167553901271	"27.4.aE"	"Q4"
8	2	0	"27.4.aE"	"Q4"
9	2	0.169898453525	"27.4.aE"	"Q4"
10	2	0.170418558362	"27.4.aE"	"Q4"
11	2	0	"27.4.aE"	"Q4"
12	2	0	"27.4.aE"	"Q4"
13	2	0	"27.4.aE"	"Q4"
14	2	0	"27.4.aE"	"Q4"
1	3	0.107796091455	"27.4.aE"	"Q4"
2	3	0.1470143102	"27.4.aE"	"Q4"
3	3	0.171686754633	"27.4.aE"	"Q4"
4	3	0.186653538224	"27.4.aE"	"Q4"
5	3	0.195573045109	"27.4.aE"	"Q4"
6	3	0.200838942275	"27.4.aE"	"Q4"
7	3	0.203931716081	"27.4.aE"	"Q4"
8	3	0	"27.4.aE"	"Q4"
9	3	0.206801644146	"27.4.aE"	"Q4"
10	3	0.207420033903	"27.4.aE"	"Q4"
11	3	0	"27.4.aE"	"Q4"
12	3	0	"27.4.aE"	"Q4"
13	3	0	"27.4.aE"	"Q4"
14	3	0	"27.4.aE"	"Q4"
1	4	0.0947601722871	"27.4.aE"	"Q4"
2	4	0.127646021335	"27.4.aE"	"Q4"
3	4	0.148603658786	"27.4.aE"	"Q4"
4	4	0.161582264689	"27.4.aE"	"Q4"
5	4	0.169506397472	"27.4.aE"	"Q4"
6	4	0.174307587762	"27.4.aE"	"Q4"
7	4	0.177204047802	"27.4.aE"	"Q4"
8	4	0	"27.4.aE"	"Q4"
9	4	0.179994399016	"27.4.aE"	"Q4"
10	4	0.180623186952	"27.4.aE"	"Q4"
11	4	0	"27.4.aE"	"Q4"
12	4	0	"27.4.aE"	"Q4"
13	4	0	"27.4.aE"	"Q4"
14	4	0	"27.4.aE"	"Q4"
1	5	0.110266797015	"27.4.aE"	"Q4"
2	5	0.14889300793	"27.4.aE"	"Q4"
3	5	0.172986435503	"27.4.aE"	"Q4"
4	5	0.187525654375	"27.4.aE"	"Q4"
5	5	0.196159167454	"27.4.aE"	"Q4"
6	5	0.201242316315	"27.4.aE"	"Q4"
7	5	0.204221072019	"27.4.aE"	"Q4"
8	5	0	"27.4.aE"	"Q4"
9	5	0.206977951622	"27.4.aE"	"Q4"
10	5	0.207570298646	"27.4.aE"	"Q4"
11	5	0	"27.4.aE"	"Q4"
12	5	0	"27.4.aE"	"Q4"
13	5	0.208233734942	"27.4.aE"	"Q4"
14	5	0	"27.4.aE"	"Q4"
1	6	0.101055798039	"27.4.aE"	"Q4"
2	6	0.135386155241	"27.4.aE"	"Q4"
3	6	0.156859628228	"27.4.aE"	"Q4"
4	6	0.169906868697	"27.4.aE"	"Q4"
5	6	0.177722455103	"27.4.aE"	"Q4"
6	6	0.182368829776	"27.4.aE"	"Q4"
7	6	0.185119479611	"27.4.aE"	"Q4"
8	6	0	"27.4.aE"	"Q4"
9	6	0.187701996657	"27.4.aE"	"Q4"
10	6	0.188266554272	"27.4.aE"	"Q4"
11	6	0	"27.4.aE"	"Q4"
12	6	0	"27.4.aE"	"Q4"
13	6	0.188910162194	"27.4.aE"	"Q4"
14	6	0	"27.4.aE"	"Q4"
1	7	0.103413982275	"27.4.aE"	"Q4"
2	7	0.139321645314	"27.4.aE"	"Q4"
3	7	0.162002846045	"27.4.aE"	"Q4"
4	7	0.175904678274	"27.4.aE"	"Q4"
5	7	0.184300216971	"27.4.aE"	"Q4"
6	7	0.18933036823	"27.4.aE"	"Q4"
7	7	0.192330812186	"27.4.aE"	"Q4"
8	7	0	"27.4.aE"	"Q4"
9	7	0.19517657247	"27.4.aE"	"Q4"
10	7	0.195806105658	"27.4.aE"	"Q4"
11	7	0.196179592617	"27.4.aE"	"Q4"
12	7	0	"27.4.aE"	"Q4"
13	7	0.196532462476	"27.4.aE"	"Q4"
14	7	0	"27.4.aE"	"Q4"
1	8	0.100415958084	"27.4.aE"	"Q4"
2	8	0.134202526539	"27.4.aE"	"Q4"
3	8	0.155810982856	"27.4.aE"	"Q4"
4	8	0.169296534468	"27.4.aE"	"Q4"
5	8	0.17761062702	"27.4.aE"	"Q4"
6	8	0.182702501082	"27.4.aE"	"Q4"
