"Age"	"Iteration"	"CatchAtAge"	"Length"	"Stratum"	"Quarter"
1	1	2917098.26619961	340	"27.4.aE"	"Q4"
1	2	6407672.96496025	340	"27.4.aE"	"Q4"
1	3	3424729.25717581	340	"27.4.aE"	"Q4"
1	4	1313463.18618936	340	"27.4.aE"	"Q4"
1	5	2292048.87553078	340	"27.4.aE"	"Q4"
1	6	2885507.61943055	340	"27.4.aE"	"Q4"
1	7	3529602.35848909	340	"27.4.aE"	"Q4"
1	8	2978868.99315819	340	"27.4.aE"	"Q4"
1	9	3210238.54518518	340	"27.4.aE"	"Q4"
1	10	2266111.23017043	340	"27.4.aE"	"Q4"
1	11	7240166.87898972	340	"27.4.aE"	"Q4"
1	12	2233823.31333087	340	"27.4.aE"	"Q4"
1	13	2868850.82538579	340	"27.4.aE"	"Q4"
1	14	2322465.01135486	340	"27.4.aE"	"Q4"
1	15	3775254.89907122	340	"27.4.aE"	"Q4"
1	16	2078705.72912068	340	"27.4.aE"	"Q4"
1	17	1533484.54260453	340	"27.4.aE"	"Q4"
1	18	5034458.91297787	340	"27.4.aE"	"Q4"
1	19	2092302.54773828	340	"27.4.aE"	"Q4"
1	20	2066689.11754289	340	"27.4.aE"	"Q4"
1	21	5501478.86962264	340	"27.4.aE"	"Q4"
1	22	2269412.889266	340	"27.4.aE"	"Q4"
1	23	1988402.73570528	340	"27.4.aE"	"Q4"
1	24	4594366.73057733	340	"27.4.aE"	"Q4"
1	25	1962953.5866065	340	"27.4.aE"	"Q4"
1	26	3188431.53466325	340	"27.4.aE"	"Q4"
1	27	1599747.26022636	340	"27.4.aE"	"Q4"
1	28	3812014.11136942	340	"27.4.aE"	"Q4"
1	29	2939251.09842167	340	"27.4.aE"	"Q4"
1	30	5040334.03497378	340	"27.4.aE"	"Q4"
1	31	2087292.30917581	340	"27.4.aE"	"Q4"
1	32	12323666.9358049	340	"27.4.aE"	"Q4"
1	33	7154544.53102244	340	"27.4.aE"	"Q4"
1	34	1419775.63115749	340	"27.4.aE"	"Q4"
1	35	6748519.58511034	340	"27.4.aE"	"Q4"
1	36	2668599.97123599	340	"27.4.aE"	"Q4"
1	37	2429554.00586644	340	"27.4.aE"	"Q4"
1	38	1738276.59725384	340	"27.4.aE"	"Q4"
1	39	4280578.99226261	340	"27.4.aE"	"Q4"
1	40	1283159.27833858	340	"27.4.aE"	"Q4"
1	41	5155173.09227056	340	"27.4.aE"	"Q4"
1	42	3498496.96272702	340	"27.4.aE"	"Q4"
1	43	6018560.28845722	340	"27.4.aE"	"Q4"
1	44	1043905.47078415	340	"27.4.aE"	"Q4"
1	45	7511374.28177531	340	"27.4.aE"	"Q4"
1	46	3620113.41124807	340	"27.4.aE"	"Q4"
1	47	3266028.78899442	340	"27.4.aE"	"Q4"
1	48	5034745.33754921	340	"27.4.aE"	"Q4"
1	49	4282908.21327408	340	"27.4.aE"	"Q4"
1	50	4396969.22442753	340	"27.4.aE"	"Q4"
1	51	2848010.92425203	340	"27.4.aE"	"Q4"
1	52	2755882.0595328	340	"27.4.aE"	"Q4"
1	53	3012510.60658097	340	"27.4.aE"	"Q4"
1	54	2364329.51568498	340	"27.4.aE"	"Q4"
1	55	2051427.8836159	340	"27.4.aE"	"Q4"
1	56	2147625.77747397	340	"27.4.aE"	"Q4"
1	57	6133874.8509826	340	"27.4.aE"	"Q4"
1	58	4414289.8721507	340	"27.4.aE"	"Q4"
1	59	2876958.07132438	340	"27.4.aE"	"Q4"
1	60	3743375.85464056	340	"27.4.aE"	"Q4"
1	61	1518862.59201842	340	"27.4.aE"	"Q4"
1	62	3079410.12644589	340	"27.4.aE"	"Q4"
1	63	3798881.58509301	340	"27.4.aE"	"Q4"
1	64	3160033.52928965	340	"27.4.aE"	"Q4"
1	65	1895651.21898629	340	"27.4.aE"	"Q4"
1	66	4434892.28437194	340	"27.4.aE"	"Q4"
1	67	3981459.76825544	340	"27.4.aE"	"Q4"
1	68	1373648.15107984	340	"27.4.aE"	"Q4"
1	69	1552963.81542979	340	"27.4.aE"	"Q4"
1	70	10340137.4512052	340	"27.4.aE"	"Q4"
1	71	4960870.95068826	340	"27.4.aE"	"Q4"
1	72	996491.817414556	340	"27.4.aE"	"Q4"
1	73	2471999.76138801	340	"27.4.aE"	"Q4"
1	74	2017867.97655854	340	"27.4.aE"	"Q4"
1	75	3555178.65430274	340	"27.4.aE"	"Q4"
1	76	2453537.11903328	340	"27.4.aE"	"Q4"
1	77	4631809.9022587	340	"27.4.aE"	"Q4"
1	78	2968159.6032821	340	"27.4.aE"	"Q4"
1	79	2436864.66797416	340	"27.4.aE"	"Q4"
1	80	3646968.47835395	340	"27.4.aE"	"Q4"
1	81	4917929.99063042	340	"27.4.aE"	"Q4"
1	82	2082070.24941262	340	"27.4.aE"	"Q4"
1	83	5155344.73357115	340	"27.4.aE"	"Q4"
1	84	1086388.54287672	340	"27.4.aE"	"Q4"
1	85	919824.277329007	340	"27.4.aE"	"Q4"
1	86	2985961.19412605	340	"27.4.aE"	"Q4"
1	87	2933313.26723486	340	"27.4.aE"	"Q4"
1	88	1950367.89001798	340	"27.4.aE"	"Q4"
1	89	3776623.63029659	340	"27.4.aE"	"Q4"
1	90	3740769.66389958	340	"27.4.aE"	"Q4"
1	91	1203307.72978553	340	"27.4.aE"	"Q4"
1	92	5037325.58328836	340	"27.4.aE"	"Q4"
1	93	3791452.2022476	340	"27.4.aE"	"Q4"
1	94	7952636.92135323	340	"27.4.aE"	"Q4"
1	95	4115361.04532514	340	"27.4.aE"	"Q4"
1	96	1622200.95450964	340	"27.4.aE"	"Q4"
1	97	2848098.76643754	340	"27.4.aE"	"Q4"
1	98	2121627.20506578	340	"27.4.aE"	"Q4"
1	99	3918160.50056913	340	"27.4.aE"	"Q4"
1	100	5540184.69870959	340	"27.4.aE"	"Q4"
1	101	2104064.1909679	340	"27.4.aE"	"Q4"
1	102	831408.969217025	340	"27.4.aE"	"Q4"
1	103	6420771.89092467	340	"27.4.aE"	"Q4"
1	104	4571659.90627143	340	"27.4.aE"	"Q4"
1	105	2271020.28205456	340	"27.4.aE"	"Q4"
1	106	2994324.07327244	340	"27.4.aE"	"Q4"
1	107	2656068.234004	340	"27.4.aE"	"Q4"
1	108	2912565.3735329	340	"27.4.aE"	"Q4"
1	109	2824933.67434513	340	"27.4.aE"	"Q4"
1	110	6193372.28223564	340	"27.4.aE"	"Q4"
1	111	2461946.59894247	340	"27.4.aE"	"Q4"
1	112	2419417.5547455	340	"27.4.aE"	"Q4"
1	113	2377384.4407586	340	"27.4.aE"	"Q4"
1	114	2784634.89963969	340	"27.4.aE"	"Q4"
1	115	5591654.91725312	340	"27.4.aE"	"Q4"
1	116	6243792.30552179	340	"27.4.aE"	"Q4"
1	117	939692.075760689	340	"27.4.aE"	"Q4"
1	118	7716737.72189146	340	"27.4.aE"	"Q4"
1	119	2076223.08460659	340	"27.4.aE"	"Q4"
1	120	4428425.29448137	340	"27.4.aE"	"Q4"
1	121	2275853.8984305	340	"27.4.aE"	"Q4"
1	122	3705961.04351375	340	"27.4.aE"	"Q4"
1	123	5701863.09926971	340	"27.4.aE"	"Q4"
1	124	5059089.50955946	340	"27.4.aE"	"Q4"
1	125	2421271.32577553	340	"27.4.aE"	"Q4"
1	126	1815388.23645883	340	"27.4.aE"	"Q4"
1	127	2042092.83691503	340	"27.4.aE"	"Q4"
1	128	2201054.03636806	340	"27.4.aE"	"Q4"
1	129	4046244.3189535	340	"27.4.aE"	"Q4"
1	130	2775264.69691364	340	"27.4.aE"	"Q4"
1	131	2400847.74304371	340	"27.4.aE"	"Q4"
1	132	2897527.73795413	340	"27.4.aE"	"Q4"
1	133	4065119.24209646	340	"27.4.aE"	"Q4"
1	134	2560450.00598732	340	"27.4.aE"	"Q4"
1	135	4672373.221095	340	"27.4.aE"	"Q4"
1	136	3160462.47610924	340	"27.4.aE"	"Q4"
1	137	5062260.30401188	340	"27.4.aE"	"Q4"
1	138	5597520.0534176	340	"27.4.aE"	"Q4"
1	139	3763127.75598529	340	"27.4.aE"	"Q4"
1	140	1733626.13641596	340	"27.4.aE"	"Q4"
1	141	3467847.51813169	340	"27.4.aE"	"Q4"
1	142	6939915.06776627	340	"27.4.aE"	"Q4"
1	143	3970240.60846542	340	"27.4.aE"	"Q4"
1	144	2200887.95308679	340	"27.4.aE"	"Q4"
1	145	2623380.61573401	340	"27.4.aE"	"Q4"
1	146	3624904.03594239	340	"27.4.aE"	"Q4"
1	147	1981260.54336329	340	"27.4.aE"	"Q4"
1	148	5327870.46267226	340	"27.4.aE"	"Q4"
1	149	9464684.36490639	340	"27.4.aE"	"Q4"
1	150	2496720.27814823	340	"27.4.aE"	"Q4"
1	151	4827447.36460799	340	"27.4.aE"	"Q4"
1	152	3492475.92289423	340	"27.4.aE"	"Q4"
1	153	3536118.99575396	340	"27.4.aE"	"Q4"
1	154	1915651.61594851	340	"27.4.aE"	"Q4"
1	155	2901136.02596766	340	"27.4.aE"	"Q4"
1	156	4447183.07095485	340	"27.4.aE"	"Q4"
1	157	3579933.33142685	340	"27.4.aE"	"Q4"
1	158	4463628.54006623	340	"27.4.aE"	"Q4"
1	159	3788932.95106531	340	"27.4.aE"	"Q4"
1	160	2451036.92355902	340	"27.4.aE"	"Q4"
1	161	5289573.50661412	340	"27.4.aE"	"Q4"
1	162	5509862.19174468	340	"27.4.aE"	"Q4"
1	163	2216273.54494485	340	"27.4.aE"	"Q4"
1	164	3480449.18000354	340	"27.4.aE"	"Q4"
1	165	8138940.91268814	340	"27.4.aE"	"Q4"
1	166	1777740.65404083	340	"27.4.aE"	"Q4"
1	167	3966733.5741456	340	"27.4.aE"	"Q4"
1	168	4144384.94119014	340	"27.4.aE"	"Q4"
1	169	1402299.2325562	340	"27.4.aE"	"Q4"
1	170	4999336.92732898	340	"27.4.aE"	"Q4"
1	171	3399065.8267856	340	"27.4.aE"	"Q4"
1	172	2638710.22343782	340	"27.4.aE"	"Q4"
1	173	9344309.45205575	340	"27.4.aE"	"Q4"
1	174	2985836.6751597	340	"27.4.aE"	"Q4"
1	175	6065451.24524032	340	"27.4.aE"	"Q4"
1	176	2431800.40286675	340	"27.4.aE"	"Q4"
1	177	3113542.93698301	340	"27.4.aE"	"Q4"
1	178	1429955.19788444	340	"27.4.aE"	"Q4"
1	179	10183178.7525959	340	"27.4.aE"	"Q4"
1	180	3015231.66813408	340	"27.4.aE"	"Q4"
1	181	1510344.56762899	340	"27.4.aE"	"Q4"
1	182	1780981.42016762	340	"27.4.aE"	"Q4"
1	183	2451837.1084467	340	"27.4.aE"	"Q4"
1	184	1757946.97548192	340	"27.4.aE"	"Q4"
1	185	3729998.75505106	340	"27.4.aE"	"Q4"
1	186	2973313.71459247	340	"27.4.aE"	"Q4"
1	187	2644628.8367795	340	"27.4.aE"	"Q4"
1	188	10604613.4237696	340	"27.4.aE"	"Q4"
1	189	3344463.8036712	340	"27.4.aE"	"Q4"
1	190	1624973.18879197	340	"27.4.aE"	"Q4"
1	191	4620882.1805771	340	"27.4.aE"	"Q4"
1	192	2996221.51194893	340	"27.4.aE"	"Q4"
1	193	4517815.74012206	340	"27.4.aE"	"Q4"
1	194	893188.3721152	340	"27.4.aE"	"Q4"
1	195	3572430.10881245	340	"27.4.aE"	"Q4"
1	196	2224623.99909035	340	"27.4.aE"	"Q4"
1	197	3524018.65802669	340	"27.4.aE"	"Q4"
1	198	3789897.85519187	340	"27.4.aE"	"Q4"
1	199	3384548.49885996	340	"27.4.aE"	"Q4"
1	200	3124578.98178806	340	"27.4.aE"	"Q4"
1	201	3980671.2701473	340	"27.4.aE"	"Q4"
1	202	3100731.59791518	340	"27.4.aE"	"Q4"
1	203	10660393.5403257	340	"27.4.aE"	"Q4"
1	204	5411830.53110695	340	"27.4.aE"	"Q4"
1	205	2587331.88004057	340	"27.4.aE"	"Q4"
1	206	2510824.49465027	340	"27.4.aE"	"Q4"
1	207	2402222.24162233	340	"27.4.aE"	"Q4"
1	208	5075008.66869404	340	"27.4.aE"	"Q4"
1	209	4679189.44693332	340	"27.4.aE"	"Q4"
1	210	4801704.63393409	340	"27.4.aE"	"Q4"
1	211	2897074.63668826	340	"27.4.aE"	"Q4"
1	212	5058181.27635907	340	"27.4.aE"	"Q4"
1	213	2543113.56870862	340	"27.4.aE"	"Q4"
1	214	6502264.81253775	340	"27.4.aE"	"Q4"
1	215	6561389.24302881	340	"27.4.aE"	"Q4"
1	216	7964356.78447701	340	"27.4.aE"	"Q4"
1	217	4727231.89799778	340	"27.4.aE"	"Q4"
1	218	2935277.8133805	340	"27.4.aE"	"Q4"
1	219	2454833.35548845	340	"27.4.aE"	"Q4"
1	220	2064597.42605483	340	"27.4.aE"	"Q4"
1	221	2294103.81628252	340	"27.4.aE"	"Q4"
1	222	5398572.74238131	340	"27.4.aE"	"Q4"
1	223	2997441.21588815	340	"27.4.aE"	"Q4"
1	224	5272929.78812983	340	"27.4.aE"	"Q4"
1	225	4314171.70597966	340	"27.4.aE"	"Q4"
1	226	5761890.66667558	340	"27.4.aE"	"Q4"
1	227	1384096.08537129	340	"27.4.aE"	"Q4"
1	228	4293863.63936638	340	"27.4.aE"	"Q4"
1	229	5356514.64457235	340	"27.4.aE"	"Q4"
1	230	4269187.90769949	340	"27.4.aE"	"Q4"
1	231	5211373.89466517	340	"27.4.aE"	"Q4"
1	232	4048763.13539253	340	"27.4.aE"	"Q4"
1	233	4662216.45047281	340	"27.4.aE"	"Q4"
1	234	2301946.88691713	340	"27.4.aE"	"Q4"
1	235	2156969.79524329	340	"27.4.aE"	"Q4"
1	236	959635.308187259	340	"27.4.aE"	"Q4"
1	237	3745846.75061469	340	"27.4.aE"	"Q4"
1	238	3767034.05263436	340	"27.4.aE"	"Q4"
1	239	5462190.83364941	340	"27.4.aE"	"Q4"
1	240	3378904.00601497	340	"27.4.aE"	"Q4"
1	241	2232653.36423642	340	"27.4.aE"	"Q4"
1	242	1752203.78883008	340	"27.4.aE"	"Q4"
1	243	2934027.892534	340	"27.4.aE"	"Q4"
1	244	3253871.05152363	340	"27.4.aE"	"Q4"
