"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
1	1	22.903459361151	"27.4.aE"	"Q4"
2	1	25.455910099644	"27.4.aE"	"Q4"
3	1	26.813007986458	"27.4.aE"	"Q4"
4	1	27.559812818142	"27.4.aE"	"Q4"
5	1	27.977577786876	"27.4.aE"	"Q4"
6	1	28.213278558383	"27.4.aE"	"Q4"
7	1	28.346875881943	"27.4.aE"	"Q4"
8	1	28.42279436343	"27.4.aE"	"Q4"
9	1	28.46599815845	"27.4.aE"	"Q4"
10	1	28.490604624473	"27.4.aE"	"Q4"
11	1	0	"27.4.aE"	"Q4"
12	1	0	"27.4.aE"	"Q4"
13	1	0	"27.4.aE"	"Q4"
14	1	0	"27.4.aE"	"Q4"
15	1	0	"27.4.aE"	"Q4"
1	2	23.159773638134	"27.4.aE"	"Q4"
2	2	25.715880850383	"27.4.aE"	"Q4"
3	2	27.091082344677	"27.4.aE"	"Q4"
4	2	27.858174086812	"27.4.aE"	"Q4"
5	2	28.293576294309	"27.4.aE"	"Q4"
6	2	28.54298373332	"27.4.aE"	"Q4"
7	2	28.686569476328	"27.4.aE"	"Q4"
8	2	28.76946681205	"27.4.aE"	"Q4"
9	2	28.817403593779	"27.4.aE"	"Q4"
10	2	28.845149459364	"27.4.aE"	"Q4"
11	2	0	"27.4.aE"	"Q4"
12	2	0	"27.4.aE"	"Q4"
13	2	0	"27.4.aE"	"Q4"
14	2	0	"27.4.aE"	"Q4"
15	2	0	"27.4.aE"	"Q4"
1	3	23.322339842281	"27.4.aE"	"Q4"
2	3	26.008645558229	"27.4.aE"	"Q4"
3	3	27.44402359013	"27.4.aE"	"Q4"
4	3	28.237085198219	"27.4.aE"	"Q4"
5	3	28.682325436398	"27.4.aE"	"Q4"
6	3	28.934383121001	"27.4.aE"	"Q4"
7	3	29.077724557568	"27.4.aE"	"Q4"
8	3	29.15944611177	"27.4.aE"	"Q4"
9	3	29.206103102123	"27.4.aE"	"Q4"
10	3	29.232762205401	"27.4.aE"	"Q4"
11	3	0	"27.4.aE"	"Q4"
12	3	0	"27.4.aE"	"Q4"
13	3	0	"27.4.aE"	"Q4"
14	3	0	"27.4.aE"	"Q4"
15	3	0	"27.4.aE"	"Q4"
1	4	23.341443073742	"27.4.aE"	"Q4"
2	4	25.936716772758	"27.4.aE"	"Q4"
3	4	27.313182416327	"27.4.aE"	"Q4"
4	4	28.06865168342	"27.4.aE"	"Q4"
5	4	28.490104808231	"27.4.aE"	"Q4"
6	4	28.727216522435	"27.4.aE"	"Q4"
7	4	28.861227984652	"27.4.aE"	"Q4"
8	4	28.937160631243	"27.4.aE"	"Q4"
9	4	28.980245966674	"27.4.aE"	"Q4"
10	4	29.004712734683	"27.4.aE"	"Q4"
11	4	0	"27.4.aE"	"Q4"
12	4	0	"27.4.aE"	"Q4"
13	4	0	"27.4.aE"	"Q4"
14	4	29.03355311338	"27.4.aE"	"Q4"
15	4	29.035003608311	"27.4.aE"	"Q4"
1	5	22.885496080305	"27.4.aE"	"Q4"
2	5	25.455907856959	"27.4.aE"	"Q4"
3	5	26.809818468902	"27.4.aE"	"Q4"
4	5	27.546908806454	"27.4.aE"	"Q4"
5	5	27.95451466763	"27.4.aE"	"Q4"
6	5	28.181738950193	"27.4.aE"	"Q4"
7	5	28.308955524603	"27.4.aE"	"Q4"
8	5	28.38034929269	"27.4.aE"	"Q4"
9	5	28.420467998584	"27.4.aE"	"Q4"
10	5	28.443028655715	"27.4.aE"	"Q4"
11	5	0	"27.4.aE"	"Q4"
12	5	0	"27.4.aE"	"Q4"
13	5	0	"27.4.aE"	"Q4"
14	5	0	"27.4.aE"	"Q4"
15	5	28.470417583201	"27.4.aE"	"Q4"
1	6	23.990777862039	"27.4.aE"	"Q4"
2	6	26.561796990125	"27.4.aE"	"Q4"
3	6	27.937398011575	"27.4.aE"	"Q4"
4	6	28.700998658102	"27.4.aE"	"Q4"
5	6	29.13244038363	"27.4.aE"	"Q4"
6	6	29.378479138862	"27.4.aE"	"Q4"
7	6	29.519501418986	"27.4.aE"	"Q4"
8	6	29.600561242738	"27.4.aE"	"Q4"
9	6	29.647229701277	"27.4.aE"	"Q4"
10	6	29.674122820678	"27.4.aE"	"Q4"
11	6	29.689628413332	"27.4.aE"	"Q4"
12	6	29.698571090129	"27.4.aE"	"Q4"
13	6	0	"27.4.aE"	"Q4"
14	6	29.706705504413	"27.4.aE"	"Q4"
15	6	29.708422408049	"27.4.aE"	"Q4"
1	7	22.939541785051	"27.4.aE"	"Q4"
2	7	25.475783090933	"27.4.aE"	"Q4"
3	7	26.842634285533	"27.4.aE"	"Q4"
4	7	27.606459365901	"27.4.aE"	"Q4"
5	7	28.040831298722	"27.4.aE"	"Q4"
6	7	28.290134687736	"27.4.aE"	"Q4"
7	7	28.433946333793	"27.4.aE"	"Q4"
8	7	28.517141601955	"27.4.aE"	"Q4"
9	7	28.565348593377	"27.4.aE"	"Q4"
10	7	28.593307989307	"27.4.aE"	"Q4"
11	7	28.609532819068	"27.4.aE"	"Q4"
12	7	28.618951027509	"27.4.aE"	"Q4"
13	7	0	"27.4.aE"	"Q4"
14	7	28.627594139777	"27.4.aE"	"Q4"
15	7	28.629437824442	"27.4.aE"	"Q4"
1	8	23.517536229574	"27.4.aE"	"Q4"
2	8	26.046189867325	"27.4.aE"	"Q4"
3	8	27.412937911547	"27.4.aE"	"Q4"
4	8	28.180114815314	"27.4.aE"	"Q4"
5	8	28.618695225138	"27.4.aE"	"Q4"
6	8	28.871861380177	"27.4.aE"	"Q4"
7	8	29.018782973734	"27.4.aE"	"Q4"
8	8	29.104305685687	"27.4.aE"	"Q4"
9	8	29.154174902833	"27.4.aE"	"Q4"
10	8	29.183283445387	"27.4.aE"	"Q4"
11	8	29.200283962841	"27.4.aE"	"Q4"
12	8	29.210216303861	"27.4.aE"	"Q4"
13	8	0	"27.4.aE"	"Q4"
14	8	29.219412283178	"27.4.aE"	"Q4"
15	8	29.221394762968	"27.4.aE"	"Q4"
1	9	22.852250426786	"27.4.aE"	"Q4"
2	9	25.329496946378	"27.4.aE"	"Q4"
3	9	26.661769987573	"27.4.aE"	"Q4"
4	9	27.405189571719	"27.4.aE"	"Q4"
5	9	27.827467137112	"27.4.aE"	"Q4"
6	9	28.069584257825	"27.4.aE"	"Q4"
7	9	28.209120369577	"27.4.aE"	"Q4"
8	9	28.289770442184	"27.4.aE"	"Q4"
9	9	28.336462139266	"27.4.aE"	"Q4"
10	9	28.363519553294	"27.4.aE"	"Q4"
11	9	28.379207656484	"27.4.aE"	"Q4"
12	9	28.388306620473	"27.4.aE"	"Q4"
13	9	0	"27.4.aE"	"Q4"
14	9	28.396647154098	"27.4.aE"	"Q4"
15	9	28.398423853914	"27.4.aE"	"Q4"
1	10	23.194039342151	"27.4.aE"	"Q4"
2	10	25.70965388932	"27.4.aE"	"Q4"
3	10	27.068359188292	"27.4.aE"	"Q4"
4	10	27.830117424999	"27.4.aE"	"Q4"
5	10	28.264979984775	"27.4.aE"	"Q4"
6	10	28.51560798314	"27.4.aE"	"Q4"
7	10	28.660817253258	"27.4.aE"	"Q4"
8	10	28.745199752548	"27.4.aE"	"Q4"
9	10	28.794318981444	"27.4.aE"	"Q4"
10	10	28.822939574659	"27.4.aE"	"Q4"
11	10	28.839625638604	"27.4.aE"	"Q4"
12	10	28.849356997157	"27.4.aE"	"Q4"
13	10	0	"27.4.aE"	"Q4"
14	10	28.858344987538	"27.4.aE"	"Q4"
15	10	28.86027700361	"27.4.aE"	"Q4"
1	11	23.384294082764	"27.4.aE"	"Q4"
2	11	26.007560334363	"27.4.aE"	"Q4"
3	11	27.418367953583	"27.4.aE"	"Q4"
4	11	28.204426513951	"27.4.aE"	"Q4"
5	11	28.649914025004	"27.4.aE"	"Q4"
