"Age"	"Iteration"	"MeanIndividualWeight"	"Stratum"	"Quarter"
1	1	0.0942922210135	"27.4.aE"	"Q4"
2	1	0.126983517842	"27.4.aE"	"Q4"
3	1	0.146991848437	"27.4.aE"	"Q4"
4	1	0.158819468345	"27.4.aE"	"Q4"
5	1	0.165695411512	"27.4.aE"	"Q4"
6	1	0.169658086503	"27.4.aE"	"Q4"
7	1	0.171931055717	"27.4.aE"	"Q4"
8	1	0.173231407424	"27.4.aE"	"Q4"
9	1	0.173974237204	"27.4.aE"	"Q4"
10	1	0.174398228293	"27.4.aE"	"Q4"
11	1	0	"27.4.aE"	"Q4"
12	1	0	"27.4.aE"	"Q4"
13	1	0	"27.4.aE"	"Q4"
14	1	0	"27.4.aE"	"Q4"
15	1	0	"27.4.aE"	"Q4"
1	2	0.0976899336613	"27.4.aE"	"Q4"
2	2	0.131021802656	"27.4.aE"	"Q4"
3	2	0.151630279644	"27.4.aE"	"Q4"
4	2	0.163979338647	"27.4.aE"	"Q4"
5	2	0.171267603311	"27.4.aE"	"Q4"
6	2	0.175534736697	"27.4.aE"	"Q4"
7	2	0.178022079462	"27.4.aE"	"Q4"
8	2	0.179468381547	"27.4.aE"	"Q4"
9	2	0.180308168791	"27.4.aE"	"Q4"
10	2	0.180795391658	"27.4.aE"	"Q4"
11	2	0	"27.4.aE"	"Q4"
12	2	0	"27.4.aE"	"Q4"
13	2	0	"27.4.aE"	"Q4"
14	2	0	"27.4.aE"	"Q4"
15	2	0	"27.4.aE"	"Q4"
1	3	0.105718668434	"27.4.aE"	"Q4"
2	3	0.144489678545	"27.4.aE"	"Q4"
3	3	0.168537713098	"27.4.aE"	"Q4"
4	3	0.182874665858	"27.4.aE"	"Q4"
5	3	0.19126059672	"27.4.aE"	"Q4"
6	3	0.196117042813	"27.4.aE"	"Q4"
7	3	0.198914289618	"27.4.aE"	"Q4"
8	3	0.200520612382	"27.4.aE"	"Q4"
9	3	0.201441479753	"27.4.aE"	"Q4"
10	3	0.201968883372	"27.4.aE"	"Q4"
11	3	0	"27.4.aE"	"Q4"
12	3	0	"27.4.aE"	"Q4"
13	3	0	"27.4.aE"	"Q4"
14	3	0	"27.4.aE"	"Q4"
15	3	0	"27.4.aE"	"Q4"
1	4	0.100961528779	"27.4.aE"	"Q4"
2	4	0.135996089746	"27.4.aE"	"Q4"
3	4	0.15739060351	"27.4.aE"	"Q4"
4	4	0.17000373219	"27.4.aE"	"Q4"
5	4	0.177315328006	"27.4.aE"	"Q4"
6	4	0.181516684853	"27.4.aE"	"Q4"
7	4	0.18391940294	"27.4.aE"	"Q4"
8	4	0.185289886856	"27.4.aE"	"Q4"
9	4	0.186070445586	"27.4.aE"	"Q4"
10	4	0.186514643796	"27.4.aE"	"Q4"
11	4	0	"27.4.aE"	"Q4"
12	4	0	"27.4.aE"	"Q4"
13	4	0	"27.4.aE"	"Q4"
14	4	0.187039124681	"27.4.aE"	"Q4"
15	4	0.187065528002	"27.4.aE"	"Q4"
