"Age"	"Iteration"	"MeanIndividualWeight"
1	1	0.216446198471
2	1	0.284278249806
3	1	0.341917022115
4	1	0.384392713654
5	1	0.410391673234
6	1	0.444461213721
7	1	0.466386603217
8	1	0.475211001327
9	1	0.488939467353
10	1	0.509226855453
11	1	0.507584376388
12	1	0.51539112189
1	2	0.22116215511
2	2	0.290482655934
3	2	0.344921119292
4	2	0.387471728663
5	2	0.420165309283
6	2	0.445821813087
7	2	0.466536465505
8	2	0.48625709769
9	2	0.498705435355
10	2	0.509434895074
11	2	0.520745271832
12	2	0.522678691294
1	3	0.220518447473
2	3	0.28739583682
3	3	0.339503019022
4	3	0.38205279684
5	3	0.413571923727
6	3	0.438797043111
7	3	0.460285761051
8	3	0.477621206194
9	3	0.487289420216
10	3	0.503716357601
11	3	0.510397404863
12	3	0.518580094651
1	4	0.222830088084
2	4	0.290063111764
3	4	0.341197682062
4	4	0.383660262216
5	4	0.41514424182
6	4	0.44020448623
7	4	0.461813503231
8	4	0.479865994822
9	4	0.494393215187
10	4	0.50466914427
11	4	0.514751054656
12	4	0.523113906035
1	5	0.220260980717
2	5	0.287190019756
3	5	0.339659330894
4	5	0.381059002252
5	5	0.414462551356
6	5	0.44189315331
7	5	0.463293275922
8	5	0.481744633802
9	5	0.497035424133
10	5	0.510380508977
11	5	0.520236463771
12	5	0.529621408489
1	6	0.219135096005
2	6	0.286558530843
3	6	0.339429373453
4	6	0.380908443692
5	6	0.414996990098
6	6	0.442121505197
7	6	0.463965947898
8	6	0.483107276079
9	6	0.498375348842
10	6	0.511071312771
11	6	0.520840223573
12	6	0.530449290481
1	7	0.224150745205
2	7	0.291042238483
3	7	0.341911272972
4	7	0.3814470983
5	7	0.414574485228
6	7	0.440592216389
7	7	0.460995924512
8	7	0.478483622406
9	7	0.493287243643
10	7	0.503247974977
11	7	0.518436658619
12	7	0.525296879155
1	8	0.223616905542
2	8	0.289424692687
3	8	0.340862430688
4	8	0.381644473006
5	8	0.413938894419
6	8	0.439524134203
7	8	0.462172565363
8	8	0.479277727757
9	8	0.493493929348
10	8	0.506057394704
11	8	0.516156386093
12	8	0.523761080588
1	9	0.220313812431
2	9	0.289388346195
3	9	0.341818438133
4	9	0.383133981337
5	9	0.414463955046
6	9	0.438917480476
7	9	0.463009747048
8	9	0.480789777276
9	9	0.491609900234
10	9	0.502153932327
11	9	0.51440327428
12	9	0.520804538935
1	10	0.130537334986
2	10	0.236731756011
3	10	0.322540680893
4	10	0.350262885096
5	10	0.373666136764
6	10	0.352222313995
7	10	0.385810631092
8	10	0.409961220006
9	10	0.346085829022
10	10	0.456424670071
11	10	0.316489266733
12	10	0.372018930264
1	11	0.228656883822
2	11	0.290931928934
3	11	0.344272842252
4	11	0.385361360428
5	11	0.41911931983
6	11	0.446278265951
7	11	0.466657675824
8	11	0.485155154968
9	11	0.49893477434
10	11	0.5103492327
11	11	0.518876516821
12	11	0.526617673256
1	12	0.210456002305
2	12	0.270534895844
3	12	0.302693931492
4	12	0.361476498842
5	12	0.394332052609
6	12	0.407912279139
7	12	0.438494741929
8	12	0.424635048618
9	12	0.459172448485
10	12	0.484477900735
11	12	0.473056456502
12	12	0.504026667188
1	13	0.200591659326
2	13	0.272852650251
3	13	0.326654276934
4	13	0.36798868292
5	13	0.394464091009
6	13	0.420240703496
7	13	0.440503181922
8	13	0.449940377214
9	13	0.458050013771
10	13	0.472998613943
11	13	0.465547783572
12	13	0.499235375512
1	14	0.215212740129
2	14	0.288323520414
3	14	0.343378669932
4	14	0.385847670611
5	14	0.418202245994
6	14	0.44415415655
7	14	0.465622107685
8	14	0.486404348877
9	14	0.501332685763
10	14	0.510489636366
11	14	0.518038988012
12	14	0.525943338486
1	15	0.198978055351
2	15	0.243225008061
3	15	0.292585111853
4	15	0.303549372465
5	15	0.335307175713
6	15	0.370760579795
7	15	0.385919751858
8	15	0.397570961795
9	15	0.443227464278
10	15	0.388036445341
11	15	0.413315699971
12	15	0.438944169212
1	16	0.211781413995
2	16	0.282537710649
3	16	0.331983399886
4	16	0.37651508665
5	16	0.406202394134
6	16	0.425909594214
7	16	0.44768265231
8	16	0.468380760755
9	16	0.476972406676
10	16	0.479261901525
11	16	0.492495076161
12	16	0.50265440575
1	17	0.216317660926
2	17	0.285856624446
3	17	0.337425863631
4	17	0.378123567351
5	17	0.410596015355
6	17	0.436789043281
7	17	0.458433648634
8	17	0.47280009492
9	17	0.484748912992
10	17	0.498764300418
11	17	0.506505120473
12	17	0.512798992324
1	18	0.221746236551
2	18	0.290922507645
3	18	0.344421214436
4	18	0.386869612202
5	18	0.418609714912
6	18	0.445832409251
7	18	0.464459722131
8	18	0.483742738791
9	18	0.501155403407
10	18	0.508410172654
11	18	0.519568840402
12	18	0.528002556665
1	19	0.217572803462
2	19	0.285496238083
3	19	0.337944879641
4	19	0.380003293804
5	19	0.413059191044
6	19	0.439536100777
7	19	0.461602127117
8	19	0.476692652227
9	19	0.492946780404
10	19	0.505790624962
11	19	0.510665666774
12	19	0.524301047438
1	20	0.225714282961
2	20	0.288275629264
3	20	0.343959194875
4	20	0.384607467882
5	20	0.417128551976
6	20	0.440983878426
7	20	0.465335365254
8	20	0.478900041087
9	20	0.495082976189
10	20	0.50286046959
11	20	0.51056620048
12	20	0.520978556947
1	21	0.224243248033
2	21	0.291726293346
3	21	0.349528819689
4	21	0.384703414645
5	21	0.416329807204
6	21	0.445513162545
7	21	0.463041067408
8	21	0.487310943854
9	21	0.498317181429
10	21	0.52634184007
11	21	0.515680230559
12	21	0.53538310466
1	22	0.225016432711
2	22	0.290115737595
3	22	0.347610580593
4	22	0.390203988851
5	22	0.424947013267
6	22	0.453169013803
7	22	0.472338432833
8	22	0.488667218299
9	22	0.498957018011
10	22	0.508246175296
11	22	0.517493717015
12	22	0.541709450053
1	23	0.216306933666
2	23	0.288783947335
3	23	0.344402270797
4	23	0.3895960726
5	23	0.421823750162
6	23	0.449456527216
7	23	0.471122041372
8	23	0.488638478827
9	23	0.500809446114
10	23	0.512880304873
11	23	0.52699660584
12	23	0.530055809475
1	24	0.219317729982
2	24	0.288194602026
3	24	0.343023740452
4	24	0.384416413102
5	24	0.414464169255
6	24	0.441273754117
