"Age"	"Iteration"	"MeanIndividualLength"
1	1	28.475364929412
2	1	31.435744715843
3	1	33.397167795636
4	1	34.821126135864
5	1	35.835705094994
6	1	36.664003717494
7	1	37.289441797071
8	1	37.79390255079
9	1	38.185169939601
10	1	0
11	1	38.771099542213
12	1	38.965545819584
1	2	28.215197905247
2	2	31.305920516907
3	2	33.351521137321
4	2	34.800662012914
5	2	35.862235060971
6	2	36.667589532179
7	2	37.277024406354
8	2	37.759889988701
9	2	38.139134861606
10	2	0
11	2	38.668728831503
12	2	38.854971645433
1	3	28.579395003922
2	3	31.415672580202
3	3	33.439321172583
4	3	34.878377967371
5	3	35.966126042655
6	3	36.778318557775
7	3	37.384309180388
8	3	37.873334523994
9	3	38.255029419478
10	3	0
11	3	38.800753871628
12	3	39.016293414002
1	4	28.57117929788
2	4	31.416074995378
3	4	33.434303759653
4	4	34.854334180619
5	4	35.916356895758
6	4	36.700021872361
7	4	37.33071514062
8	4	37.787823221524
9	4	38.203202924002
10	4	0
11	4	38.737529288097
12	4	38.923207287434
1	5	28.415487627028
2	5	31.353065848399
3	5	33.359965887522
4	5	34.779713352878
5	5	35.859890789889
6	5	36.711257281271
7	5	37.334353937201
8	5	37.818563530256
9	5	38.222701364352
10	5	0
11	5	38.843415701728
12	5	39.072331044201
1	6	28.739399189615
2	6	31.448636971156
3	6	33.395302808475
4	6	34.799927221326
5	6	35.867194485223
6	6	36.668385099867
7	6	37.308935084797
8	6	37.797052786078
9	6	38.189764182009
10	6	0
11	6	38.786130667101
12	6	39.002191234963
1	7	29.169562456328
2	7	31.434516971977
3	7	33.421805168752
4	7	34.846970877229
5	7	35.908816977243
6	7	36.739405328279
7	7	37.371490635701
8	7	37.874328881783
9	7	38.286979703571
10	7	38.543187115848
11	7	38.871331103598
12	7	39.118902290773
1	8	28.504509520295
2	8	31.459899093256
3	8	33.452359037909
4	8	34.849881105783
5	8	35.911509715007
6	8	36.743566636101
7	8	37.36227643997
8	8	37.882170639157
9	8	38.271500375862
10	8	0
11	8	38.823921146873
12	8	39.067388371848
1	9	29.120255707648
2	9	31.484301361448
3	9	33.456836397663
4	9	34.865609856927
5	9	35.93302106804
6	9	36.733249130676
7	9	37.363589904361
8	9	37.833453021821
9	9	38.231334846232
10	9	0
11	9	38.775462767225
12	9	38.963074280896
1	10	28.414378035815
2	10	31.398785791985
3	10	33.347086987033
4	10	34.779412213806
5	10	35.829066123599
6	10	36.675515761818
7	10	37.209947490828
8	10	37.603055230682
9	10	38.143021340976
10	10	0
11	10	38.611390904302
12	10	38.875821529499
1	11	28.509642598591
2	11	31.497195209214
3	11	33.487734844013
4	11	34.909023524308
5	11	35.949164823944
6	11	36.76321497708
7	11	37.367276238934
8	11	37.842393058442
9	11	38.219836859076
10	11	0
11	11	38.765143086084
12	11	38.957709550997
1	12	28.390782645629
2	12	31.473493498736
3	12	33.460180137854
4	12	34.887300737889
5	12	35.954163489986
6	12	36.768297407113
7	12	37.395967088416
8	12	37.891445003009
9	12	38.29386147752
10	12	0
11	12	38.863086288687
12	12	39.067252589214
1	13	28.596925395116
2	13	31.362539834368
3	13	33.39967133347
4	13	34.822067836562
5	13	35.912035676148
6	13	36.747075649494
7	13	37.380990680182
8	13	37.885417274631
9	13	38.275042746859
10	13	38.564985568129
11	13	38.846899377584
12	13	39.047275226974
1	14	28.518886791884
2	14	31.554835749132
3	14	33.492840762785
4	14	34.902139704734
5	14	36.038055943049
6	14	36.87282840262
7	14	37.403376845476
8	14	37.905501205662
9	14	38.297475344444
10	14	0
11	14	38.890575054825
12	14	39.182445256254
1	15	28.590493682395
2	15	31.504542682693
3	15	33.497517571299
4	15	34.907929231025
5	15	35.958852874695
6	15	36.763693088986
7	15	37.387483882803
8	15	37.881195767947
9	15	38.265129340357
10	15	38.55882737018
11	15	38.825027883973
12	15	39.046572986605
1	16	28.474337863231
2	16	31.467098311864
3	16	33.453989536374
4	16	34.899951642064
5	16	35.926705002652
6	16	36.747698865725
7	16	37.364385367606
8	16	37.860273215558
9	16	38.23141129761
10	16	38.432810550629
11	16	38.791347363406
12	16	38.990643141569
1	17	27.106882920972
2	17	31.415734941822
3	17	33.473516826129
4	17	34.934857788902
5	17	35.976021348785
6	17	36.781750334805
7	17	37.441271987025
8	17	37.908190211513
9	17	38.263506995146
10	17	38.400467899622
11	17	38.827277860448
12	17	39.027878637858
1	18	28.231197079302
2	18	31.478830172223
3	18	33.629172082957
4	18	35.063718015488
5	18	36.051240418693
6	18	36.966623591029
7	18	37.652001782978
8	18	38.003975109282
9	18	38.625766102422
10	18	38.652857866983
11	18	39.164176093701
12	18	38.98350129577
1	19	28.300974114729
2	19	30.259310722822
3	19	32.9344361377
4	19	34.603808519163
5	19	35.411154674977
6	19	35.599783862159
7	19	36.786285368593
8	19	37.30469757545
9	19	36.443190789761
10	19	38.437763946577
11	19	37.423965138336
12	19	37.988429038048
1	20	28.316453734453
2	20	31.492119281076
3	20	33.496639095378
4	20	34.97811978097
5	20	36.06374365707
6	20	36.864470925006
7	20	37.417214466537
8	20	38.014518502553
9	20	38.34243698548
10	20	38.805179105461
11	20	38.860837016993
12	20	38.994979897309
1	21	28.28959370888
2	21	31.323024461788
3	21	33.392845270694
4	21	34.872991959292
5	21	35.943963188087
6	21	36.767533408963
7	21	37.406597462865
8	21	37.902726332995
9	21	38.293346917865
10	21	38.589427280315
11	21	38.851103712583
12	21	39.045637906
1	22	28.311869939268
2	22	31.443290187856
3	22	33.503957681865
4	22	34.925304001948
5	22	35.989800863108
6	22	36.816225412445
7	22	37.423613895709
8	22	37.895633143017
9	22	38.292661719171
10	22	38.55599550656
11	22	38.827015941976
12	22	39.008793073137
1	23	27.731922594989
2	23	31.228179831446
3	23	33.300348594815
4	23	34.774973373952
5	23	35.849475131227
6	23	36.703433229752
7	23	37.335014904437
8	23	37.818106795543
9	23	38.223371078829
10	23	38.066286114567
11	23	38.743279085438
12	23	39.033565861739
1	24	28.871168937552
2	24	31.497459947944
3	24	33.469668797681
4	24	34.864770033791
5	24	35.904195043612
6	24	36.721258093145
7	24	37.344422186104
8	24	37.832242644748
9	24	38.21566240099
10	24	38.556952033717
11	24	38.79333810331
12	24	38.977162807078
1	25	29.188191911609
2	25	31.51703226793
3	25	33.441007266593
4	25	34.864714073475
5	25	35.937218900365
6	25	36.763470584648
7	25	37.536433023152
8	25	38.005668652134
9	25	38.252160102967
