"Age"	"Iteration"	"MeanIndividualWeight"
1	1	0.215777813674
2	1	0.284577344883
3	1	0.337375632893
4	1	0.378883374947
5	1	0.410213016159
6	1	0.437654160687
7	1	0.459198408764
8	1	0.477159933517
9	1	0.489988068997
10	1	0
11	1	0.512430507517
12	1	0.518800633412
1	2	0.21007197823
2	2	0.281944056856
3	2	0.336989725321
4	2	0.379519695468
5	2	0.413356322062
6	2	0.440238534338
7	2	0.460698957468
8	2	0.47622006093
9	2	0.491141933863
10	2	0
11	2	0.509738861241
12	2	0.515990854658
1	3	0.213288533484
2	3	0.285347594278
3	3	0.341885912182
4	3	0.385927683855
5	3	0.419487532368
6	3	0.445050411675
7	3	0.467779373742
8	3	0.486234870889
9	3	0.495620881357
10	3	0
11	3	0.518158491495
12	3	0.525669374558
1	4	0.203712787955
2	4	0.283182194221
3	4	0.339251869237
4	4	0.38201437721
5	4	0.41551360034
6	4	0.443695147237
7	4	0.462567965792
8	4	0.478252878511
9	4	0.493817080643
10	4	0
11	4	0.51191274539
12	4	0.520732657752
1	5	0.199942963801
2	5	0.274708825722
3	5	0.329738723924
4	5	0.375329354967
5	5	0.409489304034
6	5	0.433793845754
7	5	0.460078607478
8	5	0.472205885181
9	5	0.488383418431
10	5	0
11	5	0.504878657434
12	5	0.511905852282
1	6	0.236929326899
2	6	0.28864892257
3	6	0.338244386647
4	6	0.381082929539
5	6	0.421043330857
6	6	0.440708503392
7	6	0.466988109128
8	6	0.487612939102
9	6	0.494705558849
10	6	0
11	6	0.513616643231
12	6	0.534865901823
1	7	0.218727128824
2	7	0.284278888366
3	7	0.338493434759
4	7	0.381585563356
5	7	0.415646677701
6	7	0.442167001482
7	7	0.464823321594
8	7	0.482492769416
9	7	0.498803627713
10	7	0.485748990188
11	7	0.516787264561
12	7	0.528016705491
1	8	0.215030059483
2	8	0.287008515284
3	8	0.342998135994
4	8	0.385946700907
5	8	0.420002073426
6	8	0.445908185143
7	8	0.469825244693
8	8	0.487896915321
9	8	0.503808700843
10	8	0
11	8	0.521004734259
12	8	0.528859244102
1	9	0.220518229425
2	9	0.287180723499
3	9	0.341352439455
4	9	0.383950673953
5	9	0.416732887881
6	9	0.443884374829
7	9	0.464682437086
8	9	0.48367237513
9	9	0.495721321374
10	9	0
11	9	0.514869883504
12	9	0.523319714174
1	10	0.214841703507
2	10	0.285022771333
3	10	0.338403488441
4	10	0.380397901671
5	10	0.413516077019
6	10	0.440813659486
7	10	0.456543881616
8	10	0.472951329073
9	10	0.493090904252
10	10	0
11	10	0.506533998572
12	10	0.517694584376
1	11	0.214859623558
2	11	0.286435270072
3	11	0.341339179279
4	11	0.383113824231
5	11	0.416553720981
6	11	0.443853544819
7	11	0.464020689153
8	11	0.478865035181
9	11	0.493790679106
10	11	0
11	11	0.512397563796
12	11	0.521597678292
1	12	0.213388193541
2	12	0.284484294495
3	12	0.33896020648
4	12	0.381676583924
5	12	0.414841738855
6	12	0.442119438169
7	12	0.463791229772
8	12	0.481458841487
9	12	0.495867543894
10	12	0
11	12	0.515781000461
12	12	0.524068923591
1	13	0.212970747495
2	13	0.281614225738
3	13	0.336765912724
4	13	0.380091545798
5	13	0.413681366475
6	13	0.438887452037
7	13	0.461927318972
8	13	0.478863137991
9	13	0.493619771269
10	13	0.509769345676
11	13	0.514306634202
12	13	0.52372668921
1	14	0.216086973577
2	14	0.287570538005
3	14	0.341717475154
4	14	0.385044440941
5	14	0.421231218246
6	14	0.447941960661
7	14	0.468781978565
8	14	0.486263590688
9	14	0.497036459838
10	14	0
11	14	0.522796933784
12	14	0.534367166767
1	15	0.215538566194
2	15	0.286582005349
3	15	0.340712351289
4	15	0.382226213195
5	15	0.415937978583
6	15	0.442329394138
7	15	0.464361985194
8	15	0.483111502834
9	15	0.494798418148
10	15	0.508350191073
11	15	0.513957538439
12	15	0.526524375839
1	16	0.213128763507
2	16	0.283839656984
3	16	0.338876383709
4	16	0.382254515611
5	16	0.414770442674
6	16	0.442220976877
7	16	0.463674197673
8	16	0.482366203074
9	16	0.493471207795
10	16	0.486957795664
11	16	0.512852210875
12	16	0.522382190317
1	17	0.178163921776
2	17	0.283562952081
3	17	0.340406540321
4	17	0.384737655471
5	17	0.417406846901
6	17	0.443928712909
7	17	0.469912346137
8	17	0.484851724002
9	17	0.499045970836
10	17	0.490076917691
11	17	0.516140350443
12	17	0.527255391942
1	18	0.210789845054
2	18	0.287198837234
3	18	0.346917809661
4	18	0.391147448978
5	18	0.421312307243
6	18	0.452963932966
7	18	0.477150400513
8	18	0.489894839646
9	18	0.512570155357
10	18	0.515400606101
11	18	0.535312611445
12	18	0.522960959218
1	19	0.209862985383
2	19	0.262692462424
3	19	0.32927505602
4	19	0.376659520702
5	19	0.405014943319
6	19	0.414872745319
7	19	0.448890422165
8	19	0.46994408681
9	19	0.445162071122
10	19	0.50331605228
11	19	0.477526321584
12	19	0.49611395106
1	20	0.208585016365
2	20	0.286811424597
3	20	0.341012161564
4	20	0.386323580515
5	20	0.420501092341
6	20	0.448638518313
7	20	0.466557507734
8	20	0.492063860565
9	20	0.501459415502
10	20	0.515041442588
11	20	0.521063516187
12	20	0.525178632709
1	21	0.205900691622
2	21	0.279295361579
3	21	0.333378823522
4	21	0.374570583895
5	21	0.412423870236
6	21	0.439264269103
7	21	0.460309494047
8	21	0.477316335775
9	21	0.491493519268
10	21	0.496389870065
11	21	0.510027220016
12	21	0.518045460633
1	22	0.211138289353
2	22	0.284272207984
3	22	0.33994297856
4	22	0.383194603076
5	22	0.417479921272
6	22	0.443833638022
7	22	0.465770454704
8	22	0.483883316688
9	22	0.494805439581
10	22	0.508976352733
11	22	0.514874496702
12	22	0.522185877435
1	23	0.197620633491
2	23	0.280006515689
3	23	0.335791004534
4	23	0.379723709635
5	23	0.413269953603
6	23	0.441954939754
7	23	0.463678126103
8	23	0.480125701669
9	23	0.493999764658
10	23	0.482399364561
11	23	0.514108576626
12	23	0.5260765115
1	24	0.221201870543
2	24	0.288966163608
3	24	0.342523342121
4	24	0.38609040638
5	24	0.417878161515
6	24	0.445098451272
7	24	0.467170425043
8	24	0.48390339616
9	24	0.494384114446
10	24	0.513887733875
11	24	0.518643908065
12	24	0.523510590481
1	25	0.224200599878
2	25	0.284568214056
3	25	0.337132000335
4	25	0.380611553003
5	25	0.413900434932
6	25	0.441745189326
7	25	0.468424549141
8	25	0.485448444294
9	25	0.493975162601
10	25	0.509371037501
11	25	0.517335960644
12	25	0.525454960242
1	26	0.226164896907
2	26	0.292793637682
3	26	0.347845065672
4	26	0.392057386722
5	26	0.437003891524
6	26	0.457980503305
7	26	0.475397632236
8	26	0.492510335084
9	26	0.519273159763
10	26	0.602002950067
11	26	0.537988248778
12	26	0.546460483012
1	27	0.219880716803
2	27	0.292589958161
3	27	0.345068776438
4	27	0.393050251602
5	27	0.427189407741
6	27	0.449939178461
7	27	0.476141461106
8	27	0.488985643923
9	27	0.506910962101
10	27	0.531521768415
11	27	0.52364219433
12	27	0.539890858484
1	28	0.210338040987
2	28	0.284064799751
3	28	0.336688669551
4	28	0.377389601042
5	28	0.409229857825
6	28	0.437337059956
7	28	0.457639741148
8	28	0.477623343744
9	28	0.482576094693
10	28	0.510500905216
11	28	0.505174722932
12	28	0.514581432605
1	29	0.212857487382
2	29	0.285553307013
3	29	0.339344303481
4	29	0.383166864226
5	29	0.415725644651
6	29	0.443780773495
7	29	0.467176471583
8	29	0.480579474929
9	29	0.494651236047
10	29	0.516444895516
11	29	0.517858957936
12	29	0.528438211282
1	30	0.210060134041
2	30	0.280570146473
3	30	0.335516577614
4	30	0.378850557063
5	30	0.41267469603
6	30	0.440480214539
7	30	0.460786066548
8	30	0.481460283483
9	30	0.494398092482
10	30	0.511151582392
11	30	0.515579148917
12	30	0.525556599533
1	31	0.213989991019
2	31	0.285015740647
3	31	0.339620740355
4	31	0.383846385375
5	31	0.417743757457
6	31	0.445399293425
7	31	0.467189516153
8	31	0.486936729511
9	31	0.501156531664
10	31	0
11	31	0.522541105464
12	31	0.534007746482
1	32	0.210233238316
2	32	0.283559029131
3	32	0.338083573223
4	32	0.381523196495
5	32	0.416008740542
6	32	0.441378168813
