"Age"	"Iteration"	"MeanIndividualLength"
1	1	30.295005936672
2	1	32.154665099304
3	1	33.634344512042
4	1	34.71110175486
5	1	35.670113423678
6	1	36.429502582059
7	1	37.069441758197
8	1	37.6873765996
9	1	38.180508626576
10	1	38.643154341007
11	1	39.066983173192
12	1	39.437079899506
1	2	30.634454355735
2	2	32.271321892605
3	2	33.632489345521
4	2	34.709222175928
5	2	35.596130551095
6	2	36.34472380595
7	2	36.982241326079
8	2	37.533117378362
9	2	38.032348709202
10	2	38.47308114128
11	2	38.908730256843
12	2	39.245506042227
1	3	30.465449081327
2	3	32.105912256532
3	3	33.452197469626
4	3	34.66059174182
5	3	35.563081877853
6	3	36.327743495063
7	3	36.931661384275
8	3	37.582666672251
9	3	38.06234182729
10	3	38.486680209638
11	3	38.953691918707
12	3	39.378441239003
1	4	30.226861617226
2	4	32.179713654447
3	4	33.568826875578
4	4	34.698999530932
5	4	35.644176409634
6	4	36.357342199057
7	4	37.023103265772
8	4	37.614032153658
9	4	38.139917031588
10	4	38.62237443656
11	4	39.044098187376
12	4	39.41497661822
1	5	30.546437806729
2	5	32.394999387649
3	5	33.745193814881
4	5	34.800108666965
5	5	35.701287055022
6	5	36.409800466542
7	5	37.051399922382
8	5	37.579475675204
9	5	38.064179638701
10	5	38.484800316881
11	5	38.90419869998
12	5	39.261472349383
1	6	30.504252941435
2	6	32.267159678212
3	6	33.679696197709
4	6	34.727790143483
5	6	35.666369008185
6	6	36.370954791407
7	6	37.043035375528
8	6	37.591257924049
9	6	38.104732765213
10	6	38.565184122123
11	6	38.987766317554
12	6	39.33230797969
1	7	30.148485602034
2	7	32.203811087322
3	7	33.608212148109
4	7	34.688361399205
5	7	35.586049608163
6	7	36.345565246037
7	7	36.997042503067
8	7	37.573422989137
9	7	38.079942876195
10	7	38.541364521769
11	7	38.969761968906
12	7	39.341300407574
1	8	30.499729123369
2	8	32.203386421549
3	8	33.607519002502
4	8	34.728044838901
5	8	35.635767365244
6	8	36.318958373502
7	8	37.003626051975
8	8	37.569104185292
9	8	38.088507221863
10	8	38.544152693293
11	8	38.954464521129
12	8	39.324376394184
1	9	30.339366413227
2	9	32.275400291269
3	9	33.624068064747
4	9	34.698523764638
5	9	35.583246846307
6	9	36.313615248057
7	9	36.977125715896
8	9	37.522414094797
9	9	38.034449138101
10	9	38.517924353015
11	9	38.940116960751
12	9	39.28599731442
1	10	30.334839318599
2	10	32.313819142549
3	10	33.707848527284
4	10	34.803815088771
5	10	35.660811480127
6	10	36.441789320266
7	10	37.121678212918
8	10	37.728551481504
9	10	38.190521331807
10	10	38.664353796839
11	10	39.062928054105
12	10	39.46519983123
1	11	30.452359115682
2	11	32.198939831992
3	11	33.585453731763
4	11	34.667706922181
5	11	35.579719689363
6	11	36.296496829193
7	11	36.944882099823
8	11	37.533849347266
9	11	38.026909071487
10	11	38.461589100357
11	11	38.902932574748
12	11	39.244218958513
1	12	30.367306588003
2	12	32.176520011923
3	12	33.600167331529
4	12	34.658526156407
5	12	35.554882729605
6	12	36.300842785141
7	12	36.965455620938
8	12	37.544361401723
9	12	38.01242793134
10	12	38.49587483699
11	12	38.907183846414
12	12	39.311692217319
1	13	30.369440882747
2	13	32.23676247574
3	13	33.565953569195
4	13	34.678413624086
5	13	35.595322447036
6	13	36.317338402922
7	13	36.992531846507
8	13	37.560742075518
9	13	38.048452650615
10	13	38.513800190385
11	13	38.946655220753
12	13	39.30604289718
1	14	30.394125716429
2	14	32.139002824952
3	14	33.38733565146
4	14	34.546213858155
5	14	35.482523791361
6	14	36.170031976715
7	14	36.835259792938
8	14	37.478892194882
9	14	37.827029991566
10	14	38.389966558882
11	14	38.826531052226
12	14	39.164973582978
1	15	30.42152736603
2	15	32.32314975404
3	15	33.701303871103
4	15	34.755617460508
5	15	35.63241216981
6	15	36.376853668281
7	15	37.018531959196
8	15	37.583523695315
9	15	38.091210085933
10	15	38.550511890774
11	15	38.964046159778
12	15	39.345700918849
1	16	30.149792177894
2	16	32.21161129637
3	16	33.575656503131
4	16	34.668577107307
5	16	35.61578206709
6	16	36.395338889717
7	16	37.025690838861
8	16	37.606245531323
9	16	38.147931403469
10	16	38.619038457737
11	16	39.044446799234
12	16	39.461774592886
1	17	30.391802213575
2	17	32.323464196428
3	17	33.671870970937
4	17	34.725521369318
5	17	35.654163784502
6	17	36.397475670664
7	17	36.989288259316
8	17	37.585848763504
9	17	38.100006043548
10	17	38.572963293343
11	17	38.986290774824
12	17	39.358131244694
1	18	30.410076281704
2	18	32.317954973292
3	18	33.71523671704
4	18	34.767102201134
5	18	35.70810829269
6	18	36.43775323498
7	18	37.069211439712
8	18	37.674208587498
9	18	38.171715578629
10	18	38.620541983827
11	18	39.05238124654
12	18	39.425609122692
1	19	30.343309682668
2	19	32.258455277477
3	19	33.602419428003
4	19	34.664659061794
5	19	35.536359400978
6	19	36.262429115365
7	19	36.917373705055
8	19	37.475323862458
9	19	37.964245120226
10	19	38.424605618925
11	19	38.851180594034
12	19	39.219056865584
1	20	30.267068862081
2	20	32.225292070995
3	20	33.530876318446
4	20	34.677766447421
5	20	35.497976601728
6	20	36.249657045619
7	20	36.884735910172
8	20	37.443035800238
9	20	37.978991690255
10	20	38.445236409707
11	20	38.878134052598
12	20	39.192483539741
1	21	30.488450019392
2	21	32.241211106009
3	21	33.603543485318
4	21	34.668300600551
5	21	35.54786783606
6	21	36.318748092389
7	21	36.921239341587
8	21	37.490575302998
9	21	38.010776006789
10	21	38.458066796089
11	21	38.879870299346
12	21	39.250908744895
1	22	30.482831184513
2	22	32.32345385666
3	22	33.673585273839
4	22	34.754314201204
5	22	35.656287371234
6	22	36.385669299995
7	22	37.041243771286
8	22	37.607557423429
9	22	38.130226850718
10	22	38.576593510939
11	22	39.026886633676
12	22	39.394370863697
1	23	30.287083903597
2	23	32.258483932954
3	23	33.63984011224
4	23	34.721408839021
5	23	35.6101667226
6	23	36.371074235726
7	23	36.995731983415
8	23	37.569360806882
9	23	38.059812653365
10	23	38.537529932023
11	23	38.968406904581
12	23	39.33722884735
1	24	30.542972994348
2	24	32.358267982411
3	24	33.732591546366
4	24	34.803534314806
5	24	35.687381864353
6	24	36.409737331805
7	24	37.043266703368
8	24	37.634211719805
9	24	38.118059551028
10	24	38.576356068837
11	24	38.997699444075
12	24	39.353825210693
1	25	30.632633319423
2	25	32.23549698796
