"Age"	"Iteration"	"MeanIndividualLength"
1	1	21.86850359297
2	1	25.547426753678
3	1	27.318647264419
4	1	28.32190511537
5	1	28.775512586648
6	1	28.975767399408
7	1	29.176777975644
8	1	29.276709013819
9	1	29.305462614945
10	1	29.208363125726
11	1	29.341454142033
12	1	29.260573023443
13	1	29.345457950203
14	1	29.355905915639
15	1	29.355695300857
1	2	21.107180237645
2	2	24.798257531087
3	2	26.663626370149
4	2	27.837661810305
5	2	28.325668164102
6	2	28.562615207686
7	2	28.764326324772
8	2	28.903326747706
9	2	28.994684953388
10	2	28.927603539534
11	2	29.062729927068
12	2	29.037733038976
13	2	29.084106449472
14	2	29.068958005757
15	2	29.08209652859
1	3	21.645127149367
2	3	25.19732783401
3	3	26.897480648133
4	3	28.156898485253
5	3	28.726671825426
6	3	28.799655967687
7	3	29.067467326192
8	3	29.186727539375
9	3	29.260534929433
10	3	29.160156418812
11	3	29.252881822427
12	3	29.27813607432
13	3	29.34392315214
14	3	29.312128058911
15	3	29.29314320301
1	4	21.661227638521
2	4	25.207640085758
3	4	26.894222464024
4	4	27.983859250508
5	4	28.444668768243
6	4	28.608153161492
7	4	28.820693121196
8	4	28.828294838148
9	4	28.95248541616
10	4	28.915761098603
11	4	28.988899423469
12	4	28.98720508658
13	4	28.994920516243
14	4	28.994059030448
15	4	29.002772657125
1	5	21.161046702763
2	5	25.250774221581
3	5	27.074030712021
4	5	27.859442924523
5	5	28.284080102776
6	5	28.581416364582
7	5	28.65122868468
8	5	28.675927581618
9	5	28.723682975226
10	5	28.749834726898
11	5	28.739823729747
12	5	28.736016052169
13	5	28.737084524353
14	5	28.737932248869
15	5	28.740701539297
1	6	21.2413152162
2	6	25.189773442479
3	6	26.952016804148
4	6	27.900706318504
5	6	28.326143670185
6	6	28.582381710896
7	6	28.752130807599
8	6	28.820557791647
9	6	28.830045233188
10	6	28.81520317275
11	6	28.903704323635
12	6	28.822386690428
13	6	28.842548254799
14	6	28.846829335415
15	6	28.867643731723
