"Age"	"Iteration"	"MeanIndividualLength"
1	1	22.430381746563
2	1	23.742199032025
3	1	24.932129088718
4	1	26.00705526167
5	1	26.580688591896
6	1	26.595327147143
7	1	27.548875096592
8	1	27.694455287747
9	1	28.438405044334
10	1	28.645527341126
11	1	29.098328773081
12	1	30.15896335705
13	1	30.002278083909
14	1	30.212155610175
15	1	30.877902093629
1	2	22.664876010961
2	2	24.020496461955
3	2	25.267845572625
4	2	26.400957899106
5	2	27.054717489925
6	2	27.295251005254
7	2	27.790624503033
8	2	28.596915578762
9	2	29.11308416233
10	2	29.394682283267
11	2	30.408412661183
12	2	31.154135800404
13	2	30.752381281373
14	2	31.377517300397
15	2	32.320736594605
1	3	22.871915252481
2	3	24.030383334364
3	3	25.294849147259
4	3	26.728410202797
5	3	26.811083631055
6	3	27.107638989514
7	3	27.646997841778
8	3	28.184627094251
9	3	28.890459007404
10	3	29.150144325664
11	3	29.672262472126
12	3	30.314682185656
13	3	30.250955714902
14	3	30.815315302433
15	3	32.211533457437
1	4	22.454621950983
2	4	24.070885226814
3	4	25.227052775942
4	4	26.424949719771
5	4	26.735673321248
6	4	27.131384301151
7	4	27.756195764039
8	4	28.054457535809
9	4	28.781488731242
10	4	29.153804369476
11	4	29.477400425915
12	4	30.110198778309
13	4	30.113860914175
14	4	30.638333227354
15	4	31.481637827984
1	5	22.902205150993
2	5	24.34875887798
3	5	25.600724603833
4	5	26.626737352288
5	5	27.311675943439
6	5	27.683938409786
7	5	28.125491756152
8	5	28.849445185022
9	5	29.399894908582
10	5	29.859150247495
11	5	30.415850962578
12	5	30.820727681923
13	5	30.832999240922
14	5	31.49089795847
15	5	31.568341820171
1	6	22.453673732472
2	6	23.938866760553
3	6	25.277374092558
4	6	26.567027491189
5	6	26.894200306979
6	6	27.067920522881
7	6	27.703842310625
8	6	28.391651355858
9	6	29.00355687194
10	6	29.515327938977
11	6	30.265666023444
12	6	30.53014676665
13	6	30.630846807434
14	6	31.457645152356
15	6	31.611677042212
1	7	22.547334210118
2	7	23.75713292253
3	7	25.099754858821
4	7	26.368581595479
5	7	26.698897077394
6	7	26.986018530166
7	7	27.789608980343
8	7	28.06545114038
9	7	28.734878878997
10	7	29.02553774173
11	7	29.636940876504
12	7	30.224432236244
