"Age"	"Iteration"	"MeanIndividualWeight"
1	1	0.104774936867
2	1	0.122745752989
3	1	0.141730471936
4	1	0.161759750137
5	1	0.174053696133
6	1	0.170456548242
7	1	0.193604782266
8	1	0.194847808495
9	1	0.212196625657
10	1	0.214474521828
11	1	0.22623543771
12	1	0.255809932953
13	1	0.247583450068
14	1	0.254575821784
15	1	0.260606781098
1	2	0.108569096044
2	2	0.128124754194
3	2	0.147897502893
4	2	0.17107372208
5	2	0.185040297142
6	2	0.186390502578
7	2	0.197332750959
8	2	0.21962665972
9	2	0.228134621197
10	2	0.23235696466
11	2	0.258256285448
12	2	0.282593798239
13	2	0.259146343513
14	2	0.288275591156
15	2	0.316871722017
1	3	0.107643490493
2	3	0.124773651896
3	3	0.145857539467
4	3	0.171979386843
5	3	0.17611797096
6	3	0.178594899052
7	3	0.191386682067
8	3	0.199323647858
9	3	0.220801430827
10	3	0.220015138394
11	3	0.237053794094
12	3	0.254481567227
13	3	0.249389582648
14	3	0.270056971036
15	3	0.288989206197
1	4	0.106802947541
2	4	0.128356275835
3	4	0.145614444916
4	4	0.168823754847
5	4	0.177082943981
6	4	0.178986218385
7	4	0.194594422507
8	4	0.203120048834
9	4	0.220617301373
10	4	0.226974022956
11	4	0.237056886903
12	4	0.253600775517
13	4	0.253463215147
14	4	0.248461179159
15	4	0.281438042563
1	5	0.11053620956
2	5	0.130741335641
3	5	0.150976705288
4	5	0.172580497374
5	5	0.184324033438
6	5	0.19261059002
7	5	0.20206881725
8	5	0.218383094446
9	5	0.232892116269
10	5	0.243591462495
11	5	0.25304203965
12	5	0.272765018873
13	5	0.268145568469
14	5	0.28343802916
15	5	0.281266544055
1	6	0.106439651547
2	6	0.125960259882
3	6	0.146635742779
4	6	0.171836413812
5	6	0.179666554177
6	6	0.182156660389
7	6	0.193674245196
8	6	0.209271701615
9	6	0.226020590794
10	6	0.238225914907
11	6	0.259492988935
12	6	0.258794281385
13	6	0.267974682599
14	6	0.292167574737
15	6	0.295394708863
1	7	0.107015665299
2	7	0.125246970052
3	7	0.143490586283
4	7	0.169426361993
5	7	0.174240131656
6	7	0.180904802299
7	7	0.191981857926
8	7	0.199584798672
9	7	0.220985128956
10	7	0.223134813015
11	7	0.243029092327
12	7	0.258255435602
13	7	0.264414820296
14	7	0.270217470672
15	7	0.269204267071
1	8	0.10264838219
2	8	0.124411923754
3	8	0.144421988023
4	8	0.165424670343
5	8	0.17050741444
6	8	0.179835420665
7	8	0.193275484478
8	8	0.202218784601
9	8	0.217014311507
10	8	0.226572633362
11	8	0.233725495296
12	8	0.239265314242
13	8	0.267402162293
14	8	0.267895320009
15	8	0.280237047963
1	9	0.109813377901
2	9	0.130039692658
3	9	0.146389628642
4	9	0.170247416509
5	9	0.177907204172
6	9	0.183386092387
7	9	0.196873023765
8	9	0.207071825864
9	9	0.224495311827
10	9	0.22537193597
11	9	0.236099245094
12	9	0.242709258417
13	9	0.259189718361
14	9	0.263619215523
15	9	0.280650402959
1	10	0.110019843213
2	10	0.126588285228
3	10	0.149650440234
4	10	0.173707933464
5	10	0.178522078712
6	10	0.180255222521
7	10	0.196083267924
8	10	0.207179935387
9	10	0.215825212209
10	10	0.239576478036
11	10	0.233548197531
12	10	0.242460038133
13	10	0.274023440554
14	10	0.288640649365
15	10	0.263407034417
1	11	0.106066593103
2	11	0.123371906845
3	11	0.144628774358
4	11	0.166340411905
5	11	0.170779010319
6	11	0.174682000617
7	11	0.190264190266
8	11	0.199360993402
9	11	0.216409506109
10	11	0.217718515169
11	11	0.245453594166
12	11	0.239541384688
13	11	0.255911982503
14	11	0.25305487872
15	11	0.264750967056
1	12	0.106204183236
2	12	0.122590889214
3	12	0.14185463175
4	12	0.167673340323
5	12	0.173830994284
6	12	0.181573095612
7	12	0.188122056799
8	12	0.201033671643
9	12	0.219934987313
10	12	0.227658253322
11	12	0.253758886828
12	12	0.239959935717
13	12	0.263378023074
14	12	0.258453275748
15	12	0.270526496649
1	13	0.10748028011
2	13	0.124442728688
3	13	0.145319081085
