"Age"	"Iteration"	"MeanIndividualLength"
1	1	22.793956732359
2	1	24.043435040656
3	1	25.373284964425
4	1	26.519647437985
5	1	27.137134029461
6	1	27.273641176155
7	1	27.910203157199
8	1	28.416562324732
9	1	29.196760432164
10	1	29.423746040239
11	1	30.278891071643
12	1	30.550795975083
13	1	31.315061811287
14	1	30.136005859006
15	1	31.146357468142
1	2	22.780383792446
2	2	23.577737069489
3	2	25.063057296612
4	2	26.509952395156
5	2	26.796907760825
6	2	27.166660252755
7	2	27.76974754925
8	2	28.515022918498
9	2	28.908416913802
10	2	29.539752648852
11	2	30.240539445077
12	2	30.757617771281
13	2	31.273344553328
14	2	30.928913997892
15	2	31.123100059377
1	3	22.642645526623
2	3	23.946466773669
3	3	24.791226942949
4	3	26.438745124161
5	3	26.653947478724
6	3	27.126093181738
7	3	27.589736596186
8	3	28.420153667918
9	3	28.694131758841
10	3	29.220077338391
11	3	29.364230322681
12	3	30.291877525738
13	3	30.630836961436
14	3	30.51805638325
15	3	31.081046868937
1	4	22.76488936172
2	4	24.072153389043
3	4	25.422329808175
4	4	26.283800958522
5	4	26.677815769275
6	4	27.206372940497
7	4	27.518464811535
8	4	28.259478712371
9	4	28.603283513875
10	4	29.201794265101
11	4	29.438690523226
12	4	30.327134448875
13	4	30.305913435439
14	4	30.332853954804
15	4	30.823669899217
1	5	22.193030802202
2	5	23.732949973222
3	5	24.949019837951
4	5	26.21148066686
5	5	26.792795487134
6	5	26.959001041215
7	5	27.290945684171
8	5	27.802903115867
9	5	28.660950554271
10	5	29.461769196918
11	5	29.707319564122
12	5	29.376506884422
13	5	30.542984190822
14	5	30.132732534974
15	5	30.962742304397
1	6	22.707074833254
2	6	23.688501020205
3	6	25.085244809096
4	6	26.298339078205
5	6	26.518931455314
6	6	27.126198971419
7	6	27.891493854824
8	6	28.051131971941
9	6	28.952163799582
10	6	29.127830859552
11	6	29.902711095258
12	6	30.136097288727
13	6	30.775725336927
14	6	30.955664741163
15	6	31.167507780475
1	7	22.515111707586
2	7	23.970981422118
3	7	25.333873013801
4	7	26.249273038921
5	7	26.65432218025
6	7	27.195248239745
7	7	27.618353911894
8	7	28.293782926197
9	7	28.730499765918
10	7	29.041809821407
11	7	29.659383786975
12	7	30.039467496483
13	7	30.3049628203
14	7	30.657674332997
15	7	30.862277339487
1	8	22.553579716161
