"Age"	"Iteration"	"MeanIndividualLength"
1	1	20.717006931855
2	1	23.514285160106
3	1	25.386804411918
4	1	26.949600137563
5	1	27.372756935924
6	1	27.339684609715
7	1	27.64518437202
8	1	27.909348707955
9	1	28.040809763063
10	1	28.043377282631
11	1	28.917208212175
12	1	28.555632813444
13	1	28.769172046717
1	2	20.688222751569
2	2	23.25169901153
3	2	25.511158277441
4	2	26.769276325594
5	2	27.339221936151
6	2	27.177005160718
7	2	27.533491114875
8	2	27.813476453663
9	2	28.048412010582
10	2	28.315953615131
11	2	28.399907976684
12	2	28.097953428068
13	2	28.944613940474
1	3	20.999651610896
2	3	23.803129438061
3	3	25.680294392302
4	3	27.153871729049
5	3	27.216154557306
6	3	27.586721435203
7	3	27.725433722383
8	3	28.164645558706
9	3	28.41854180304
10	3	28.490153126376
11	3	28.449136779832
12	3	28.302282119389
13	3	28.91317344348
1	4	20.931025894819
2	4	23.467118093161
3	4	25.43668390103
4	4	26.877577042912
5	4	27.323501895999
6	4	27.45809428647
7	4	27.842973953566
8	4	27.935148008631
9	4	28.328115677561
10	4	28.459591705833
11	4	28.026457034597
12	4	28.161675097753
13	4	29.095034200705
1	5	21.542268098035
2	5	23.769878300838
3	5	25.721550511117
4	5	26.890721316002
5	5	27.272169169351
6	5	27.635482849212
7	5	27.850113373889
8	5	27.847243383821
9	5	28.288786386364
10	5	28.413763601504
11	5	28.591987272985
12	5	28.005669635787
13	5	28.751338308639
1	6	20.693029369498
2	6	23.622855209029
3	6	25.616220392243
4	6	26.866471133438
5	6	27.193195275873
6	6	27.42941200935
7	6	27.760576234809
8	6	27.992419324388
9	6	28.470200478048
10	6	28.386070114413
11	6	28.814105157545
12	6	28.473094846009
13	6	28.943060505041
1	7	20.686398029205
2	7	23.460798150215
3	7	25.644180528202
4	7	26.955656824984
5	7	27.217074807153
6	7	27.432405716316
7	7	27.73967504513
8	7	27.78548402856
9	7	28.036703137408
10	7	28.170888750124
11	7	28.361819652979
12	7	28.480707081673
13	7	28.3608533117
1	8	20.999294131129
2	8	23.620152223804
3	8	25.779046624008
4	8	26.998235106213
5	8	27.236040155775
6	8	27.350026902594
7	8	27.808988551599
8	8	27.737686067522
9	8	28.151908913785
10	8	28.258095513129
11	8	28.595585884308
12	8	28.585873330439
13	8	28.668351264769
1	9	20.65230854064
2	9	23.645390165987
3	9	25.491789040048
4	9	26.979482684211
5	9	27.348175153322
6	9	27.158877060737
7	9	27.688391127044
8	9	27.647187087063
9	9	28.298816320451
10	9	28.341561990955
11	9	28.533937009815
12	9	28.127210218237
13	9	28.544605788658
1	10	20.64968153759
2	10	23.342530893159
3	10	25.609127415134
