"Age"	"Iteration"	"MeanIndividualWeight"
1	1	0.0826705245564
2	1	0.118641047894
3	1	0.147295508541
4	1	0.179376616066
5	1	0.182160507888
6	1	0.185611737689
7	1	0.190559969913
8	1	0.197852838038
9	1	0.203235475555
10	1	0.200263631293
11	1	0.228788597536
12	1	0.218465626271
13	1	0.215780137044
1	2	0.0840052585957
2	2	0.118578793793
3	2	0.15105651921
4	2	0.177075056406
5	2	0.186525462541
6	2	0.183594502373
7	2	0.191737539255
8	2	0.200517049695
9	2	0.204815314331
10	2	0.20176666508
11	2	0.220217677674
12	2	0.206953909603
13	2	0.222171792376
1	3	0.0882652795
2	3	0.125157647805
3	3	0.155449559238
4	3	0.184321612201
5	3	0.185542902046
6	3	0.192593959035
7	3	0.199272202253
8	3	0.208880338095
9	3	0.214377435564
10	3	0.213969748999
11	3	0.218427142094
12	3	0.212323590922
13	3	0.225269222286
1	4	0.0852216952136
2	4	0.121104856017
3	4	0.151961975253
4	4	0.176461911453
5	4	0.185461600425
6	4	0.186052786503
7	4	0.196098288609
8	4	0.19973086102
9	4	0.208994084664
10	4	0.207270236341
11	4	0.20528127513
12	4	0.208117776136
13	4	0.217059090242
1	5	0.0907703999855
2	5	0.123738978203
3	5	0.155330275916
4	5	0.180094197953
5	5	0.184057259061
6	5	0.188681916657
7	5	0.19788171389
8	5	0.196871050812
9	5	0.210702267403
10	5	0.208901577933
11	5	0.223492609174
12	5	0.204870065301
13	5	0.221948315175
1	6	0.0838185467869
2	6	0.120794929757
3	6	0.152301028374
4	6	0.176526735665
5	6	0.18149492564
6	6	0.186799800026
7	6	0.19460618435
8	6	0.202050660049
9	6	0.214318851207
10	6	0.211051820246
11	6	0.224825671927
12	6	0.215552142645
13	6	0.227304016209
1	7	0.0833711437364
2	7	0.119214139249
3	7	0.151802043271
4	7	0.179751227289
5	7	0.185264890678
6	7	0.187743988243
7	7	0.192783868834
8	7	0.194229153514
9	7	0.203065312225
10	7	0.20569516105
11	7	0.215373296766
12	7	0.21871565795
13	7	0.213503268462
1	8	0.086144442887
2	8	0.122028277927
3	8	0.153136498581
4	8	0.179259192505
5	8	0.182296622707
6	8	0.186282585361
7	8	0.197655477583
8	8	0.194606745749
9	8	0.205254368365
10	8	0.200590582822
11	8	0.218791937005
12	8	0.216051747637
13	8	0.220764611291
1	9	0.0840094961095
2	9	0.122070035067
3	9	0.15185582077
4	9	0.180521409907
5	9	0.186106622239
6	9	0.182880372753
7	9	0.194141247169
8	9	0.193068822125
9	9	0.209704011752
10	9	0.208403396532
11	9	0.219586833451
12	9	0.208194109845
13	9	0.219511261637
1	10	0.0832105133321
2	10	0.118391155475
3	10	0.150482387051
4	10	0.175833167687
5	10	0.181924697009
6	10	0.185485114395
7	10	0.198013887846
8	10	0.193971513269
9	10	0.209345036928
10	10	0.208502665685
11	10	0.225324982064
12	10	0.225073318716
13	10	0.22034743096
1	11	0.0840956762721
2	11	0.117797113821
3	11	0.148506069448
4	11	0.178505011682
5	11	0.18255721687
6	11	0.184022397628
7	11	0.195028903785
8	11	0.200593718614
9	11	0.205583461781
10	11	0.212324989029
11	11	0.205424341092
12	11	0.206534690265
13	11	0.225080942357
1	12	0.0844358123974
2	12	0.121068592561
3	12	0.15291463779
4	12	0.185671702147
5	12	0.191766333298
6	12	0.186262302704
7	12	0.198044062773
8	12	0.196785019133
9	12	0.207278138294
10	12	0.21639804583
11	12	0.223586613373
12	12	0.220416789685
13	12	0.225459911357
1	13	0.0789346223798
2	13	0.116809940374
3	13	0.148631621292
4	13	0.175438029161
5	13	0.180959172909
6	13	0.185263965723
7	13	0.199749695183
8	13	0.19328985602
9	13	0.210265568471
10	13	0.20940333151
11	13	0.21528715781
12	13	0.225632418
13	13	0.211814836097
1	14	0.0814035046562
2	14	0.120306908605
3	14	0.149934555762
4	14	0.180204596062
5	14	0.187963332054
6	14	0.188225431792
7	14	0.193203529819
8	14	0.200364430024
9	14	0.20982152642
10	14	0.20885605858
11	14	0.211251081961
12	14	0.209786693113
13	14	0.203012803491
1	15	0.0827533890375
2	15	0.120235305753
3	15	0.150543554022
4	15	0.182531491784
5	15	0.183520225279
6	15	0.183374490559
7	15	0.191282451349
8	15	0.195680023533
9	15	0.20405343559
10	15	0.208239004581
11	15	0.213582148377
12	15	0.213124551578
13	15	0.203654469234
1	16	0.0826781898947
2	16	0.118930561659
3	16	0.148928445975
4	16	0.172938004323
5	16	0.182812438984
6	16	0.18515695646
7	16	0.187913440282
8	16	0.195147844798
9	16	0.204703690641
10	16	0.197037081846
11	16	0.197844150488
12	16	0.211266345237
13	16	0.208677750794
