"Age"	"Iteration"	"MeanIndividualLength"
1	1	20.903479984597
2	1	23.391847139712
3	1	25.726533342854
4	1	27.054348886448
5	1	27.557856487655
6	1	27.520956237773
7	1	27.711172905896
8	1	27.629475353085
9	1	28.10995392563
10	1	28.515328274516
11	1	0
12	1	29.024341384143
13	1	28.91972956784
14	1	0
1	2	20.866335428815
2	2	23.623051613814
3	2	25.448018224209
4	2	26.795116882001
5	2	27.128927742654
6	2	26.93428172974
7	2	27.490597433895
8	2	27.362037251857
9	2	28.171979967965
10	2	28.20383984766
11	2	0
12	2	28.452227752857
13	2	28.456115092545
14	2	0
1	3	20.882839506208
2	3	23.590742948645
3	3	25.64774736666
4	3	27.225298783704
5	3	27.440397374302
6	3	27.570890933112
7	3	27.708885170386
8	3	27.994551106612
9	3	28.198882055947
10	3	28.440168784865
11	3	0
12	3	28.800294225392
13	3	28.808780342106
14	3	0
1	4	20.999887580156
2	4	23.354396713114
3	4	25.383118547158
4	4	26.886121160661
5	4	27.156052023732
6	4	27.321742579488
7	4	27.846357685073
8	4	28.092845123733
9	4	28.125608631195
10	4	28.377286189086
11	4	0
12	4	0
13	4	28.936790190519
14	4	0
1	5	20.991779546549
2	5	23.856862958598
3	5	25.924665823775
4	5	27.175675713455
5	5	27.498577274489
6	5	27.509264883681
7	5	27.784319362297
8	5	27.571515416634
9	5	28.080542950525
10	5	28.340657216109
11	5	0
12	5	0
13	5	28.64428488445
14	5	0
1	6	21.255729888474
2	6	23.327779273505
3	6	25.516234087362
4	6	27.143269391992
5	6	27.550864186315
6	6	27.300797615005
7	6	28.063100089405
8	6	28.249366583523
9	6	28.615059213009
10	6	28.344700843423
11	6	0
12	6	0
13	6	29.43629255332
14	6	0
1	7	20.508788047803
2	7	23.485188260287
3	7	25.784746593846
4	7	26.913709147072
5	7	27.18217480747
6	7	27.007327871352
7	7	27.600695060725
8	7	27.36113233694
9	7	28.120921917359
10	7	28.041594130373
11	7	29.33353132066
12	7	0
13	7	28.531500673827
14	7	0
1	8	20.514773667648
2	8	23.381195915324
3	8	25.670023990184
4	8	27.031343289367
5	8	27.414661775063
6	8	27.419814820526
7	8	27.696838442607
8	8	27.673854285657
9	8	28.227151204914
10	8	28.542678788179
11	8	29.313156227416
12	8	0
13	8	28.995444381777
14	8	0
1	9	20.852168056867
2	9	23.777260420633
3	9	25.760107304283
4	9	27.007764315762
5	9	27.389308605757
6	9	27.461930507914
7	9	27.968300419844
8	9	27.566486580864
9	9	28.261586521082
10	9	28.313736350624
11	9	29.66031468672
12	9	0
13	9	28.850490815496
14	9	0
1	10	20.776157277589
2	10	23.544640840205
3	10	25.460046998141
4	10	27.03580520534
5	10	27.412789733879
6	10	27.414068232121
7	10	27.731077271007
8	10	27.913367356686
9	10	28.500067453103
10	10	28.414226471035
11	10	0
12	10	0
13	10	28.98290198988
14	10	0
1	11	20.525871368595
2	11	23.590061359428
3	11	25.593597379018
4	11	26.806816309693
5	11	27.211071360663
6	11	27.333481152039
7	11	27.841218351459
8	11	27.488176767458
9	11	28.158498020952
10	11	28.311227022237
11	11	28.928773494787
12	11	0
13	11	28.703387483461
14	11	0
1	12	20.793638531365
2	12	23.497742336291
3	12	25.692168595821
4	12	27.05111209307
5	12	27.335066391303
6	12	27.54639164404
7	12	27.645489524958
8	12	27.69292902585
9	12	28.481579812321
10	12	28.565304164853
11	12	0
12	12	0
13	12	28.993932328417
14	12	0
1	13	20.691080427022
2	13	23.659945478451
