"Age"	"Iteration"	"MeanIndividualLength"
1	1	20.176302276777
2	1	23.25550797261
3	1	25.436937136705
4	1	26.841257379542
5	1	26.993902851116
6	1	27.478920777786
7	1	27.399579283852
8	1	27.579779437367
9	1	27.878863924958
10	1	28.196958698546
11	1	28.473087378749
12	1	28.584392157601
13	1	28.94546416853
14	1	28.763409978278
15	1	28.914843842679
1	2	21.05462361297
2	2	23.395071548122
3	2	25.61888523829
4	2	26.843285581024
5	2	27.009465365831
6	2	27.440092879277
7	2	27.596371659827
8	2	27.838766071838
9	2	28.026791547391
10	2	28.103064592245
11	2	27.717726460919
12	2	28.198880152847
13	2	28.501977263975
14	2	28.088908618671
15	2	28.572882264937
1	3	20.697806242012
2	3	23.618694226932
3	3	25.782357251409
4	3	27.134270643059
5	3	27.39092520462
6	3	27.352844924883
7	3	27.787195493536
8	3	28.047349959733
9	3	28.282019637696
10	3	28.232919050915
11	3	28.080642874721
12	3	28.642519241819
13	3	28.795583343454
14	3	28.456632165654
15	3	28.819823693063
1	4	20.446099823268
2	4	23.689913929493
3	4	25.672398747453
4	4	27.225478812941
5	4	27.446344081076
6	4	27.517378731974
7	4	27.812998712229
8	4	27.834784830873
9	4	28.367081211942
10	4	28.25873493451
11	4	28.17288632755
12	4	28.573470107672
13	4	28.977105917445
14	4	28.440458547758
15	4	28.962821404454
1	5	20.498684495543
2	5	23.580485658498
3	5	25.513916648754
4	5	26.807465399931
5	5	27.167475473975
6	5	27.435351444052
7	5	27.675000487407
8	5	27.652251804689
9	5	28.033973517071
10	5	27.9508545395
11	5	28.285008141687
12	5	28.229029632248
13	5	28.356770640439
14	5	28.241168729671
15	5	28.370592835554
1	6	20.569786451535
2	6	23.43225882938
3	6	25.614198027025
4	6	26.808562266679
5	6	27.017461046482
6	6	27.278978044638
7	6	27.631848321831
8	6	27.56300449045
9	6	27.932392644788
10	6	28.181058092284
11	6	27.86492672805
12	6	28.476599243766
13	6	28.669886039757
14	6	28.611520645803
15	6	28.686213934938
1	7	20.666594551732
2	7	23.696296221113
3	7	25.709379639686
4	7	27.278021079043
5	7	27.686416750412
6	7	27.529508492099
7	7	27.852134825635
8	7	27.996700416573
9	7	28.396742850917
10	7	28.358346471554
11	7	28.665127649871
12	7	28.963785710926
13	7	29.166110299518
14	7	29.085816083887
15	7	29.253951279318
1	8	20.224881763122
2	8	23.344033279235
3	8	25.325591801052
4	8	26.844657228655
5	8	26.999158289049
6	8	27.289253134633
7	8	27.392073395548
8	8	27.698292957533
9	8	28.017887129763
10	8	28.323042411945
11	8	28.092021153893
12	8	27.70687738228
13	8	28.623448514633
14	8	28.643426291276
15	8	28.68164430954
1	9	20.697397078872
2	9	23.629096554798
3	9	25.584932938276
4	9	26.884700017648
5	9	27.102767791694
6	9	27.346496712542
7	9	27.539338264382
8	9	27.81711231261
9	9	27.952630662363
10	9	28.093762712482
11	9	27.928128428619
12	9	27.991381805658
13	9	28.345220685581
14	9	28.324243410801
15	9	28.478654912472
1	10	20.504185742548
2	10	23.497587925444
3	10	25.635113592702
4	10	27.127700874545
5	10	27.221361957589
6	10	27.34985385334
7	10	27.571183705459
8	10	27.836430093479
9	10	28.083903321793
10	10	28.020737530926
11	10	28.432553628942
12	10	28.454025570951
13	10	28.615065383818
14	10	28.504114622795
15	10	28.754808970836
1	11	20.543250818022
2	11	23.702788617321
3	11	25.750730074089
4	11	26.980992312466
5	11	27.247314580542
6	11	27.348420208016
7	11	27.635348270572
8	11	27.608625618981
9	11	28.078885583466
10	11	28.329615657437
11	11	28.450865552107
12	11	28.620918955452
13	11	28.695176463309
14	11	28.105276573671
15	11	28.984222876178
1	12	20.633514789491
2	12	23.6557441371
3	12	25.59550363934
4	12	26.939218328179
5	12	27.285638572272
6	12	27.320092197399
7	12	27.882422380599
8	12	27.490859390664
9	12	28.229461679352
10	12	28.173224799739
11	12	28.608023621083
12	12	28.541243377323
13	12	28.807519956732
14	12	28.774099131233
15	12	29.098392854431
1	13	20.631883247374
2	13	23.497120130534
3	13	25.946231627057
4	13	26.742397803624
5	13	27.020936826267
6	13	27.483056656525
7	13	27.477523735794
8	13	27.561584426692
9	13	27.932288478604
10	13	28.158839279255
11	13	28.493336678332
12	13	28.014189702308
13	13	28.653775121769
