"Age"	"Iteration"	"MeanIndividualWeight"
1	1	0.0768186330509
2	1	0.116385468088
3	1	0.147605314646
4	1	0.176180049035
5	1	0.179542086469
6	1	0.179942436079
7	1	0.188620021887
8	1	0.192460110754
9	1	0.200144763561
10	1	0.200460049299
11	1	0.216495617023
12	1	0.219660343231
13	1	0.226709632714
14	1	0.222249948329
15	1	0.22725577524
1	2	0.0851489017794
2	2	0.119329839577
3	2	0.152724979237
4	2	0.17974844653
5	2	0.179530689472
6	2	0.185527781168
7	2	0.190364274837
8	2	0.193207721819
9	2	0.203624606862
10	2	0.202759759653
11	2	0.197747820691
12	2	0.207403707455
13	2	0.21365990845
14	2	0.204537038152
15	2	0.218498831308
1	3	0.0831400291019
2	3	0.122328430014
3	3	0.156210609969
4	3	0.183039480973
5	3	0.190982470029
6	3	0.188792138623
7	3	0.197314837262
8	3	0.205359221559
9	3	0.211531782535
10	3	0.208086522764
11	3	0.208176403097
12	3	0.223205872853
13	3	0.22806220968
14	3	0.219327392595
15	3	0.229070723432
1	4	0.0818131750138
2	4	0.123235658473
3	4	0.154998681537
4	4	0.179998723664
5	4	0.188223221945
6	4	0.190892970507
7	4	0.195526064019
8	4	0.196801867056
9	4	0.210322327047
10	4	0.201897831073
11	4	0.206196941363
12	4	0.218884866192
13	4	0.222491656348
14	4	0.211187376319
15	4	0.222197811837
1	5	0.0807598127485
2	5	0.120319546217
3	5	0.150304072961
4	5	0.177706916368
5	5	0.181875341226
6	5	0.184463147692
7	5	0.194022787585
8	5	0.195672171954
9	5	0.202507405839
10	5	0.201386979124
11	5	0.216018384603
12	5	0.213779636487
13	5	0.215302199003
14	5	0.211935445697
15	5	0.216251800513
1	6	0.0815761948631
2	6	0.118061395248
3	6	0.150804773638
4	6	0.178105405946
5	6	0.1809766244
6	6	0.182029610855
7	6	0.193662718844
8	6	0.194657095597
9	6	0.201697437718
10	6	0.200698304278
11	6	0.200801412541
12	6	0.21697929372
13	6	0.221812690436
14	6	0.219840832068
15	6	0.221720705001
1	7	0.0834888258248
2	7	0.122132429227
3	7	0.154016075585
4	7	0.186615567501
5	7	0.190164645005
6	7	0.188779481006
7	7	0.196442038054
8	7	0.198510171114
9	7	0.211451048609
10	7	0.208641230805
11	7	0.221375558337
12	7	0.229549967912
13	7	0.235255292875
14	7	0.232596442649
15	7	0.233148731139
1	8	0.0787198467581
