"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"ReadAge"
0.984	0.014	0.004	0.002	0.001	0	0	0	0	0	0	0	"1"
0.012	0.963	0.015	0.006	0.002	0.001	0	0	0	0	0	0	"2"
0.003	0.017	0.946	0.021	0.008	0.003	0.001	0.001	0	0	0	0	"3"
0.001	0.005	0.025	0.921	0.029	0.012	0.005	0.002	0.001	0	0	0	"4"
0	0.001	0.007	0.036	0.889	0.04	0.016	0.006	0.002	0.001	0	0	"5"
0	0	0.002	0.01	0.051	0.844	0.054	0.021	0.008	0.003	0.001	0	"6"
0	0	0.001	0.003	0.015	0.07	0.789	0.072	0.027	0.01	0.004	0.001	"7"
0	0	0	0.001	0.004	0.021	0.096	0.717	0.094	0.034	0.012	0.004	"8"
0	0	0	0	0.001	0.006	0.028	0.128	0.633	0.117	0.041	0.014	"9"
0	0	0	0	0	0.002	0.008	0.037	0.166	0.541	0.141	0.048	"10"
0	0	0	0	0	0.001	0.002	0.011	0.049	0.208	0.446	0.165	"11"
0	0	0	0	0	0	0.001	0.005	0.02	0.086	0.355	0.768	"12"
